Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/2/2026 11:09:19 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 10;5;2;1.010101,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.0964627,401.2556,-0.0222738,0.2309058,6.24435,-11.8976,-33.514,-0.006999969,
2,0.019,2,0.09571087,401.2604,-0.02077336,0.2170429,6.24435,-11.8976,-33.514,-0.006999969,
2,0.029,2,0.09523486,401.2612,-0.02144421,0.2251718,6.24435,-11.8976,-33.514,-0.006999969,
2,0.039,2,0.09649309,401.258,-0.02130395,0.2207821,6.24435,-11.8976,-33.514,-0.006999969,
2,0.049,2,0.09554063,401.2544,-0.02108427,0.2206838,6.24435,-11.8976,-33.514,-0.006999969,
2,0.059,2,0.09561345,401.2539,-0.02241885,0.2344738,6.24435,-11.8976,-33.514,-0.006999969,
2,0.069,2,0.09651563,401.2496,-0.02266004,0.234781,6.24435,-11.8976,-33.514,-0.006999969,
2,0.079,2,0.09706294,401.2501,-0.02300442,0.2370052,6.24435,-11.8976,-33.514,-0.006999969,
2,0.089,2,0.09815099,401.2417,-0.02256984,0.2299502,6.24435,-11.8976,-33.514,-0.006999969,
2,0.099,2,0.09806019,401.251,-0.02242478,0.2286839,6.24435,-11.8976,-33.514,-0.006999969,
2,0.109,2,0.09655753,401.2522,-0.02359304,0.2443418,6.24435,-11.8976,-33.514,-0.006999969,
2,0.119,2,0.09651113,401.2441,-0.02245454,0.2326627,6.24435,-11.8976,-33.514,-0.006999969,
2,0.129,2,0.09555122,401.2548,-0.02278239,0.2384311,6.24435,-11.8976,-33.514,-0.006999969,
