Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/9/2026 9:44:52 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 4;1;2;0.5128205,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.014,2,0.104519,412.2387,-0.01980985,0.1895335,5.16227,-14.4012,-33.906,-0.01450348,
2,0.024,2,0.1052758,412.238,-0.01950725,0.1852967,5.16227,-14.4012,-33.906,-0.01450348,
2,0.034,2,0.1042997,412.2354,-0.02072563,0.1987122,5.16227,-14.4012,-33.906,-0.01450348,
2,0.044,2,0.1065724,412.238,-0.01906985,0.1789381,5.16227,-14.4012,-33.906,-0.01450348,
2,0.054,2,0.10485,412.2446,-0.0182972,0.1745084,5.16227,-14.4012,-33.906,-0.01450348,
2,0.064,2,0.1061822,412.2259,-0.01986542,0.187088,5.16227,-14.4012,-33.906,-0.01450348,
2,0.074,2,0.1056635,412.2299,-0.01892698,0.1791251,5.16227,-14.4012,-33.906,-0.01450348,
2,0.084,2,0.1050786,412.2217,-0.01802326,0.1715216,5.16227,-14.4012,-33.906,-0.01450348,
2,0.094,2,0.1066018,412.2281,-0.01934078,0.1814302,5.16227,-14.4012,-33.906,-0.01450348,
2,0.104,2,0.103706,412.2348,-0.01969635,0.1899249,5.16227,-14.4012,-33.906,-0.01450348,
2,0.114,2,0.1043689,412.2373,-0.01924687,0.1844121,5.16227,-14.4012,-33.906,-0.01450348,
2,0.124,2,0.1040795,412.2322,-0.01919377,0.1844146,5.16227,-14.4012,-33.906,-0.01450348,
2,0.134,2,0.1048409,412.2337,-0.01797398,0.1714406,5.16227,-14.4012,-33.906,-0.01450348,
2,0.144,2,0.1025812,412.2363,-0.01782708,0.1737851,5.16227,-14.4012,-33.906,-0.01450348,
2,0.154,2,0.1060353,412.2357,-0.01832123,0.1727842,5.16227,-14.4012,-33.906,-0.01450348,
2,0.164,2,0.1039952,412.2387,-0.01757169,0.1689664,5.16227,-14.4012,-33.906,-0.01450348,
2,0.174,2,0.1056087,412.2258,-0.01764857,0.1671129,5.16227,-14.4012,-33.906,-0.01450348,
2,0.184,2,0.1019793,412.235,-0.01742286,0.170847,5.16227,-14.4012,-33.906,-0.01450348,
2,0.194,2,0.1002242,412.2271,-0.01598804,0.1595227,5.16227,-14.4012,-33.906,-0.01450348,
2,0.204,2,0.1033247,412.2464,-0.01763831,0.1707075,5.16227,-14.4012,-33.906,-0.01450348,
2,0.214,2,0.1029195,412.2381,-0.01694618,0.1646547,5.16227,-14.4012,-33.906,-0.01450348,
2,0.224,2,0.1050263,412.244,-0.01938365,0.1845599,5.16227,-14.4012,-33.906,-0.01450348,
2,0.234,2,0.1016514,412.2401,-0.01951899,0.1920188,5.16227,-14.4012,-33.906,-0.01450348,
2,0.244,2,0.1026381,412.2326,-0.02178494,0.2122502,5.16227,-14.4012,-33.906,-0.01450348,
2,0.254,2,0.1034947,412.2421,-0.02297812,0.2220222,5.16227,-14.4012,-33.906,-0.01450348,
2,0.264,2,0.1015843,412.2405,-0.02536026,0.2496473,5.16227,-14.4012,-33.906,-0.01450348,
2,0.274,2,0.1006747,412.2377,-0.02794982,0.277625,5.16227,-14.4012,-33.906,-0.01450348,
2,0.284,2,0.1014648,412.2235,-0.02854005,0.2812803,5.16227,-14.4012,-33.906,-0.01450348,
2,0.294,2,0.09914731,412.2393,-0.02872512,0.2897216,5.16227,-14.4012,-33.906,-0.01450348,
2,0.304,2,0.1006568,412.2317,-0.02796884,0.2778634,5.16227,-14.4012,-33.906,-0.01450348,
2,0.314,2,0.1014807,412.2431,-0.02714046,0.2674446,5.16227,-14.4012,-33.906,-0.01450348,
2,0.324,2,0.1002045,412.2454,-0.02735026,0.2729444,5.16227,-14.4012,-33.906,-0.01450348,
2,0.334,2,0.1040666,412.2379,-0.0273847,0.263146,5.16227,-14.4012,-33.906,-0.01450348,
2,0.344,2,0.1047424,412.2427,-0.02651652,0.2531594,5.16227,-14.4012,-33.906,-0.01450348,
2,0.354,2,0.1025416,412.2506,-0.02643276,0.2577759,5.16227,-14.4012,-33.906,-0.01450348,
