Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/10/2026 1:05:36 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 4;2;2;1.025641,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.09897394,402.1329,-0.04187799,0.4231213,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.019,2,0.1017177,402.133,-0.04284522,0.4212171,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.029,2,0.1022387,402.1398,-0.04154203,0.4063238,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.039,2,0.1008406,402.1381,-0.04173664,0.4138871,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.049,2,0.1041683,402.1316,-0.04255207,0.4084936,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.059,2,0.1006469,402.1302,-0.04028995,0.40031,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.069,2,0.1017825,402.1327,-0.03898669,0.3830393,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.079,2,0.1019503,402.1357,-0.03973965,0.3897942,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.089,2,0.1015713,402.1265,-0.03846549,0.3787045,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.099,2,0.1007545,402.1347,-0.03910325,0.3881043,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.109,2,0.09962947,402.1303,-0.03991182,0.4006026,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.119,2,0.1010512,402.1164,-0.04039819,0.3997795,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.129,2,0.09845872,402.1255,-0.03881065,0.394182,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.139,2,0.09975319,402.129,-0.0398931,0.399918,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.149,2,0.102592,402.136,-0.03812129,0.3715814,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.159,2,0.1005296,402.1312,-0.03739243,0.3719544,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.169,2,0.0986807,402.1372,-0.03877085,0.3928919,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.179,2,0.1014788,402.1275,-0.03921471,0.3864323,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.189,2,0.09839254,402.1267,-0.03935361,0.3999654,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.199,2,0.0979397,402.1321,-0.037967,0.3876569,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.209,2,0.09604497,402.1333,-0.03843924,0.4002213,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.219,2,0.09630576,402.1371,-0.0395624,0.4108,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.229,2,0.09867626,402.145,-0.04071476,0.4126095,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.239,2,0.09608144,402.14,-0.04439478,0.4620537,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.249,2,0.09767957,402.1307,-0.04588512,0.4697515,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.259,2,0.09737775,402.1394,-0.04543518,0.4665869,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.269,2,0.09931234,402.1382,-0.04539967,0.4571403,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.279,2,0.09786047,402.1376,-0.04513755,0.461244,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.289,2,0.1005639,402.1448,-0.04374461,0.4349933,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.299,2,0.09900415,402.1348,-0.04483663,0.4528763,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.309,2,0.09917451,402.1374,-0.046105,0.4648876,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.319,2,0.09823469,402.1491,-0.04343433,0.4421486,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.329,2,0.09792928,402.1469,-0.04428175,0.4521809,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.339,2,0.09609193,402.1462,-0.0455269,0.4737848,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.349,2,0.0984989,402.1511,-0.04362745,0.4429232,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.359,2,0.09983355,402.1341,-0.04306946,0.4314127,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.369,2,0.09819349,402.1671,-0.04496462,0.4579186,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.379,2,0.1001001,402.1614,-0.04569728,0.4565158,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.389,2,0.1001271,402.1525,-0.04423708,0.4418094,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.399,2,0.09921584,402.156,-0.04509749,0.4545392,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.409,2,0.0989136,402.1627,-0.04522766,0.4572441,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.419,2,0.09769478,402.1514,-0.04481469,0.4587215,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.429,2,0.09873968,402.1398,-0.04451583,0.4508403,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.439,2,0.09896225,402.154,-0.04542007,0.4589636,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.449,2,0.09685974,402.1453,-0.04605764,0.4755086,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.459,2,0.09913754,402.1384,-0.04275623,0.431282,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.469,2,0.09928704,402.1528,-0.04352409,0.4383663,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.479,2,0.09808271,402.1357,-0.04547999,0.4636903,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.489,2,0.0989121,402.1448,-0.04558405,0.4608541,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.499,2,0.09913374,402.1505,-0.04460065,0.4499038,-3.5765,-10.1088,-33.8468,-0.01199722,
2,0.509,2,0.09840222,402.1423,-0.04742011,0.4819008,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.519,2,0.09891685,402.1501,-0.04582785,0.4632967,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.529,2,0.0979498,402.1383,-0.04705924,0.4804425,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.539,2,0.09891696,402.1567,-0.0473974,0.4791636,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.549,2,0.09858833,402.1463,-0.04353365,0.44157,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.559,2,0.1000689,402.1476,-0.04573727,0.4570578,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.569,2,0.09702187,402.1432,-0.04573574,0.4713961,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.579,2,0.1004354,402.1252,-0.04592541,0.4572634,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.589,2,0.1002435,402.1293,-0.04425865,0.4415114,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.599,2,0.09961879,402.1267,-0.04569041,0.4586526,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.609,2,0.09941148,402.1336,-0.04457997,0.4484389,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.619,2,0.1000117,402.1377,-0.04648129,0.4647588,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.629,2,0.1000926,402.1385,-0.04603489,0.4599232,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.639,2,0.1022199,402.1277,-0.04632992,0.4532378,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.649,2,0.1005798,402.1261,-0.04698696,0.4671609,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.659,2,0.09941055,402.1266,-0.04566492,0.4593569,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.669,2,0.1014585,402.1396,-0.04524033,0.4459,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.679,2,0.1001979,402.1315,-0.04602602,0.4593512,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.689,2,0.09980257,402.1252,-0.04727569,0.4736921,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.699,2,0.1022254,402.1291,-0.0461947,0.4518906,-3.57903,-10.1088,-33.847,-0.01179886,
2,0.709,2,0.1005936,402.1309,-0.04750019,0.4721988,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.719,2,0.1018567,402.143,-0.04527077,0.4444556,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.729,2,0.1011039,402.1462,-0.04403464,0.4355384,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.739,2,0.09971768,402.1292,-0.04644988,0.4658139,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.749,2,0.1025418,402.1346,-0.04591155,0.4477348,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.759,2,0.1006462,402.1276,-0.04550735,0.4521517,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.769,2,0.09988312,402.1136,-0.04546683,0.4552003,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.779,2,0.1029429,402.0785,-0.04704549,0.4570055,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.789,2,0.1043652,402.0914,-0.04689848,0.449369,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.799,2,0.1041178,402.0927,-0.04661713,0.4477344,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.809,2,0.1048524,402.0903,-0.04723078,0.4504502,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.819,2,0.1031611,402.0859,-0.04723236,0.4578503,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.829,2,0.1015625,402.0857,-0.04692605,0.4620413,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.839,2,0.106615,402.0943,-0.04743703,0.4449378,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.849,2,0.104194,402.1007,-0.04802835,0.460951,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.859,2,0.1037465,402.0968,-0.0480206,0.4628648,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.869,2,0.1046704,402.0984,-0.04703758,0.4493874,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.879,2,0.1036864,402.094,-0.04750759,0.4581853,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.889,2,0.10497,402.1099,-0.04772412,0.4546452,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.899,2,0.1060362,402.0535,-0.04754935,0.4484258,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.909,2,0.1051238,402.1017,-0.04964633,0.4722655,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.919,2,0.1056026,402.0922,-0.05146932,0.4873871,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.929,2,0.1032226,402.0895,-0.0544383,0.5273872,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.939,2,0.1042881,402.0958,-0.05166738,0.4954295,-3.58313,-10.1088,-33.8472,-0.01160049,
2,0.949,2,0.1058798,402.085,-0.05019448,0.4740705,-3.58667,-10.1088,-33.8474,-0.01139832,
2,0.959,2,0.1009637,402.0995,-0.05003167,0.495541,-3.58667,-10.1088,-33.8474,-0.01139832,
