Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/10/2026 1:51:05 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 4;4;2;2.051282,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.09558526,372.8214,-0.03074021,0.3215999,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.019,2,0.09540737,372.8082,-0.03195917,0.3349759,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.029,2,0.09852237,372.8123,-0.03169961,0.3217504,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.039,2,0.09835972,372.8214,-0.03179113,0.3232129,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.049,2,0.09582765,372.8149,-0.03249536,0.3391021,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.059,2,0.09608252,372.817,-0.03384551,0.3522546,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.069,2,0.09926013,372.8232,-0.03268833,0.3293199,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.079,2,0.09659518,372.8144,-0.03232663,0.3346609,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.089,2,0.0935346,372.8192,-0.03352749,0.3584501,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.099,2,0.09861427,372.8141,-0.03321857,0.3368536,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.109,2,0.0952995,372.8127,-0.03091885,0.3244387,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.119,2,0.0929542,372.8152,-0.03327678,0.3579912,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.129,2,0.09862807,372.8215,-0.03170672,0.3214776,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.139,2,0.09504747,372.8164,-0.03257125,0.3426841,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.149,2,0.09453254,372.8121,-0.03306488,0.3497724,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.159,2,0.09820969,372.8233,-0.03219531,0.3278222,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.169,2,0.09397671,372.8123,-0.03140896,0.3342207,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.179,2,0.0908253,372.7975,-0.03198884,0.3522019,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.189,2,0.09619001,372.8235,-0.03117912,0.3241409,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.199,2,0.09524651,372.8185,-0.03092517,0.3246855,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.209,2,0.09432114,372.818,-0.03659075,0.3879379,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.219,2,0.09391958,372.8119,-0.04033246,0.4294361,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.229,2,0.09465878,372.808,-0.04495651,0.4749323,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.239,2,0.09639842,372.8029,-0.04546231,0.4716084,-4.064,-7.8874,-33.8485,-0.01029968,
2,0.249,2,0.09500502,372.8252,-0.04555814,0.479534,-4.064,-7.8874,-33.8485,-0.01029968,
