Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/2/2026 1:20:43 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 15;5;2;0.671141,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.002,2,0.09469336,390.5494,-0.007019257,0.07412618,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.012,2,0.09742246,390.5771,-0.006570332,0.06744166,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.022,2,0.09522671,390.5828,-0.006942567,0.07290567,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.032,2,0.09286463,390.5797,-0.006427051,0.06920882,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.042,2,0.09471534,390.5837,-0.007043076,0.07436046,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.052,2,0.09442295,390.5717,-0.006408713,0.06787241,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.062,2,0.09253957,390.5787,-0.006435303,0.0695411,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.072,2,0.09227669,390.5645,-0.0081296,0.08810025,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.082,2,0.09390532,390.5653,-0.008200167,0.08732377,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.092,2,0.09274405,390.5783,-0.007686906,0.08288301,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.102,2,0.09462384,390.5663,-0.007280542,0.07694194,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.112,2,0.09487388,390.5667,-0.00754411,0.07951725,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.122,2,0.09284991,390.5709,-0.006193858,0.06670828,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.132,2,0.09217773,390.5699,-0.006654817,0.0721955,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.142,2,0.09286954,390.5712,-0.008195472,0.08824714,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.152,2,0.09357435,390.5681,-0.007485131,0.07999127,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.162,2,0.09478952,390.5677,-0.007485434,0.07896901,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.172,2,0.09508469,390.5719,-0.00759858,0.07991381,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.182,2,0.0938524,390.5594,-0.005632346,0.0600128,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.192,2,0.09516196,390.562,-0.006191922,0.0650672,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.202,2,0.09264179,390.5683,-0.004968979,0.05363648,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.212,2,0.09040283,390.5493,-0.008408491,0.09301138,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.222,2,0.09122458,390.5535,-0.005709555,0.0625879,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.232,2,0.09017171,390.5575,-0.005031112,0.05579479,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.242,2,0.09186883,390.5532,-0.006873375,0.07481727,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.252,2,0.09090792,390.5421,-0.007052054,0.07757359,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.262,2,0.09205075,390.5203,-0.00887789,0.09644561,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.272,2,0.09148538,390.5056,-0.008897227,0.09725299,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.282,2,0.09037567,390.5267,-0.01164541,0.1288556,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.292,2,0.09164628,390.5292,-0.01422676,0.1552356,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.302,2,0.09050959,390.5529,-0.01829476,0.2021307,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.312,2,0.09459995,390.5529,-0.01902437,0.2011034,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.322,2,0.09253513,390.524,-0.0198013,0.2139869,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.332,2,0.09077138,390.5074,-0.02166034,0.2386253,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.342,2,0.09024551,390.4767,-0.02018469,0.2236642,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.352,2,0.09070054,390.5068,-0.01943624,0.2142902,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.362,2,0.09088642,390.5071,-0.0193489,0.212891,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.372,2,0.09121963,390.504,-0.02002599,0.219536,7.33955,-11.5092,-33.6537,0.0008010864,
2,0.382,2,0.09431292,390.4968,-0.02103541,0.2230385,7.33955,-11.5092,-33.6537,0.0008010864,
