Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/2/2026 9:20:09 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 10;5;2;1.010101,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.008,2,0.09700522,415.6176,-0.008010203,0.08257497,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.018,2,0.0956813,415.616,-0.009228815,0.0964537,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.028,2,0.09424686,415.6146,-0.007946963,0.08432072,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.038,2,0.09534573,415.621,-0.006915551,0.07253131,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.048,2,0.09643896,415.6179,-0.007238293,0.0750557,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.058,2,0.09663585,415.6134,-0.006218209,0.06434681,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.068,2,0.09616871,415.619,-0.004782024,0.04972536,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.078,2,0.09499495,415.614,-0.00489236,0.05150127,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.088,2,0.0966086,415.6156,-0.005861025,0.06066773,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.098,2,0.09570745,415.5997,-0.006583368,0.06878637,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.108,2,0.0954319,415.6121,-0.006265874,0.06565806,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.118,2,0.094897,415.616,-0.005780468,0.06091307,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.128,2,0.09717584,415.6208,-0.005844432,0.06014285,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.138,2,0.09689877,415.6241,-0.005890438,0.0607896,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.148,2,0.09594694,415.6235,-0.005123153,0.05339569,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.158,2,0.09530269,415.6298,-0.005178153,0.05433376,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.168,2,0.09492319,415.6172,-0.003847736,0.04053526,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.178,2,0.09329978,415.6079,-0.006806769,0.07295591,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.188,2,0.09298249,415.6203,-0.005972785,0.06423558,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.198,2,0.09334142,415.6241,-0.007520725,0.08057222,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.208,2,0.09241167,415.6209,-0.0072041,0.07795661,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.218,2,0.09268662,415.6187,-0.01014225,0.1094252,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.228,2,0.09325714,415.6285,-0.01059282,0.1135872,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.238,2,0.09240465,415.6178,-0.01371793,0.148455,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.248,2,0.09276175,415.6457,-0.01277062,0.1376712,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.258,2,0.09327938,415.6763,-0.01230033,0.1318654,4.98425,-13.1199,-33.9779,-0.01350021,
2,0.268,2,0.09553754,415.6104,-0.01225527,0.128277,4.98425,-13.1199,-33.9779,-0.01350021,
