Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/4/2026 11:41:54 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 10;5;2;1.010101,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.002,2,0.09260092,401.4783,-0.01994817,0.2154209,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.012,2,0.09168063,401.4782,-0.02289156,0.249688,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.022,2,0.09445641,401.4744,-0.0215013,0.227632,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.032,2,0.09077518,401.4794,-0.02437537,0.2685246,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.042,2,0.09250147,401.4803,-0.02340723,0.2530471,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.052,2,0.09171712,401.4782,-0.02188221,0.2385837,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.062,2,0.09174527,401.4777,-0.01986658,0.2165406,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.072,2,0.09056576,401.4773,-0.0224514,0.2479016,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.082,2,0.09109362,401.4817,-0.02116848,0.2323816,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.092,2,0.09043372,401.4836,-0.02208499,0.2442119,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.102,2,0.09139416,401.4772,-0.0232933,0.2548664,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.112,2,0.0919775,401.4834,-0.02191606,0.2382763,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.122,2,0.0910112,401.4858,-0.02070623,0.227513,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.132,2,0.09252096,401.4779,-0.02172613,0.2348238,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.142,2,0.09113047,401.4781,-0.02197747,0.2411649,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.152,2,0.09018198,401.4849,-0.0212825,0.2359951,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.162,2,0.09169094,401.4767,-0.0209764,0.2287729,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.172,2,0.09129111,401.4774,-0.02231794,0.24447,-0.30518,-8.4817,-33.973,-0.008998871,
2,0.182,2,0.09213599,401.4805,-0.02182417,0.2368691,-0.30518,-8.4817,-33.973,-0.008998871,
