Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/4/2026 1:01:47 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 20;10;2;1.005025,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.09679651,389.2996,-0.01945416,0.2009799,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.019,2,0.09619766,389.3063,-0.01811281,0.1882874,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.029,2,0.0985627,389.3005,-0.01666067,0.1690363,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.039,2,0.09659162,389.3087,-0.01701172,0.17612,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.049,2,0.09929775,389.3091,-0.01954238,0.1968059,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.059,2,0.09600615,389.3154,-0.01811444,0.18868,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.069,2,0.09884205,389.3032,-0.01714338,0.1734422,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.079,2,0.0998133,389.3049,-0.0152297,0.1525819,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.089,2,0.1004671,389.302,-0.01694822,0.1686942,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.099,2,0.09618407,389.2999,-0.01778373,0.1848927,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.109,2,0.0986037,389.298,-0.01777846,0.1803021,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.119,2,0.09854495,389.3008,-0.01897574,0.1925592,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.129,2,0.09630758,389.2972,-0.01798709,0.1867671,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.139,2,0.09700377,389.2982,-0.01761051,0.1815445,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.149,2,0.09728275,389.3031,-0.0171252,0.1760354,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.159,2,0.09740374,389.2951,-0.01780315,0.1827769,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.169,2,0.09623845,389.2989,-0.01794249,0.1864378,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.179,2,0.09144549,389.3086,-0.01832712,0.2004158,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.189,2,0.09385882,389.2841,-0.01976827,0.2106171,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.199,2,0.09627816,389.2904,-0.01886598,0.1959528,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.209,2,0.09436422,389.2932,-0.02083618,0.2208059,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.219,2,0.09471904,389.3165,-0.02116679,0.2234692,-4.4033,-12.2935,-33.9881,-0.004501343,
2,0.229,2,0.09459288,389.3126,-0.02367838,0.2503189,-4.4033,-12.2935,-33.9881,-0.004501343,
