Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/9/2026 2:03:46 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 6;1;2;0.3389831,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.09517933,392.8082,-0.0248678,0.2612731,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.019,2,0.09749344,392.8257,-0.02567736,0.2633753,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.029,2,0.09661949,392.8149,-0.02404231,0.248835,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.039,2,0.09540088,392.8225,-0.02505455,0.2626239,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.049,2,0.09558914,392.8055,-0.0247034,0.2584332,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.059,2,0.09857056,392.8148,-0.02489412,0.2525513,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.069,2,0.09419589,392.8091,-0.0267447,0.2839264,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.079,2,0.09576843,392.8122,-0.02700597,0.2819924,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.089,2,0.09730855,392.8215,-0.02436406,0.2503794,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.099,2,0.09531916,392.8119,-0.0245067,0.2571015,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.109,2,0.09505465,392.8043,-0.02504861,0.263518,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.119,2,0.09600405,392.817,-0.02580198,0.2687593,7.12065,-1.8103,-33.9623,-0.01100159,
2,0.129,2,0.09675749,392.8111,-0.02490579,0.2574043,7.12065,-1.8103,-33.9623,-0.01100159,
