Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/10/2026 10:54:04 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 6;2;2;0.6779661,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.0971529,396.0115,-0.01259828,0.1296748,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.019,2,0.09672171,395.9962,-0.0121556,0.1256761,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.029,2,0.09604529,395.9966,-0.01384657,0.1441671,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.039,2,0.09758632,396.0001,-0.01436426,0.1471954,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.049,2,0.09524184,396.0083,-0.01325869,0.1392107,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.059,2,0.09415971,396.0052,-0.01415328,0.1503114,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.069,2,0.09576639,396.0049,-0.01560867,0.1629869,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.079,2,0.09820809,396.0013,-0.01555904,0.1584293,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.089,2,0.0950726,396.009,-0.01359386,0.142984,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.099,2,0.09669289,396.0081,-0.01420033,0.1468601,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.109,2,0.09819359,396.0019,-0.0150764,0.1535375,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.119,2,0.09497107,396.0062,-0.01435603,0.1511621,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.129,2,0.09800374,396.0022,-0.01544678,0.1576142,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.139,2,0.09808982,396.0019,-0.01493986,0.152308,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.149,2,0.09691231,396.0041,-0.01291925,0.1333087,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.159,2,0.0969153,395.998,-0.01492948,0.1540467,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.169,2,0.09832092,395.9917,-0.01409758,0.1433833,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.179,2,0.09339651,395.9939,-0.01303053,0.1395184,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.189,2,0.09521433,396.0048,-0.01588634,0.1668482,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.199,2,0.0956245,396.0063,-0.0138138,0.1444588,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.209,2,0.09482688,395.9997,-0.01479457,0.1560166,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.219,2,0.09593625,396.0074,-0.01706338,0.1778616,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.229,2,0.09466285,395.9925,-0.01802519,0.1904146,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.239,2,0.0955564,396.0091,-0.01895633,0.1983784,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.249,2,0.09483943,396.01,-0.02257675,0.2380524,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.259,2,0.09100778,395.994,-0.02532133,0.2782325,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.269,2,0.09479146,395.9962,-0.02592634,0.2735093,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.279,2,0.09259227,395.9793,-0.02516701,0.2718047,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.289,2,0.09426726,396.0614,-0.02517548,0.2670649,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.299,2,0.09437196,396.0038,-0.02547534,0.2699461,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.309,2,0.09267849,396.0128,-0.02467243,0.2662153,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.319,2,0.09496839,395.987,-0.02488072,0.2619894,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.329,2,0.09565429,395.9785,-0.02320411,0.2425831,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.339,2,0.09476575,395.9597,-0.02454148,0.25897,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.349,2,0.09749766,395.9607,-0.02632773,0.2700345,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.359,2,0.09793276,395.9595,-0.02529459,0.2582853,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.369,2,0.09628488,395.9558,-0.02376173,0.2467857,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.379,2,0.09652677,395.9795,-0.02350421,0.2434994,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.389,2,0.09601813,395.9577,-0.02454276,0.2556055,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.399,2,0.09553906,395.9597,-0.02453695,0.2568264,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.409,2,0.0973789,395.9535,-0.02370146,0.2433942,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.419,2,0.1002809,395.9486,-0.02431417,0.2424606,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.429,2,0.09611236,395.9588,-0.02615014,0.2720789,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.439,2,0.09522647,395.93,-0.02481775,0.2606182,-1.9271,-13.4572,-33.9409,-0.01250076,
2,0.449,2,0.09773266,395.9684,-0.0250447,0.2562572,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.459,2,0.09660053,395.9488,-0.02493784,0.2581543,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.469,2,0.09618693,395.9574,-0.02605266,0.2708544,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.479,2,0.09689448,395.9607,-0.02503607,0.2583849,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.489,2,0.09838877,395.9527,-0.0251623,0.2557437,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.499,2,0.09696512,395.9541,-0.0251094,0.2589529,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.509,2,0.09754016,395.951,-0.02557925,0.2622432,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.519,2,0.1028773,395.9297,-0.02504678,0.2434628,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.529,2,0.1000111,395.9144,-0.02574109,0.2573824,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.539,2,0.100496,395.9433,-0.02683492,0.2670248,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.549,2,0.09957771,395.9355,-0.02716896,0.2728418,-1.92883,-13.4572,-33.941,-0.01239777,
2,0.559,2,0.102722,395.9434,-0.0269076,0.261946,-1.92883,-13.4572,-33.941,-0.01239777,
