Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/10/2026 11:14:18 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 6;6;2;2.033898,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.002,2,0.09506616,397.1318,-0.01954931,0.205639,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.012,2,0.09428382,397.1282,-0.01841656,0.1953311,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.022,2,0.09088854,397.1078,-0.02049517,0.2254979,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.032,2,0.09395741,397.12,-0.01972927,0.209981,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.042,2,0.09452105,397.1096,-0.01928912,0.2040722,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.052,2,0.09425332,397.121,-0.01752283,0.1859121,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.062,2,0.09431852,397.1182,-0.01940918,0.2057834,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.072,2,0.09503942,397.1023,-0.0186528,0.1962638,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.082,2,0.09425951,397.095,-0.01905371,0.202141,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.092,2,0.091781,397.0852,-0.01973073,0.2149762,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.102,2,0.09142955,397.0836,-0.01943968,0.2126192,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.112,2,0.09381781,397.1008,-0.0188932,0.2013818,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.122,2,0.0936529,397.1093,-0.02172131,0.2319342,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.132,2,0.09373847,397.1244,-0.02001458,0.2135151,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.142,2,0.09422615,397.1385,-0.01798498,0.1908704,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.152,2,0.09325194,397.1283,-0.01917793,0.2056572,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.162,2,0.09376466,397.1123,-0.02055747,0.2192454,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.172,2,0.09454224,397.0956,-0.01950771,0.2063385,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.182,2,0.09465913,397.0924,-0.0180588,0.1907772,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.192,2,0.09260353,397.1254,-0.01929414,0.2083522,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.202,2,0.09226905,397.1362,-0.01776536,0.1925387,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.212,2,0.09133733,397.1179,-0.01806657,0.1978005,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.222,2,0.09104931,397.0915,-0.01959711,0.2152363,-2.44705,-12.4139,-33.9441,-0.01470184,
2,0.232,2,0.09125944,397.1139,-0.02135693,0.2340243,-2.44705,-12.4139,-33.9441,-0.01470184,
