Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/2/2026 4:17:55 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 10;5;2;1.010101,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.09378408,392.6009,-0.01412821,0.1506462,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.019,2,0.09434184,392.5969,-0.01397276,0.1481078,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.029,2,0.09278169,392.5927,-0.01439339,0.1551318,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.039,2,0.09370632,392.5841,-0.01506115,0.1607271,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.049,2,0.09119476,392.5931,-0.01625839,0.178282,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.059,2,0.09076883,392.5948,-0.01471206,0.1620827,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.069,2,0.09391097,392.5933,-0.01682759,0.1791866,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.079,2,0.09400162,392.5951,-0.01485953,0.1580774,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.089,2,0.09361842,392.5864,-0.01501159,0.1603487,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.099,2,0.09489138,392.5939,-0.01467481,0.1546485,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.109,2,0.09476834,392.5883,-0.01643291,0.1734008,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.119,2,0.09379604,392.5948,-0.01571129,0.1675049,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.129,2,0.09525924,392.5915,-0.01665144,0.1748013,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.139,2,0.09456999,392.5862,-0.01393405,0.1473411,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.149,2,0.09180444,392.5799,-0.01519707,0.1655374,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.159,2,0.0941752,392.5856,-0.01307314,0.1388172,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.169,2,0.09693669,392.585,-0.01650327,0.170248,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.179,2,0.09128418,392.5844,-0.01646527,0.1803737,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.189,2,0.09318131,392.6003,-0.01393303,0.149526,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.199,2,0.09477333,392.5813,-0.0118464,0.1249972,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.209,2,0.08801401,392.5767,-0.01267828,0.1440484,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.219,2,0.09220722,392.6023,-0.01196907,0.1298063,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.229,2,0.09133556,392.6014,-0.01294727,0.141755,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.239,2,0.09021074,392.5927,-0.01418446,0.157237,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.249,2,0.09383626,392.5865,-0.01524381,0.1624512,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.259,2,0.09145119,392.5751,-0.01610776,0.1761351,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.269,2,0.0917462,392.5736,-0.01725927,0.1881198,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.279,2,0.09225427,392.5687,-0.01710024,0.1853599,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.289,2,0.09137446,392.5933,-0.0161086,0.1762921,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.299,2,0.08990431,392.5801,-0.0160119,0.1780994,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.309,2,0.09582953,392.5577,-0.01583619,0.1652538,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.319,2,0.09634765,392.5295,-0.0175185,0.1818259,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.329,2,0.09783643,392.5238,-0.01741322,0.1779829,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.339,2,0.09836427,392.5185,-0.01539664,0.1565267,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.349,2,0.09889489,392.501,-0.01677485,0.169623,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.359,2,0.09608625,392.5029,-0.01751809,0.1823163,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.369,2,0.09840061,392.5079,-0.01783473,0.1812462,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.379,2,0.09817205,392.5017,-0.01701863,0.1733552,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.389,2,0.09795626,392.4969,-0.01661158,0.1695816,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.399,2,0.09756309,392.4744,-0.01693952,0.1736263,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.409,2,0.09788903,392.5152,-0.01725079,0.1762281,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.419,2,0.09742471,392.4967,-0.01510167,0.1550086,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.429,2,0.09441903,392.487,-0.01703502,0.1804194,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.439,2,0.0963057,392.4869,-0.01795022,0.1863879,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.449,2,0.09767464,392.4878,-0.01768297,0.1810395,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.459,2,0.09596791,392.4874,-0.01783722,0.1858665,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.469,2,0.09597852,392.4973,-0.01770349,0.1844527,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.479,2,0.09524554,392.4975,-0.01726188,0.1812356,5.89965,-9.6558,-33.6096,-0.003398895,
2,0.489,2,0.09541213,392.4927,-0.01793798,0.1880053,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.499,2,0.09481791,392.4927,-0.01831542,0.1931641,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.509,2,0.09858377,392.4923,-0.01880182,0.1907193,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.519,2,0.09700114,392.4742,-0.01799602,0.1855238,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.529,2,0.09570669,392.47,-0.017943,0.187479,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.539,2,0.0991324,392.4835,-0.0186152,0.1877812,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.549,2,0.1026959,392.4702,-0.01866393,0.1817397,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.559,2,0.0993418,392.4085,-0.01861773,0.1874108,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.569,2,0.1032977,392.4034,-0.01907352,0.1846461,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.579,2,0.1013822,392.4046,-0.01896672,0.1870814,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.589,2,0.1037341,392.4012,-0.01940597,0.1870742,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.599,2,0.1043409,392.393,-0.01803403,0.1728375,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.609,2,0.1068105,392.3839,-0.01632383,0.1528298,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.619,2,0.1016636,392.3809,-0.01703301,0.1675429,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.629,2,0.1027663,392.4005,-0.01762264,0.1714828,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.639,2,0.105561,392.4017,-0.01871988,0.177337,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.649,2,0.1023774,392.3842,-0.01783929,0.1742502,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.659,2,0.1041296,392.3812,-0.01636397,0.1571501,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.669,2,0.1048258,392.3705,-0.01737148,0.1657175,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.679,2,0.1040791,392.3759,-0.01736951,0.1668875,5.8977,-9.6558,-33.6099,-0.003097534,
2,0.689,2,0.1016549,392.3704,-0.01769748,0.1740937,5.89365,-9.6558,-33.6103,-0.002700806,
2,0.699,2,0.1031272,392.3717,-0.01845337,0.178938,5.89365,-9.6558,-33.6103,-0.002700806,
2,0.709,2,0.1016619,392.3778,-0.01701461,0.1673647,5.89365,-9.6558,-33.6103,-0.002700806,
2,0.719,2,0.1036366,392.3781,-0.01726805,0.1666212,5.89365,-9.6558,-33.6103,-0.002700806,
2,0.729,2,0.1042531,392.3691,-0.0183597,0.176107,5.89365,-9.6558,-33.6103,-0.002700806,
2,0.739,2,0.1049335,392.3752,-0.01691991,0.1612441,5.89365,-9.6558,-33.6103,-0.002700806,
