Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/2/2026 4:30:32 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 20;5;2;0.5025126,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.002,2,0.09307155,399.1338,-0.01408191,0.151302,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.012,2,0.09370434,399.132,-0.01409153,0.1503829,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.022,2,0.09542622,399.1331,-0.01323708,0.1387153,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.032,2,0.0918764,399.1374,-0.01398835,0.1522518,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.042,2,0.09415323,399.1316,-0.01357827,0.1442146,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.052,2,0.09367446,399.14,-0.01488272,0.158877,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.062,2,0.09303714,399.1348,-0.01309429,0.1407427,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.072,2,0.09460926,399.1364,-0.01335964,0.1412086,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.082,2,0.09547987,399.135,-0.01584076,0.1659068,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.092,2,0.09266253,399.1429,-0.01642249,0.177229,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.102,2,0.09322633,399.1326,-0.01539399,0.1651249,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.112,2,0.09387051,399.1407,-0.01402254,0.1493817,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.122,2,0.09337448,399.1347,-0.01325131,0.1419158,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.132,2,0.09473784,399.1417,-0.01406248,0.1484358,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.142,2,0.09605358,399.1447,-0.01324663,0.1379088,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.152,2,0.09507999,399.1313,-0.01414115,0.148729,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.162,2,0.09162389,399.1368,-0.01574945,0.1718924,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.172,2,0.09230734,399.1361,-0.01153245,0.1249353,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.182,2,0.09401407,399.1342,-0.01321206,0.1405328,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.192,2,0.09203853,399.1469,-0.01388302,0.1508392,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.202,2,0.09078389,399.1446,-0.01630679,0.179622,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.212,2,0.09414205,399.1394,-0.01460109,0.1550963,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.222,2,0.09185185,399.1392,-0.01510345,0.1644327,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.232,2,0.09199253,399.1382,-0.01719342,0.1869001,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.242,2,0.0941458,399.1424,-0.02008831,0.2133745,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.252,2,0.09134603,399.1472,-0.02091304,0.2289431,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.262,2,0.09217094,399.1384,-0.02259336,0.2451245,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.272,2,0.09051926,399.1439,-0.02658301,0.2936724,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.282,2,0.09027369,399.1407,-0.02494594,0.2763368,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.292,2,0.0914294,399.1336,-0.02346807,0.2566796,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.302,2,0.0928409,399.1394,-0.02399401,0.2584423,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.312,2,0.09770513,399.1082,-0.02507311,0.2566202,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.322,2,0.09555839,399.0878,-0.02186414,0.228804,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.332,2,0.09580219,399.0794,-0.02294636,0.2395181,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.342,2,0.09651072,399.0762,-0.02595461,0.2689298,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.352,2,0.09681506,399.0656,-0.02302203,0.2377939,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.362,2,0.09822953,399.081,-0.0224117,0.2281564,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.372,2,0.09743867,399.0805,-0.02274228,0.233401,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.382,2,0.09539601,399.0644,-0.02417969,0.2534664,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.392,2,0.09647696,399.0699,-0.02344128,0.2429728,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.402,2,0.09599356,399.0553,-0.02204035,0.2296024,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.412,2,0.09535938,399.0609,-0.02320874,0.2433818,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.422,2,0.09705616,399.0572,-0.02253906,0.232227,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.432,2,0.09683108,399.0721,-0.02289918,0.2364859,5.83222,-7.1341,-33.6287,-0.0121994,
2,0.442,2,0.09642918,399.0622,-0.02281363,0.2365843,5.83222,-7.1341,-33.6287,-0.0121994,
