Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/8/2026 8:53:52 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 14;5;2;0.7194245,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.019,2,0.09885589,413.5366,-0.004586035,0.04639111,7.637,-11.4001,-33.8592,-0.01679993,
2,0.029,2,0.09879782,413.5374,-0.004800444,0.04858856,7.637,-11.4001,-33.8592,-0.01679993,
2,0.039,2,0.0970872,413.5298,-0.004889511,0.05036205,7.637,-11.4001,-33.8592,-0.01679993,
2,0.049,2,0.09602305,413.5372,-0.005679921,0.05915164,7.637,-11.4001,-33.8592,-0.01679993,
2,0.059,2,0.09708036,413.5344,-0.00563314,0.05802554,7.637,-11.4001,-33.8592,-0.01679993,
2,0.069,2,0.09577242,413.5414,-0.005575667,0.05821787,7.637,-11.4001,-33.8592,-0.01679993,
2,0.079,2,0.09435067,413.5411,-0.005406905,0.05730648,7.637,-11.4001,-33.8592,-0.01679993,
2,0.089,2,0.09557597,413.5374,-0.005744196,0.06010085,7.637,-11.4001,-33.8592,-0.01679993,
2,0.099,2,0.0959282,413.5381,-0.005982709,0.06236653,7.637,-11.4001,-33.8592,-0.01679993,
2,0.109,2,0.09679788,413.5389,-0.005479195,0.05660449,7.637,-11.4001,-33.8592,-0.01679993,
2,0.119,2,0.09785422,413.5335,-0.006175863,0.06311289,7.637,-11.4001,-33.8592,-0.01679993,
2,0.129,2,0.09567611,413.5393,-0.007544065,0.07885004,7.637,-11.4001,-33.8592,-0.01679993,
2,0.139,2,0.09541248,413.5405,-0.006241106,0.06541185,7.637,-11.4001,-33.8592,-0.01679993,
2,0.149,2,0.09660552,413.5364,-0.004894813,0.05066805,7.637,-11.4001,-33.8592,-0.01679993,
2,0.159,2,0.09563081,413.5559,-0.004077605,0.04263904,7.637,-11.4001,-33.8592,-0.01679993,
2,0.169,2,0.09313083,413.541,-0.004680121,0.05025319,7.637,-11.4001,-33.8592,-0.01679993,
2,0.179,2,0.09634772,413.5468,-0.00516815,0.0536406,7.637,-11.4001,-33.8592,-0.01679993,
2,0.189,2,0.09388803,413.5535,-0.004886903,0.05205033,7.637,-11.4001,-33.8592,-0.01679993,
2,0.199,2,0.09244157,413.5476,-0.005561009,0.06015701,7.637,-11.4001,-33.8592,-0.01679993,
2,0.209,2,0.09453876,413.5554,-0.00571977,0.06050185,7.637,-11.4001,-33.8592,-0.01679993,
2,0.219,2,0.095536,413.5536,-0.006202297,0.06492105,7.637,-11.4001,-33.8592,-0.01679993,
2,0.229,2,0.09394166,413.5461,-0.00857061,0.09123332,7.637,-11.4001,-33.8592,-0.01679993,
2,0.239,2,0.0932885,413.5396,-0.008679957,0.09304423,7.637,-11.4001,-33.8592,-0.01679993,
2,0.249,2,0.0926347,413.5475,-0.01364533,0.1473026,7.637,-11.4001,-33.8592,-0.01679993,
2,0.259,2,0.09335385,413.5411,-0.01655526,0.1773388,7.637,-11.4001,-33.8592,-0.01679993,
2,0.269,2,0.09057914,413.5468,-0.01918625,0.2118175,7.637,-11.4001,-33.8592,-0.01679993,
2,0.279,2,0.09316986,413.549,-0.0161996,0.1738716,7.637,-11.4001,-33.8592,-0.01679993,
2,0.289,2,0.09188405,413.5475,-0.01637747,0.1782406,7.637,-11.4001,-33.8592,-0.01679993,
2,0.299,2,0.09228989,413.5346,-0.01688625,0.1829697,7.637,-11.4001,-33.8592,-0.01679993,
2,0.309,2,0.09576979,413.5357,-0.01686452,0.1760944,7.637,-11.4001,-33.8592,-0.01679993,
2,0.319,2,0.09428934,413.4891,-0.01725705,0.1830223,7.637,-11.4001,-33.8592,-0.01679993,
2,0.329,2,0.0943716,413.4678,-0.01641793,0.1739711,7.637,-11.4001,-33.8592,-0.01679993,
2,0.339,2,0.09635365,413.4671,-0.0166903,0.1732191,7.637,-11.4001,-33.8592,-0.01679993,
2,0.349,2,0.09888189,413.437,-0.01706459,0.1725755,7.637,-11.4001,-33.8592,-0.01679993,
2,0.359,2,0.09771664,413.4469,-0.01795051,0.1836996,7.637,-11.4001,-33.8592,-0.01679993,
2,0.369,2,0.09723154,413.4456,-0.01804488,0.1855867,7.637,-11.4001,-33.8592,-0.01679993,
2,0.379,2,0.09746304,413.4587,-0.01719432,0.1764189,7.637,-11.4001,-33.8592,-0.01679993,
2,0.389,2,0.09997428,413.4652,-0.01902418,0.1902907,7.637,-11.4001,-33.8592,-0.01679993,
2,0.399,2,0.09846484,413.4627,-0.01784256,0.1812074,7.637,-11.4001,-33.8592,-0.01679993,
2,0.409,2,0.09687687,413.4572,-0.01780166,0.1837555,7.637,-11.4001,-33.8592,-0.01679993,
2,0.419,2,0.09705666,413.4647,-0.01687426,0.1738599,7.637,-11.4001,-33.8592,-0.01679993,
2,0.429,2,0.09795276,413.4647,-0.01717134,0.1753022,7.637,-11.4001,-33.8592,-0.01679993,
2,0.439,2,0.09859799,413.4685,-0.01746614,0.177145,7.637,-11.4001,-33.8592,-0.01679993,
2,0.449,2,0.09578954,413.465,-0.0179033,0.1869025,7.637,-11.4001,-33.8592,-0.01679993,
2,0.459,2,0.09657551,413.447,-0.01687062,0.1746884,7.637,-11.4001,-33.8592,-0.01679993,
2,0.469,2,0.1010386,413.4513,-0.01686125,0.1668792,7.637,-11.4001,-33.8592,-0.01679993,
2,0.479,2,0.09795189,413.4554,-0.01641373,0.1675693,7.637,-11.4001,-33.8592,-0.01679993,
2,0.489,2,0.09559475,413.4494,-0.01697231,0.1775443,7.637,-11.4001,-33.8592,-0.01679993,
2,0.499,2,0.09787633,413.4523,-0.01670604,0.1706852,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.509,2,0.09563678,413.4487,-0.01705071,0.1782861,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.519,2,0.09702782,413.4255,-0.0167202,0.1723238,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.529,2,0.09722969,413.4374,-0.01639329,0.1686038,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.539,2,0.1025279,413.4159,-0.01526513,0.1488876,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.549,2,0.1036551,413.3544,-0.01740433,0.1679061,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.559,2,0.104418,413.3508,-0.01716098,0.1643488,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.569,2,0.1071854,413.3385,-0.01832322,0.1709489,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.579,2,0.1061778,413.3386,-0.01879689,0.1770322,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.589,2,0.1028829,413.3472,-0.01939137,0.18848,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.599,2,0.1079727,413.3295,-0.01742914,0.1614217,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.609,2,0.1053338,413.3371,-0.01811322,0.1719602,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.619,2,0.1045436,413.3337,-0.01768771,0.1691898,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.629,2,0.1043586,413.3416,-0.01603704,0.1536725,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.639,2,0.1047099,413.3335,-0.01754014,0.1675117,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.649,2,0.1041318,413.3341,-0.01801588,0.1730104,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.659,2,0.1050124,413.3315,-0.01838991,0.1751214,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.669,2,0.1020257,413.3239,-0.01787113,0.1751631,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.679,2,0.1048381,413.3144,-0.01645377,0.1569445,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.689,2,0.1052523,413.3461,-0.01876334,0.1782701,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.699,2,0.1047939,413.3109,-0.01816542,0.1733443,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.709,2,0.1011467,413.3176,-0.01882233,0.1860895,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.719,2,0.1060233,413.322,-0.01749909,0.1650495,7.6352,-11.4001,-33.8595,-0.01649857,
2,0.729,2,0.1056448,413.3244,-0.0174623,0.1652926,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.739,2,0.1058188,413.3195,-0.01825011,0.1724656,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.749,2,0.1052844,413.3262,-0.01762826,0.1674348,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.759,2,0.1082541,413.3176,-0.01806398,0.1668665,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.769,2,0.1103062,413.2591,-0.01961644,0.1778363,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.779,2,0.1116937,413.2215,-0.02054232,0.1839165,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.789,2,0.1127938,413.2093,-0.01938279,0.1718427,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.799,2,0.1150758,413.2011,-0.01742186,0.1513947,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.809,2,0.115949,413.197,-0.01816615,0.1566736,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.819,2,0.1153005,413.1889,-0.01666802,0.1445615,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.829,2,0.1135149,413.1924,-0.02025259,0.1784134,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.839,2,0.1155599,413.2021,-0.01762008,0.1524757,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.849,2,0.1155552,413.2048,-0.0182573,0.1579963,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.859,2,0.1140296,413.1854,-0.01803122,0.1581276,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.869,2,0.1151176,413.1745,-0.01803895,0.1567002,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.879,2,0.1144952,413.1761,-0.01886013,0.1647242,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.889,2,0.1142789,413.1814,-0.01872102,0.1638187,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.899,2,0.1156069,413.1842,-0.01730623,0.1496989,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.909,2,0.1136583,413.1833,-0.01835767,0.1615162,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.919,2,0.1142453,413.1846,-0.01954271,0.1710592,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.929,2,0.1164487,413.1845,-0.01854457,0.159251,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.939,2,0.1154165,413.1996,-0.01783292,0.1545092,7.63252,-11.4001,-33.8599,-0.01609802,
2,0.949,2,0.1145473,413.1745,-0.01856252,0.1620512,7.62983,-11.4001,-33.8605,-0.01549911,
2,0.959,2,0.1124991,413.1711,-0.01738144,0.1545029,7.62983,-11.4001,-33.8605,-0.01549911,
2,0.969,2,0.1148712,413.1784,-0.01945568,0.1693695,7.62983,-11.4001,-33.8605,-0.01549911,
2,0.979,2,0.1122619,413.1723,-0.02355239,0.2097986,7.62983,-11.4001,-33.8605,-0.01549911,
2,0.989,2,0.1113866,413.163,-0.02060616,0.1849967,7.62983,-11.4001,-33.8605,-0.01549911,
