Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/2/2026 11:28:18 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 20;5;2;0.5025126,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.005,2,0.09559936,400.0084,-0.02330896,0.2438192,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.015,2,0.09389477,400.068,-0.02135785,0.2274658,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.025,2,0.09571828,400.0809,-0.02052125,0.2143922,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.035,2,0.09714146,400.0825,-0.02249705,0.2315906,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.045,2,0.0970574,400.0762,-0.02320215,0.239056,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.055,2,0.0958403,400.0858,-0.0223528,0.2332296,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.065,2,0.09476488,400.0829,-0.02374261,0.2505423,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.075,2,0.09518389,400.0591,-0.02198738,0.230999,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.085,2,0.09766753,400.0645,-0.02161019,0.2212628,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.095,2,0.0957278,400.0601,-0.02283121,0.2385013,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.105,2,0.09451207,400.0747,-0.02229806,0.2359281,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.115,2,0.09774512,400.0804,-0.02089201,0.2137397,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.125,2,0.09582273,400.0817,-0.02182795,0.2277951,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.135,2,0.09327555,400.0795,-0.02242443,0.2404105,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.145,2,0.0950052,400.0896,-0.02111656,0.2222674,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.155,2,0.09601703,400.0794,-0.02139789,0.2228551,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.165,2,0.09643356,400.0677,-0.02203451,0.2284942,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.175,2,0.09722728,400.0735,-0.02075289,0.2134472,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.185,2,0.09313384,400.0747,-0.02068247,0.2220726,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.195,2,0.09211688,400.0837,-0.02209788,0.2398895,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.205,2,0.09117171,400.0754,-0.02113003,0.2317608,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.215,2,0.09175681,400.0836,-0.02105857,0.2295042,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.225,2,0.09327002,400.0786,-0.02137924,0.2292188,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.235,2,0.09200554,400.0887,-0.0212015,0.2304372,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.245,2,0.09546225,400.0629,-0.02156083,0.2258571,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.255,2,0.09601095,400.0563,-0.02513101,0.2617515,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.265,2,0.09648383,400.0533,-0.02563588,0.2657013,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.275,2,0.09328646,400.054,-0.02894697,0.3103019,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.285,2,0.09635463,400.0589,-0.02913998,0.3024243,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.295,2,0.09209859,400.0625,-0.03425787,0.3719695,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.305,2,0.08963396,400.0444,-0.03610297,0.4027823,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.315,2,0.09182827,400.0387,-0.03805114,0.4143728,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.325,2,0.09376082,400.0434,-0.03640023,0.3882243,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.335,2,0.09297349,400.0342,-0.03709629,0.3989986,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.345,2,0.09346566,400.0344,-0.0361735,0.3870245,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.355,2,0.09165405,400.0436,-0.03742786,0.4083601,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.365,2,0.09262113,400.0386,-0.03671069,0.3963532,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.375,2,0.0922117,400.0284,-0.03646894,0.3954915,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.385,2,0.09275419,400.0251,-0.03781871,0.4077305,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.395,2,0.0934128,400.0213,-0.03617729,0.387284,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.405,2,0.09318423,400.0267,-0.03683839,0.3953286,6.56985,-6.9633,-33.6028,-0.01150131,
2,0.415,2,0.09015163,400.0186,-0.03645526,0.4043772,6.56935,-6.9633,-33.603,-0.01129913,
2,0.425,2,0.09196517,400.0313,-0.03700542,0.4023851,6.56935,-6.9633,-33.603,-0.01129913,
2,0.435,2,0.09358677,400.0305,-0.03715348,0.396995,6.56935,-6.9633,-33.603,-0.01129913,
2,0.445,2,0.09376382,400.0274,-0.03538375,0.377371,6.56935,-6.9633,-33.603,-0.01129913,
2,0.455,2,0.09122271,400.0151,-0.03685844,0.4040489,6.56935,-6.9633,-33.603,-0.01129913,
