Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/9/2026 10:39:39 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 4;1;2;0.5128205,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.002,2,0.1035576,400.8686,-0.02210271,0.213434,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.012,2,0.1039345,400.8776,-0.0222176,0.2137654,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.022,2,0.103319,400.8754,-0.02225539,0.2154046,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.032,2,0.1049539,400.8721,-0.02287596,0.2179619,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.042,2,0.1028584,400.884,-0.02315182,0.2250843,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.052,2,0.1024313,400.8801,-0.02192004,0.2139974,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.062,2,0.1037949,400.8835,-0.02250179,0.2167909,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.072,2,0.1036135,400.8762,-0.02171811,0.2096071,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.082,2,0.1039759,400.8739,-0.02163977,0.208123,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.092,2,0.1024571,400.8698,-0.02170571,0.2118516,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.102,2,0.1023842,400.8786,-0.02216785,0.2165163,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.112,2,0.10567,400.8756,-0.0216247,0.2046436,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.122,2,0.1042666,400.8813,-0.02207631,0.2117294,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.132,2,0.1034602,400.8799,-0.02217312,0.2143156,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.142,2,0.1038849,400.8741,-0.02062858,0.1985715,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.152,2,0.1052352,400.882,-0.02141642,0.20351,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.162,2,0.1049929,400.8842,-0.02307108,0.2197393,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.172,2,0.102264,400.8792,-0.02304535,0.2253515,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.182,2,0.1037444,400.8813,-0.02341851,0.2257327,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.192,2,0.102542,400.8839,-0.0212176,0.2069162,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.202,2,0.09964979,400.8847,-0.02222264,0.2230074,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.212,2,0.09974301,400.8774,-0.02371938,0.2378049,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.222,2,0.101294,400.8834,-0.02203888,0.2175734,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.232,2,0.1019927,400.8869,-0.02117731,0.2076355,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.242,2,0.1018041,400.8853,-0.02128409,0.2090691,-0.51395,-5.3698,-33.676,-0.01760101,
2,0.252,2,0.1005461,400.8893,-0.02418679,0.2405541,-0.51395,-5.3698,-33.676,-0.01760101,
