Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/9/2026 11:21:16 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 4;1;2;0.5128205,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.005,2,0.1017793,399.7719,-0.03982601,0.3912976,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.015,2,0.1014095,399.7587,-0.03955556,0.3900579,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.025,2,0.1031626,399.7651,-0.03937642,0.3816928,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.035,2,0.103091,399.7608,-0.04062853,0.3941033,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.045,2,0.1035823,399.7624,-0.04214156,0.4068412,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.055,2,0.1017942,399.7692,-0.03917374,0.3848327,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.065,2,0.1042243,399.7643,-0.03810947,0.3656486,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.075,2,0.10506,399.7667,-0.03918412,0.372969,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.085,2,0.1045493,399.7646,-0.03722652,0.3560668,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.095,2,0.1064173,399.7572,-0.03609725,0.3392048,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.105,2,0.104118,399.7635,-0.03526438,0.3386963,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.115,2,0.1046646,399.7714,-0.03728846,0.3562662,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.125,2,0.1058308,399.7678,-0.03724873,0.351965,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.135,2,0.1038273,399.7735,-0.03621435,0.3487942,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.145,2,0.1060387,399.7724,-0.0372133,0.3509409,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.155,2,0.1035885,399.7671,-0.03694498,0.3566514,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.165,2,0.1033626,399.7647,-0.0377958,0.3656622,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.175,2,0.1026042,399.7652,-0.03609869,0.3518247,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.185,2,0.1030303,399.7744,-0.03810314,0.3698246,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.195,2,0.1014948,399.7619,-0.03734506,0.3679504,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.205,2,0.1003865,399.7678,-0.03619458,0.3605522,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.215,2,0.1037645,399.7636,-0.03770941,0.3634133,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.225,2,0.1018498,399.7715,-0.03664692,0.3598132,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.235,2,0.09944076,399.7699,-0.03593067,0.3613274,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.245,2,0.1026625,399.7705,-0.03717204,0.3620799,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.255,2,0.1014855,399.7696,-0.03962394,0.3904393,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.265,2,0.09922357,399.771,-0.04025345,0.4056843,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.275,2,0.1009222,399.7685,-0.04235431,0.4196728,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.285,2,0.101427,399.7728,-0.04380937,0.4319302,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.295,2,0.09977709,399.7661,-0.04556292,0.4566471,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.305,2,0.1010728,399.7853,-0.04373563,0.4327141,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.315,2,0.102069,399.774,-0.04357794,0.4269461,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.325,2,0.1007169,399.7975,-0.04344123,0.4313202,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.335,2,0.100305,399.7948,-0.04301917,0.4288838,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.345,2,0.0991593,399.7801,-0.04339513,0.4376305,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.355,2,0.1026019,399.7904,-0.04350147,0.4239831,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.365,2,0.1028921,399.7971,-0.04336108,0.4214227,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.375,2,0.1027834,399.7861,-0.04472787,0.4351663,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.385,2,0.1024215,399.7815,-0.04234592,0.4134476,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.395,2,0.1010553,399.7953,-0.04165148,0.4121652,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.405,2,0.103504,399.7722,-0.04264298,0.4119936,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.415,2,0.1041102,399.7873,-0.04223363,0.4056629,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.425,2,0.1009953,399.7924,-0.04287731,0.4245477,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.435,2,0.1013132,399.7901,-0.04239386,0.4184437,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.445,2,0.1026089,399.7951,-0.04166982,0.4061032,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.455,2,0.105149,399.7949,-0.04189107,0.3983973,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.465,2,0.1015559,399.7921,-0.04092032,0.4029341,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.475,2,0.1028368,399.798,-0.04289915,0.4171578,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.485,2,0.1040424,399.8003,-0.04129082,0.3968653,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.495,2,0.1004786,399.8043,-0.04139295,0.4119577,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.505,2,0.1004038,399.7995,-0.04156746,0.4140029,-1.00025,-3.7283,-33.6657,-0.01070023,
2,0.515,2,0.1026829,399.797,-0.04290855,0.4178742,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.525,2,0.1023421,399.8056,-0.0418565,0.4089859,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.535,2,0.1021193,399.8003,-0.04300127,0.4210887,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.545,2,0.102684,399.8034,-0.04094387,0.3987364,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.555,2,0.1016421,399.8036,-0.04222915,0.4154691,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.565,2,0.1017467,399.7997,-0.04125704,0.4054877,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.575,2,0.1019324,399.7986,-0.04189286,0.4109867,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.585,2,0.1018472,399.7944,-0.04301153,0.4223145,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.595,2,0.1019097,399.7897,-0.04360442,0.4278729,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.605,2,0.1029713,399.8046,-0.04311263,0.4186857,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.615,2,0.1013095,399.8002,-0.04433706,0.4376398,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.625,2,0.1013371,399.7811,-0.04305102,0.4248297,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.635,2,0.1027389,399.7998,-0.04069632,0.3961139,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.645,2,0.1043587,399.7927,-0.04198013,0.4022678,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.655,2,0.1048177,399.7981,-0.04344097,0.414443,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.665,2,0.100619,399.8,-0.04284845,0.4258485,-1.00157,-3.7283,-33.6658,-0.01060104,
2,0.675,2,0.1032551,399.7994,-0.04289553,0.4154326,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.685,2,0.1033532,399.7993,-0.04126432,0.3992553,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.695,2,0.10456,399.8063,-0.0413236,0.3952141,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.705,2,0.106512,399.808,-0.04103941,0.3853032,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.715,2,0.1024499,399.8084,-0.04107635,0.4009408,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.725,2,0.1050782,399.8052,-0.03946783,0.3756045,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.735,2,0.106036,399.8084,-0.04086477,0.3853857,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.745,2,0.1035786,399.7849,-0.0424546,0.4098783,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.755,2,0.1053829,399.7997,-0.04222573,0.4006887,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.765,2,0.1041785,399.807,-0.04005513,0.3844854,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.775,2,0.1045016,399.8015,-0.0415765,0.3978553,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.785,2,0.1033441,399.8104,-0.04279104,0.4140638,-1.00322,-3.7283,-33.6658,-0.01060104,
2,0.795,2,0.1007971,399.7995,-0.04244698,0.4211132,-1.00322,-3.7283,-33.6658,-0.01060104,
