Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/10/2026 1:26:02 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 4;2;2;1.025641,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.01,2,0.09722784,394.1192,-0.03341382,0.3436652,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.02,2,0.09925951,394.1305,-0.03266955,0.3291327,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.03,2,0.09908941,394.1327,-0.03126617,0.3155349,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.04,2,0.09847041,394.1196,-0.03400074,0.3452888,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.05,2,0.1000818,394.1209,-0.03234601,0.3231956,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.06,2,0.09862936,394.1271,-0.03131969,0.3175494,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.07,2,0.09634537,394.1312,-0.03159594,0.3279445,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.08,2,0.09758304,394.1249,-0.03166337,0.3244762,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.09,2,0.09818098,394.1078,-0.03178192,0.3237075,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.1,2,0.0969768,394.1236,-0.03180003,0.3279138,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.11,2,0.09698437,394.1482,-0.03259789,0.3361149,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.12,2,0.09887673,394.1157,-0.03181341,0.3217482,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.13,2,0.09746306,394.1006,-0.03292232,0.3377928,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.14,2,0.09513811,394.1525,-0.03290651,0.3458814,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.15,2,0.09779876,394.156,-0.03167779,0.3239079,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.16,2,0.09653322,394.0838,-0.03078141,0.3188686,-3.71117,-9.2956,-33.8544,-0.0177002,
2,0.17,2,0.09662195,394.089,-0.03322411,0.3438567,-3.71117,-9.2956,-33.8544,-0.0177002,
