Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/8/2026 11:32:46 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 6;3;2;1.016949,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.01,2,0.09651844,387.501,-0.01368452,0.1417814,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.02,2,0.09705156,387.501,-0.01803645,0.185844,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.03,2,0.09381679,387.5001,-0.0205816,0.2193808,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.04,2,0.09317607,387.4935,-0.0209413,0.2247497,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.05,2,0.09507605,387.5023,-0.01730636,0.1820265,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.06,2,0.0979766,387.4989,-0.01527831,0.1559384,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.07,2,0.09600782,387.4927,-0.01469173,0.1530264,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.08,2,0.09526598,387.5017,-0.01517232,0.1592627,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.09,2,0.09703942,387.4897,-0.01789495,0.1844091,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.1,2,0.09925825,387.4858,-0.01293074,0.1302737,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.11,2,0.09653595,387.4998,-0.01434636,0.1486116,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.12,2,0.09352337,387.4872,-0.0136934,0.1464168,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.13,2,0.09685629,387.5015,-0.01681282,0.1735852,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.14,2,0.09737617,387.498,-0.01525448,0.1566552,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.15,2,0.09773203,387.481,-0.01328892,0.1359731,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.16,2,0.09723906,387.507,-0.01500992,0.154361,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.17,2,0.09588058,387.4833,-0.01451929,0.1514309,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.18,2,0.09649723,387.4907,-0.01439191,0.1491432,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.19,2,0.09516386,387.4904,-0.01482017,0.1557332,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.2,2,0.09245815,387.4838,-0.01378242,0.1490666,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.21,2,0.09790836,387.4944,-0.01171029,0.1196046,7.21585,-7.6722,-33.8673,-0.004703522,
2,0.22,2,0.09170421,387.4984,-0.01309212,0.1427646,7.21585,-7.6722,-33.8673,-0.004703522,
