Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/3/2026 11:06:50 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 5;5;2;2.040816,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.004,2,0.09749368,405.324,-0.0277288,0.2844164,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.014,2,0.1002148,405.3373,-0.0286826,0.2862113,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.024,2,0.09706893,405.3136,-0.0278313,0.2867168,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.034,2,0.09754565,405.3228,-0.02727041,0.2795657,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.044,2,0.1006901,405.3207,-0.02789651,0.2770531,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.054,2,0.09678067,405.3099,-0.0287969,0.2975481,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.064,2,0.09575534,405.2981,-0.02761153,0.288355,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.074,2,0.0989823,405.3341,-0.02901454,0.2931286,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.084,2,0.09782814,405.3298,-0.0288563,0.2949693,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.094,2,0.09445587,405.2946,-0.02819039,0.2984504,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.104,2,0.09955841,405.3275,-0.0277261,0.2784908,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.114,2,0.1005156,405.3222,-0.02893385,0.2878543,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.124,2,0.09365706,405.2831,-0.02899883,0.3096277,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.134,2,0.09763388,405.3245,-0.02746876,0.2813445,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.144,2,0.0990075,405.3159,-0.0268913,0.2716087,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.154,2,0.09434706,405.304,-0.02770129,0.2936106,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.164,2,0.0955425,405.3277,-0.02813509,0.2944772,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.174,2,0.1015641,405.3279,-0.02803363,0.2760191,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.184,2,0.09486482,405.2925,-0.02949155,0.3108797,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.194,2,0.09490755,405.3138,-0.02831135,0.2983045,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.204,2,0.09883528,405.3376,-0.02844693,0.2878216,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.214,2,0.09338322,405.2879,-0.02856636,0.3059046,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.224,2,0.09387203,405.3048,-0.02741956,0.2920951,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.234,2,0.09922998,405.3448,-0.02823216,0.2845124,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.244,2,0.09318921,405.2894,-0.02994738,0.321361,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.254,2,0.09336778,405.3262,-0.0311765,0.3339107,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.264,2,0.09812513,405.3436,-0.03239882,0.3301786,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.274,2,0.09221319,405.2968,-0.03302315,0.3581174,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.284,2,0.09239447,405.3086,-0.03262725,0.3531299,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.294,2,0.09853473,405.3543,-0.0347583,0.3527518,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.304,2,0.09274697,405.2979,-0.03208794,0.3459729,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.314,2,0.09235205,405.3236,-0.03272605,0.3543619,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.324,2,0.09889727,405.3419,-0.03383644,0.3421373,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.334,2,0.09205367,405.2891,-0.03185036,0.3459977,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.344,2,0.09606727,405.3549,-0.03190663,0.332128,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.354,2,0.09874963,405.3104,-0.03252342,0.3293523,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.364,2,0.09100195,405.2343,-0.03292658,0.3618228,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.374,2,0.09863254,405.2985,-0.03195316,0.3239617,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.384,2,0.09510146,405.1991,-0.03261191,0.3429171,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.394,2,0.0952767,405.2378,-0.03222408,0.3382158,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.404,2,0.0987698,405.2672,-0.03173481,0.3213008,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.414,2,0.09364204,405.2533,-0.03179087,0.3394936,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.424,2,0.09512804,405.2552,-0.0314884,0.3310107,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.434,2,0.09863506,405.2793,-0.03120585,0.3163769,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.444,2,0.09359223,405.2282,-0.03235156,0.345665,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.454,2,0.09845874,405.2601,-0.03251391,0.3302287,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.464,2,0.09983438,405.2547,-0.03352235,0.3357796,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.474,2,0.09218521,405.2279,-0.03281178,0.3559333,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.484,2,0.1015107,405.3242,-0.03183563,0.3136185,4.49845,-10.3249,-35.6314,-0.004997253,
2,0.494,2,0.0942288,405.2195,-0.03098768,0.3288557,4.4946,-10.3249,-35.6316,-0.004798889,
2,0.504,2,0.09233166,405.242,-0.03301257,0.3575433,4.4946,-10.3249,-35.6316,-0.004798889,
2,0.514,2,0.1009978,405.2976,-0.03248453,0.3216359,4.4946,-10.3249,-35.6316,-0.004798889,
