Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/2/2026 1:11:28 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 10;5;2;1.010101,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.005,2,0.09422092,396.5593,-0.01378792,0.1463361,7.677,-12.4211,-33.6462,-0.01600266,
2,0.015,2,0.09453098,396.5609,-0.01318013,0.1394266,7.677,-12.4211,-33.6462,-0.01600266,
2,0.025,2,0.09500334,396.5571,-0.01345575,0.1416345,7.677,-12.4211,-33.6462,-0.01600266,
2,0.035,2,0.09413724,396.5601,-0.0140133,0.1488603,7.677,-12.4211,-33.6462,-0.01600266,
2,0.045,2,0.09470797,396.5596,-0.01303003,0.1375812,7.677,-12.4211,-33.6462,-0.01600266,
2,0.055,2,0.0950499,396.5679,-0.01215359,0.1278654,7.677,-12.4211,-33.6462,-0.01600266,
2,0.065,2,0.0952692,396.5603,-0.01231562,0.1292718,7.677,-12.4211,-33.6462,-0.01600266,
2,0.075,2,0.09860888,396.5513,-0.01377819,0.1397256,7.677,-12.4211,-33.6462,-0.01600266,
2,0.085,2,0.09531995,396.5534,-0.01457598,0.1529163,7.677,-12.4211,-33.6462,-0.01600266,
2,0.095,2,0.0961139,396.5555,-0.01386193,0.1442239,7.677,-12.4211,-33.6462,-0.01600266,
2,0.105,2,0.0964819,396.5604,-0.01461836,0.151514,7.677,-12.4211,-33.6462,-0.01600266,
2,0.115,2,0.09447757,396.5567,-0.01230096,0.1301998,7.677,-12.4211,-33.6462,-0.01600266,
2,0.125,2,0.09698775,396.5578,-0.01367713,0.1410192,7.677,-12.4211,-33.6462,-0.01600266,
2,0.135,2,0.09415498,396.5531,-0.01507804,0.1601406,7.677,-12.4211,-33.6462,-0.01600266,
2,0.145,2,0.09564222,396.5489,-0.01496948,0.1565154,7.677,-12.4211,-33.6462,-0.01600266,
2,0.155,2,0.09414384,396.5476,-0.01989457,0.211321,7.677,-12.4211,-33.6462,-0.01600266,
2,0.165,2,0.09386589,396.5435,-0.01515555,0.1614596,7.677,-12.4211,-33.6462,-0.01600266,
