Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/4/2026 12:11:13 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 15;5;2;0.671141,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.09338783,394.7108,-0.02015225,0.215791,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.019,2,0.09284166,394.7149,-0.01945116,0.209509,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.029,2,0.09366976,394.7158,-0.01952177,0.2084105,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.039,2,0.09234569,394.7044,-0.01966158,0.2129128,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.049,2,0.09289455,394.7084,-0.01950236,0.2099408,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.059,2,0.09385736,394.7112,-0.01943219,0.2070396,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.069,2,0.09295994,394.7131,-0.02537585,0.2729762,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.079,2,0.09481623,394.7103,-0.02669152,0.2815079,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.089,2,0.0910728,394.7148,-0.02592564,0.2846694,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.099,2,0.09275763,394.7192,-0.02263664,0.2440407,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.109,2,0.09043539,394.7086,-0.02302808,0.2546357,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.119,2,0.0920759,394.71,-0.02336288,0.253735,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.129,2,0.09286352,394.7157,-0.02539451,0.2734606,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.139,2,0.09370042,394.7179,-0.02469915,0.263597,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.149,2,0.09253939,394.7139,-0.02562532,0.2769125,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.159,2,0.09413587,394.7158,-0.0234849,0.2494787,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.169,2,0.09201396,394.7149,-0.02308345,0.2508691,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.179,2,0.0920622,394.713,-0.02305806,0.2504618,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.189,2,0.09280917,394.7105,-0.02152875,0.231968,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.199,2,0.09281114,394.7161,-0.02054219,0.2213332,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.209,2,0.09020306,394.7308,-0.01866691,0.2069432,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.219,2,0.08902337,394.7068,-0.0191859,0.2155154,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.229,2,0.09138942,394.7128,-0.0173174,0.1894902,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.239,2,0.08972383,394.7154,-0.01921072,0.2141094,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.249,2,0.08970374,394.709,-0.0235294,0.2623013,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.259,2,0.08783565,394.7107,-0.02694193,0.3067311,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.269,2,0.08703388,394.7122,-0.02897182,0.3328798,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.279,2,0.08776082,394.7199,-0.02944664,0.3355328,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.289,2,0.08869498,394.7209,-0.03163256,0.3566444,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.299,2,0.08789826,394.7204,-0.03155819,0.3590309,-0.65043,-6.7902,-33.972,-0.01800156,
2,0.309,2,0.08910479,394.7235,-0.02903021,0.3257986,-0.65043,-6.7902,-33.972,-0.01800156,
