Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/4/2026 9:09:33 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 5;5;2;2.040816,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.014,2,0.09862929,408.972,-0.0079943,0.08105402,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.024,2,0.09428592,408.9737,-0.008962683,0.09505855,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.034,2,0.09587416,408.9743,-0.009780006,0.1020088,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.044,2,0.09710817,408.9703,-0.007805274,0.08037711,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.054,2,0.09493585,408.9662,-0.009139597,0.0962713,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.064,2,0.09348392,408.9663,-0.009201754,0.0984314,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.074,2,0.09618944,408.9669,-0.00888487,0.09236845,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.084,2,0.09936931,408.9608,-0.009264667,0.09323469,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.094,2,0.09377199,408.9549,-0.00925152,0.09865974,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.104,2,0.09653796,408.9637,-0.009715972,0.1006441,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.114,2,0.09993167,408.9607,-0.008562068,0.08567923,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.124,2,0.09416126,408.9559,-0.009800239,0.1040793,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.134,2,0.09201117,408.9622,-0.01055987,0.1147673,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.144,2,0.09816253,408.9539,-0.009896313,0.1008156,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.154,2,0.09585154,408.961,-0.00945831,0.09867666,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.164,2,0.09341498,408.9547,-0.009933591,0.1063383,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.174,2,0.09633365,408.95,-0.009273429,0.09626365,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.184,2,0.09494547,408.9702,-0.009557002,0.1006578,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.194,2,0.09151272,408.9566,-0.008668433,0.09472381,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.204,2,0.09525236,408.9657,-0.009251522,0.09712643,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.214,2,0.09534896,408.9617,-0.00960152,0.1006987,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.224,2,0.08969497,408.9628,-0.009907825,0.1104613,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.234,2,0.09250061,408.9603,-0.01265199,0.1367773,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.244,2,0.09622431,408.9612,-0.01574537,0.1636319,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.254,2,0.09332205,408.968,-0.01894087,0.2029624,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.264,2,0.08792498,408.9617,-0.01895112,0.2155374,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.274,2,0.09150656,408.9591,-0.01972559,0.2155647,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.284,2,0.09322868,408.9633,-0.01630036,0.1748428,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.294,2,0.09045207,408.9505,-0.01706294,0.1886407,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.304,2,0.09035753,408.9684,-0.0174354,0.1929601,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.314,2,0.09442913,408.9553,-0.01638518,0.1735183,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.324,2,0.0914676,408.9666,-0.01789816,0.1956776,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.334,2,0.09034284,408.9633,-0.01988488,0.2201047,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.344,2,0.09989864,408.944,-0.01663371,0.1665058,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.354,2,0.09603066,408.9159,-0.01734229,0.1805912,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.364,2,0.09682463,408.904,-0.01773481,0.1831642,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.374,2,0.1015114,408.918,-0.01764414,0.1738143,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.384,2,0.1003362,408.9091,-0.01632844,0.1627373,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.394,2,0.09762809,408.9146,-0.01618599,0.1657923,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.404,2,0.0970927,408.9243,-0.01709549,0.1760739,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.414,2,0.1015058,408.9123,-0.01684919,0.1659923,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.424,2,0.1003256,408.889,-0.01883115,0.1877003,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.434,2,0.09327556,408.9074,-0.0205347,0.2201509,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.444,2,0.09865075,408.9106,-0.01917845,0.1944075,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.454,2,0.09964971,408.9484,-0.01793736,0.1800042,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.464,2,0.09479335,408.9058,-0.01772079,0.1869413,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.474,2,0.09719627,408.9203,-0.01821238,0.1873774,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.484,2,0.09981478,408.8398,-0.01818364,0.1821738,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.494,2,0.09462836,408.908,-0.01917422,0.2026266,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.504,2,0.09932983,408.9158,-0.01706809,0.1718325,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.514,2,0.103192,408.9383,-0.01745942,0.1691936,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.524,2,0.09733613,408.9174,-0.01727993,0.1775285,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.534,2,0.09514669,408.9174,-0.01739284,0.1828002,4.33115,-9.3176,-33.9195,-0.007801056,
2,0.544,2,0.1017856,408.8902,-0.01781793,0.1750537,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.554,2,0.1012242,408.8993,-0.0164844,0.1628504,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.564,2,0.09832857,408.9011,-0.01550778,0.1577139,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.574,2,0.1002568,408.92,-0.01812394,0.1807752,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.584,2,0.1038593,408.8928,-0.0169398,0.1631034,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.594,2,0.1013559,408.8374,-0.01758659,0.1735134,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.604,2,0.1036052,408.7979,-0.0194607,0.1878352,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.614,2,0.1101087,408.8322,-0.01817483,0.1650627,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.624,2,0.1086387,408.8374,-0.01727578,0.1590205,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.634,2,0.1034367,408.8387,-0.01901465,0.1838289,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.644,2,0.1086112,408.8409,-0.0163913,0.1509173,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.654,2,0.1089088,408.8148,-0.01691432,0.1553072,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.664,2,0.1055536,408.8126,-0.01750207,0.1658121,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.674,2,0.1072393,408.8236,-0.01851166,0.1726201,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.684,2,0.1092034,408.8312,-0.01818832,0.1665545,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.694,2,0.1043771,408.83,-0.01772598,0.1698263,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.704,2,0.1034117,408.8352,-0.01774264,0.1715728,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.714,2,0.1069762,408.7953,-0.0177494,0.1659191,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.724,2,0.1089896,408.8227,-0.01807341,0.1658269,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.734,2,0.1020943,408.8058,-0.01808619,0.1771518,4.32625,-9.3176,-33.9198,-0.007499695,
2,0.744,2,0.1080976,408.832,-0.01891513,0.1749819,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.754,2,0.1086263,408.8246,-0.01827058,0.1681966,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.764,2,0.1032781,408.8059,-0.01859108,0.1800099,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.774,2,0.1072371,408.8127,-0.01823433,0.1700375,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.784,2,0.1085315,408.8132,-0.01711954,0.1577379,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.794,2,0.1095516,408.7931,-0.01793686,0.1637297,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.804,2,0.1114077,408.7492,-0.01826888,0.1639822,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.814,2,0.1171156,408.7286,-0.01938006,0.165478,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.824,2,0.1150177,408.7231,-0.01837296,0.1597404,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.834,2,0.114181,408.7084,-0.01841225,0.1612549,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.844,2,0.1176241,408.6986,-0.01974275,0.1678461,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.854,2,0.1173784,408.7128,-0.02007447,0.1710236,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.864,2,0.1125525,408.7117,-0.01911135,0.1697994,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.874,2,0.1159583,408.7014,-0.01933266,0.1667208,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.884,2,0.119808,408.7127,-0.01842619,0.1537976,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.894,2,0.1118982,408.7099,-0.01977306,0.1767058,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.904,2,0.1147152,408.7279,-0.01846401,0.1609552,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.914,2,0.1201062,408.7108,-0.01932868,0.1609299,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.924,2,0.1150095,408.6855,-0.01836876,0.1597152,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.934,2,0.1137851,408.7109,-0.01754587,0.1542019,4.31915,-9.3176,-33.9202,-0.007099152,
2,0.944,2,0.1181445,408.706,-0.01686417,0.1427419,4.31208,-9.3176,-33.9208,-0.006500244,
2,0.954,2,0.1161705,408.7066,-0.01770433,0.1523995,4.31208,-9.3176,-33.9208,-0.006500244,
2,0.964,2,0.1170612,408.717,-0.01814803,0.1550303,4.31208,-9.3176,-33.9208,-0.006500244,
2,0.974,2,0.1146804,408.7037,-0.01926587,0.1679962,4.31208,-9.3176,-33.9208,-0.006500244,
2,0.984,2,0.1148176,408.7028,-0.01939884,0.1689536,4.31208,-9.3176,-33.9208,-0.006500244,
2,0.994,2,0.1158937,408.7147,-0.01940441,0.1674329,4.31208,-9.3176,-33.9208,-0.006500244,
2,1.004,2,0.1204613,408.6594,-0.01892124,0.1570732,4.31208,-9.3176,-33.9208,-0.006500244,
2,1.014,2,0.1241907,408.5976,-0.01991671,0.160372,4.31208,-9.3176,-33.9208,-0.006500244,
2,1.024,2,0.1237747,408.5856,-0.01988654,0.1606672,4.31208,-9.3176,-33.9208,-0.006500244,
2,1.034,2,0.1246301,408.5753,-0.02043706,0.1639818,4.31208,-9.3176,-33.9208,-0.006500244,
