Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/4/2026 11:12:25 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 5;5;2;2.040816,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.007,2,0.0960939,393.0383,-0.02987009,0.3108428,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.017,2,0.09523222,393.0609,-0.02849069,0.2991708,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.027,2,0.09539801,393.0677,-0.02846628,0.2983949,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.037,2,0.09577104,393.0594,-0.03068043,0.3203518,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.047,2,0.09614515,393.0633,-0.02888669,0.3004487,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.057,2,0.0959335,393.0618,-0.02835938,0.295615,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.067,2,0.09484564,393.0498,-0.02663998,0.2808773,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.077,2,0.0931371,393.0487,-0.03319496,0.3564097,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.087,2,0.09448468,393.0475,-0.03555367,0.3762903,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.097,2,0.09522548,393.0507,-0.03551096,0.3729145,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.107,2,0.09622349,393.0373,-0.03480731,0.361734,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.117,2,0.09507789,393.0436,-0.03217075,0.338362,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.127,2,0.09366668,393.0587,-0.03330972,0.3556198,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.137,2,0.09695239,393.0545,-0.03311457,0.3415549,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.147,2,0.09461507,393.0471,-0.03076064,0.3251136,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.157,2,0.09659057,393.0426,-0.02876845,0.2978391,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.167,2,0.09504075,393.0518,-0.03095367,0.3256884,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.177,2,0.09175701,393.0458,-0.03366844,0.3669305,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.187,2,0.09373452,393.05,-0.03140449,0.3350365,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.197,2,0.09569301,393.0536,-0.03081259,0.3219941,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.207,2,0.09297101,393.0427,-0.03242637,0.3487794,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.217,2,0.09142623,393.0455,-0.032022,0.3502496,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.227,2,0.09206606,393.0544,-0.03014441,0.3274215,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.237,2,0.09334464,393.0488,-0.02963364,0.3174648,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.247,2,0.09236066,393.0585,-0.03343272,0.3619801,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.257,2,0.09346408,393.0449,-0.03888744,0.4160683,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.267,2,0.091414,393.0507,-0.04035723,0.4414776,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.277,2,0.09219649,393.0516,-0.04063493,0.4407426,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.287,2,0.09268213,393.0536,-0.03722716,0.401665,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.297,2,0.09303118,393.0485,-0.03868775,0.4158579,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.307,2,0.09298494,393.0566,-0.03726093,0.4007201,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.317,2,0.09184669,393.0679,-0.03775072,0.4110188,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.327,2,0.09370674,393.0578,-0.03576432,0.3816622,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.337,2,0.09143072,393.0548,-0.03932763,0.4301358,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.347,2,0.09348416,393.0286,-0.03165801,0.3386457,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.357,2,0.09388503,393.0584,-0.03518695,0.3747876,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.367,2,0.09274423,393.0665,-0.03781959,0.4077837,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.377,2,0.09294302,393.0952,-0.03739019,0.4022915,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.387,2,0.09302557,393.0699,-0.03778411,0.406169,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.397,2,0.09133284,393.0592,-0.03709732,0.4061773,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.407,2,0.09384786,393.0562,-0.03513951,0.3744306,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.417,2,0.09313537,393.0583,-0.03647959,0.3916835,0.16692,-10.8181,-33.9842,-0.0177002,
2,0.427,2,0.0926678,393.0579,-0.03435912,0.3707773,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.437,2,0.09421066,393.0794,-0.03650125,0.3874429,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.447,2,0.09208877,393.0736,-0.03651036,0.3964691,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.457,2,0.09353224,393.0671,-0.03434323,0.3671806,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.467,2,0.09432953,393.0539,-0.03591435,0.3807328,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.477,2,0.09260622,393.0666,-0.03393698,0.3664654,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.487,2,0.09738085,393.0602,-0.03620215,0.3717584,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.497,2,0.09581246,392.9957,-0.03487979,0.3640423,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.507,2,0.09814683,393.0081,-0.03768292,0.3839443,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.517,2,0.1021963,393.0089,-0.0395403,0.3869053,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.527,2,0.1007137,393.0031,-0.03435574,0.3411228,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.537,2,0.101441,393.0122,-0.0400025,0.3943424,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.547,2,0.1012122,393.0136,-0.03804946,0.3759375,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.557,2,0.1000343,393.0149,-0.0368937,0.3688106,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.567,2,0.1011004,393.0094,-0.03651457,0.3611715,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.577,2,0.1009899,393.0112,-0.03901231,0.386299,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.587,2,0.09921125,393.0033,-0.04095695,0.4128256,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.597,2,0.1017199,392.9971,-0.03782495,0.3718539,0.16527,-10.8181,-33.9844,-0.01749802,
2,0.607,2,0.1016254,393.0217,-0.04005888,0.3941819,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.617,2,0.1016526,392.9896,-0.04073653,0.4007426,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.627,2,0.101721,392.9949,-0.04053613,0.3985031,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.637,2,0.1002123,392.9957,-0.04197579,0.4188688,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.647,2,0.0997574,392.9966,-0.04068071,0.4077964,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.657,2,0.1007603,392.9906,-0.04307247,0.4274746,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.667,2,0.09831813,392.9749,-0.04208292,0.4280281,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.677,2,0.1029651,392.9631,-0.03958489,0.3844498,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.687,2,0.1027816,392.952,-0.04171355,0.4058463,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.697,2,0.1077556,392.9365,-0.04427677,0.4108999,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.707,2,0.1086477,392.9222,-0.04128983,0.380034,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.717,2,0.1095197,392.9078,-0.04454721,0.4067506,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.727,2,0.1068801,392.9019,-0.04426885,0.4141919,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.737,2,0.1067211,392.9189,-0.04315107,0.4043349,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.747,2,0.1085617,392.9014,-0.04445825,0.4095204,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.757,2,0.1095397,392.917,-0.04336202,0.3958566,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.767,2,0.1073287,392.8989,-0.0429372,0.4000533,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.777,2,0.1089652,392.8905,-0.04266236,0.3915228,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.787,2,0.1071456,392.8936,-0.04342692,0.4053075,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.797,2,0.1079296,392.9058,-0.04310431,0.3993743,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.807,2,0.1090241,392.9113,-0.04286294,0.3931512,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.817,2,0.1065292,392.9319,-0.04448434,0.417579,0.15765,-10.8181,-33.9848,-0.01710129,
2,0.827,2,0.1073593,392.9139,-0.04424962,0.4121638,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.837,2,0.1081529,392.9123,-0.0429505,0.3971277,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.847,2,0.1058642,392.8986,-0.04351994,0.411092,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.857,2,0.1088977,392.9155,-0.04335167,0.3980953,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.867,2,0.1071971,392.9278,-0.04146015,0.3867657,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.877,2,0.1065914,392.9482,-0.04392691,0.4121056,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.887,2,0.1088726,392.9291,-0.0462401,0.4247174,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.897,2,0.1101437,392.9027,-0.04672577,0.4242255,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.907,2,0.1123463,392.8962,-0.04560295,0.4059141,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.917,2,0.1136989,392.8349,-0.047026,0.4136013,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.927,2,0.1187366,392.8312,-0.04659079,0.3923878,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.937,2,0.1196519,392.8298,-0.04674422,0.3906685,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.947,2,0.1172141,392.8326,-0.04657928,0.3973862,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.957,2,0.1163119,392.8233,-0.04733092,0.4069308,0.15112,-10.8181,-33.9853,-0.01660156,
2,0.967,2,0.1185275,392.8045,-0.04543303,0.3833123,0.15112,-10.8181,-33.9853,-0.01660156,
