Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/9/2026 2:27:24 PM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 6;1;2;0.3389831,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.009,2,0.09451464,405.1451,-0.02192104,0.2319328,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.019,2,0.09573978,405.1479,-0.0233103,0.2434756,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.029,2,0.09615809,405.1453,-0.02316205,0.2408747,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.039,2,0.09210117,405.143,-0.02372272,0.2575724,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.049,2,0.09316802,405.1499,-0.02366852,0.2540412,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.059,2,0.09591515,405.1467,-0.02264721,0.2361171,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.069,2,0.09676154,405.1466,-0.02356605,0.2435477,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.079,2,0.09430288,405.1488,-0.02473453,0.2622882,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.089,2,0.09621494,405.1368,-0.02303573,0.2394194,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.099,2,0.09595124,405.1426,-0.02293757,0.2390544,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.109,2,0.09644862,405.1433,-0.0219057,0.2271231,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.119,2,0.09645043,405.1472,-0.02392878,0.2480941,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.129,2,0.09402459,405.1505,-0.02448679,0.2604296,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.139,2,0.09382712,405.1505,-0.02398314,0.2556099,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.149,2,0.0967924,405.1482,-0.02515855,0.2599227,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.159,2,0.09633431,405.1498,-0.02352517,0.2442034,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.169,2,0.09429348,405.1422,-0.02345959,0.2487933,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.179,2,0.09351616,405.1461,-0.02430765,0.2599299,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.189,2,0.09150979,405.1533,-0.02365224,0.2584668,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.199,2,0.09246237,405.1486,-0.02185934,0.2364134,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.209,2,0.09288578,405.1583,-0.02286918,0.2462075,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.219,2,0.09342398,405.1472,-0.02359795,0.2525899,6.96145,-1.2823,-33.9612,-0.01760101,
2,0.229,2,0.09327156,405.1387,-0.02506639,0.2687463,6.96145,-1.2823,-33.9612,-0.01760101,
