Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/10/2026 10:31:06 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 6;2;2;0.6779661,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.015,2,0.09413273,416.8639,-0.01824748,0.1938484,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.025,2,0.09464886,416.8626,-0.01602812,0.169343,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.035,2,0.09337936,416.8619,-0.01862149,0.1994177,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.045,2,0.09334408,416.8682,-0.01729822,0.1853167,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.055,2,0.09375747,416.868,-0.01786236,0.1905167,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.065,2,0.09384108,416.8708,-0.01768818,0.1884908,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.075,2,0.09371426,416.8702,-0.01599484,0.1706766,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.085,2,0.09495232,416.865,-0.01626117,0.1712562,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.095,2,0.09483636,416.8755,-0.01567765,0.1653126,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.105,2,0.09502228,416.8668,-0.01692814,0.1781492,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.115,2,0.09281738,416.8645,-0.01693874,0.1824953,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.125,2,0.09323011,416.8671,-0.01747772,0.1874686,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.135,2,0.09587239,416.8665,-0.01837788,0.1916911,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.145,2,0.09371253,416.8715,-0.01722615,0.1838191,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.155,2,0.09313343,416.8669,-0.0161924,0.1738624,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.165,2,0.09662784,416.8641,-0.01753002,0.1814179,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.175,2,0.09337976,416.8632,-0.01675901,0.1794716,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.185,2,0.09174214,416.8638,-0.01820156,0.1983991,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.195,2,0.09427813,416.8652,-0.01731067,0.1836128,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.205,2,0.0913919,416.8765,-0.01732194,0.1895347,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.215,2,0.09121853,416.8745,-0.0191189,0.2095945,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.225,2,0.09276737,416.8712,-0.02052047,0.2212035,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.235,2,0.09302266,416.8775,-0.02046174,0.2199651,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.245,2,0.09211556,416.8802,-0.02226917,0.2417525,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.255,2,0.09280409,416.8722,-0.02595844,0.2797122,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.265,2,0.09254155,416.8669,-0.0267556,0.2891199,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.275,2,0.09165579,416.8838,-0.02684504,0.2928897,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.285,2,0.09308049,416.8886,-0.02681473,0.2880811,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.295,2,0.09537014,416.8768,-0.02750306,0.2883823,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.305,2,0.09610783,416.8607,-0.02848836,0.2964208,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.315,2,0.09429179,416.8585,-0.02788259,0.2957054,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.325,2,0.09550567,416.8575,-0.02595931,0.271809,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.335,2,0.09537148,416.8576,-0.02652587,0.2781321,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.345,2,0.09488,416.8531,-0.02497089,0.2631839,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.355,2,0.09649128,416.8475,-0.02536419,0.2628651,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.365,2,0.0949384,416.8454,-0.02713659,0.2858337,-4.06822,-13.2701,-33.8824,-0.009799957,
2,0.375,2,0.09600361,416.8484,-0.02722075,0.2835388,-4.06822,-13.2701,-33.8824,-0.009799957,
