Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,TestDate, Operator, Customer, RefStd, Temperature, RH, Liquid, LastCalibDate, LCFz, LCFx, Tip, OtherData, samplevsscratch only.Rx,,,,10,1000,Scratch,1,9/10/2026 11:31:56 AM,,,ASTM/ISO,,,N/A,N/A,,,,Linear: 0.1 to 6;6;2;2.033898,0.3,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.CAP (um),DAQ.Fx (N),DAQ.COF (),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.Z Depth (mm),
2,0.007,2,0.09467101,393.5413,-0.01988592,0.2100529,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.017,2,0.09625652,393.5572,-0.02061338,0.2141505,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.027,2,0.09279208,393.5537,-0.02100871,0.2264062,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.037,2,0.09483109,393.5612,-0.0214407,0.2260936,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.047,2,0.0951699,393.5539,-0.02115812,0.2223194,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.057,2,0.09316932,393.557,-0.01990829,0.2136786,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.067,2,0.09411024,393.5481,-0.02126071,0.2259128,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.077,2,0.09351136,393.548,-0.02003873,0.2142919,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.087,2,0.09571325,393.5474,-0.02156561,0.2253148,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.097,2,0.09513546,393.5587,-0.02051138,0.2156019,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.107,2,0.09356044,393.5486,-0.02084216,0.2227668,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.117,2,0.09389931,393.5495,-0.02081528,0.2216766,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.127,2,0.09625954,393.5584,-0.02099849,0.2181445,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.137,2,0.0936226,393.5413,-0.02110039,0.225377,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.147,2,0.09247348,393.5353,-0.02049199,0.2215985,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.157,2,0.09263794,393.5424,-0.02341916,0.2528031,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.167,2,0.09119649,393.5398,-0.02188156,0.2399386,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.177,2,0.09269335,393.5306,-0.02122309,0.2289602,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.187,2,0.09315876,393.5498,-0.02148264,0.2306025,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.197,2,0.09427284,393.5412,-0.02453591,0.2602649,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.207,2,0.09233196,393.5443,-0.02939393,0.3183506,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.217,2,0.0930343,393.5563,-0.03339618,0.3589663,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.227,2,0.09213059,393.5516,-0.02986484,0.3241577,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.237,2,0.09417397,393.5254,-0.02918415,0.3098961,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.247,2,0.09185013,393.5483,-0.03056412,0.3327607,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.257,2,0.09388441,393.5466,-0.03082185,0.3282957,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.267,2,0.09396731,393.5183,-0.02985063,0.3176704,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.277,2,0.09202314,393.5335,-0.02941034,0.3195972,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.287,2,0.09107848,393.5567,-0.02908615,0.3193526,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.297,2,0.09211678,393.5982,-0.03112418,0.3378774,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.307,2,0.09597674,393.5101,-0.03049292,0.3177116,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.317,2,0.09502814,393.4779,-0.02909403,0.3061622,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.327,2,0.0959655,393.468,-0.0295605,0.3080325,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.337,2,0.09939754,393.4752,-0.03156686,0.3175819,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.347,2,0.09687346,393.4741,-0.0316636,0.3268552,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.357,2,0.09702062,393.3914,-0.03175833,0.3273359,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.367,2,0.09767951,393.4549,-0.03151441,0.3226308,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.377,2,0.0973687,393.5204,-0.03108817,0.319283,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.387,2,0.09860083,393.4547,-0.03272196,0.3318629,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.397,2,0.09700184,393.468,-0.03377973,0.3482381,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.407,2,0.09828515,393.4599,-0.03463458,0.3523888,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.417,2,0.09696849,393.4828,-0.0349315,0.3602355,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.427,2,0.09873619,393.4601,-0.03352729,0.3395644,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.437,2,0.0964993,393.4587,-0.03324543,0.3445147,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.447,2,0.0971414,393.4497,-0.03181141,0.3274753,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.457,2,0.09436713,393.4706,-0.03037884,0.3219218,-2.8326,-10.9532,-33.946,-0.01679993,
2,0.467,2,0.09628201,393.4565,-0.02982589,0.3097763,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.477,2,0.09830225,393.4319,-0.02987592,0.303919,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.487,2,0.09681405,393.4516,-0.03082349,0.3183782,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.497,2,0.09499591,393.4639,-0.03310025,0.3484387,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.507,2,0.09681486,393.4531,-0.03437925,0.355103,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.517,2,0.09592654,393.444,-0.03375477,0.3518815,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.527,2,0.09762013,393.4539,-0.03580382,0.3667668,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.537,2,0.1028866,393.4424,-0.03293201,0.3200807,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.547,2,0.1034084,393.3663,-0.03605193,0.3486363,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.557,2,0.1044213,393.3679,-0.03656247,0.3501438,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.567,2,0.1074767,393.3841,-0.03647967,0.3394195,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.577,2,0.1083405,393.3507,-0.03299056,0.3045081,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.587,2,0.1081393,393.3383,-0.03151134,0.2913958,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.597,2,0.1066635,393.3952,-0.03310152,0.3103358,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.607,2,0.1078531,393.3452,-0.03199718,0.2966737,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.617,2,0.1090714,393.3434,-0.03109376,0.285077,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.627,2,0.1052061,393.3668,-0.03288677,0.3125937,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.637,2,0.1061677,393.34,-0.03258127,0.306885,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.647,2,0.1079832,393.3237,-0.03339731,0.3092823,-2.8375,-10.9532,-33.9463,-0.01649857,
2,0.657,2,0.1083596,393.3103,-0.03246385,0.2995937,-2.8451,-10.9532,-33.9468,-0.01599884,
2,0.667,2,0.1066858,393.3314,-0.03318518,0.3110554,-2.8451,-10.9532,-33.9468,-0.01599884,
2,0.677,2,0.1068569,393.3085,-0.0338972,0.3172205,-2.8451,-10.9532,-33.9468,-0.01599884,
2,0.687,2,0.1074077,393.3236,-0.0341814,0.3182399,-2.8451,-10.9532,-33.9468,-0.01599884,
2,0.697,2,0.1071381,393.3026,-0.03383809,0.3158362,-2.8451,-10.9532,-33.9468,-0.01599884,
