Simulations ;;;;;;;;;;;;Configuration 1;Configuration 2;;;;;
;;;;;;;;;;;;C10 = 1,0;C10 = 400;;;;;
Mesh Convergence;Test 1,1;;;;;;;;;;;C01 = 0,1;C01 = 40;;;;;
;Mesh sizes;KE/IE (%);AE/IE (%);E drift (%);SCOF (-);RF2 (mN);Res depth (um);wallclock;;;;D1 = 1,8e-2;D1 = 2,8e-5;;;;;
;0,06;0,05;11,75;0,245;0,357;15,06;0,16;7min;;;;;;;;;;
;0,04;0,03;7;0,036;0,331;18,85;0,066;20min;;;;Test 1 (C1);Test 2 (C2);Test 3 (C1);Test 4 (C1);Test 5 (C1);Test 6 (C2);Test 7 (C1)
;0,03;0,01;5,27;0,009;0,325;20,64;0,096;40min;;;;Progressive;Progressive;Constant;Progressive;Progressive;0,1s ST;0,01s ST
;0,02;0,03;2,1;0,014;0,319;22,74;0,032;2h;;;;2s ST;2s ST;500 MS;0,1s ST;0,01 ST;0,01s RT;
;;i;c;c;c;d;c;;;;;0,2s RT;0,2 RT;;0,01s RT;0,001 RT;500 MS;
;Test 1,1 no ALE;;;;;;;;;;;-40e-3 SD (40um);-40e-3 SD;;""" Test1";""" Test1";adapt coarse;
;0,03;0,01;5,29;0,002;0,319;22,48;0,06;13min;;10,65;;500 MS;1000 MS;;;;;
;0,02;0,03;2,43;0,003;0,316;22,68;0,0086;46min;;10,85;;0,03 size;0,05 size;;;;;
;0,015;0,02;1,48;0,001;0,314;22,74;0,0026;2h;;14,9;;;;;;;Test 1,1;Test 2,1
;0,01;0,02;0,58;0,006;0,314;25,17;0,0076;6h;;;;;;;;;500 MS;0,6 size
;;;;;;;;;;;;;;;;;2s ST;
;Test 4 no ALE;;;;;;;;;;;;;;;;;
;0,06;0,28;28;0,57;0,335;20,07;0,25;10s;;;;;;;;;Test 1,2;
;0,04;0,41;15,73;0,53;0,323;21,98;0,13;30s;;;;;;;;;0,03 size;
;0,03;1,13;12,81;0,52;0,319;22,75;0,085;1min;;;;;;;;;2s ST;
;0,02;1,51;7,2;0,5;0,316;23,25;0,056;3min;;;;Scratching time;2s ST;0,1s;0,01s RT;;;
;0,015;2;5,39;0,493;0,314;23,67;0,037;11min;;;Mesh;;;;;;Test 1,3;
;0,01;2,41;3,72;0,491;0,312;23,85;0,021;50min;;;0,04;;;0,323;0,323;;500 MS;
;0,007;2,1;2,3;0,857;0,314;23,62;0,77;1h40;!! diff partition;;0,03;;0,319;0,319;0,315;;0,03 size;
;;d;c;c;c;c;c;;;;0,02;;0,316;0,316;0,303;;;
;;;;;;;;;;;0,015;;0,314;0,314;0,297;;;
;Test 5 no ALE;;;;;;;;;;0,01;;0,314;0,312;0,293;;;
;0,06;45,5;11,71;36,42;0,333;20,81;0,87;6s;;;;;;;;;;
;0,04;11,4;7,48;34,04;0,323;22,45;0,72;9s;;;;;;;;;;
;0,03;10,3;11,16;33,6;0,315;23,56;0,85;12s;;;;;;;;;;
;0,02;15;13,76;33,4;0,303;22,63;0,53;20s;;;;;;;;;;
;0,015;16,9;16,43;33,3;0,297;23,71;0,42;40s;;;;;;;;;;
;0,01;18,8;16;33,5;0,293;23,83;0,24;3min;;;;;;;;;;
;;d;d;c;d;c;c;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Test 6 no ALE;;;;;;;;;;;;;;;;;
;0,04;0,06;6,86;0,042;0,334;7280;9,95;18min;;;;;;;;;;
;0,03;0,03;5,07;0,008;0,325;8300;4,695;30min;;;;;;;;;;
;0,02;0,03;2,55;1,17;0,32;10050;2,55;1h30;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Friction coefficient;Test 7;;;conv;conv;;;;;;;;;;;;;
;0,3;1,13;12,81;526;6%;22,75;0,085;128s;;;;;;;;;;
;0,25;0,77;12,19;625;7%;22,76;0,076;121s;;;;;;;;;;
