Mesh convergence;Test 1;KE/IE (%);AE/IE (%);E drift (%);SCOF (-);RF2 (mN);Res depth (%);Pile-up (um);wallclock;;;;;Test 1 (conf 1);Test 2 (conf 2)
;0,04;0,01;4,64;59;0,364;319;46,5;5,32;90s;;;;;Progressive;""""
;0,03;0,02;2,74;52,4;0,374;346;49,9;7,1;4min;;;;;1000 MS;
;0,02;0,45;1,23;44,8;0,39;382;53,2;10,56;18min;;;;;0,1s ST;
;0,015;0,78;0,77;40,9;0,402;400;54,7;12,55;55min;;;;;Mises plasticity;
;0,01;0,95;0,46;36,8;0,418;424;56,6;16,17;1h30;;;;;Elastic;
;;div;conv;conv ?;conv ?;conv ?;conv;conv ?;;;;;;;
;;;;;;;;;;;;;;Conf 1 ( soft );Conf 2 ( rigid )
;Test 2;;;;;;;;;;;;;(10.0, 0.0), (14.0, 0.2), (18.0, 0.6);(28.0, 0.0), (30.0, 0.2), (40.0, 1.0), (60.0, 1.9)
;0,04;0,17;14,8;57,3;0,318;422;11,6;0,16;60s;;;;;E = 200;E = 1000
;0,03;0,28;8,91;51,2;0,316;468;12,3;0,16;80s;;;;;nu = 0,4;nu = 0,42
;0,02;0,48;3,92;45,7;0,316;512;14;0,45;3min;;;;;rho = 0,93e-9;rho = 0,95e-9
;0,015;0,71;2,25;42,8;0,316;538;15;1,07;9min;;;;;;
;0,01;0,95;1,18;39,8;0,318;571;16,5;1,92;40min;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Mass Scale Convergence;Test 1;;;;;;;;;;;;;;
0,03 size;5000;0,07;2,68;265;0,373;333;50,6;;40s;;;;;;
;3000;0,03;2,71;158;0,373;334;51,2;;50s;;;;;;
;2000;0,03;2,7;105;0,374;342;49,9;;60s;;;;;;
;1000;0,02;2,7;52;0,374;348;50,9;;80s;;;;;;
;500;0,01;2,8;26;0,374;344;50,2;;110s;;;;;;
;300;0,01;2,7;13;0,375;346;49,7;;140s;;;;;;
;200;0;2,7;9,8;0,375;348;49,8;;170s;;;;;;
;100;0,01;2,6;4,9;0,375;345;49,7;;235s;;;;;;
;;conv;id;conv ;id;id;id;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Friction;0,3;0,15;7,95;24,1;5%;505;5;1,02;;;;;;;
;0,25;0,09;8,55;28,6;5%;505;3,6;0,5;;;;;;;
;0,2;0,02;8,81;35;5%;506;2,7;0,25;;;;;;;
;0,15;0;8,97;45;5%;508;2,3;0,165;;;;;;;
;0,1;0;9,01;64;6%;511;1,7;0,128;;;;;;;
;0,05;0;9,06;109;7%;512;1,8;0,108;;;;;;;
;0,03;0;9,07;152;10%;512;1,7;0,097;;;;;;;
;0,01;0;9,08;250;23%;512;1,6;0,088;;;;;;;
