id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],SCOF_mean [-],SCOF_std [-],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00001,SUSPECT,0,0,,0,Design_00001_Results.csv,,2.0,6180.0,0.04707958419497372,0.6857335300147995,4.207502914767262,0.7796151041984558,0.3997112220083975,0.6393610835075378,3.3961751891527765,0.0002510084157397288,4.50502347946167,1.6309428215026855,0.2685631934176126,0.06569778665770132,0.028236889824779402,0.02772190343892155,0.045009254851655606,AE_IE_final=4.21%>2; ALLPW=3.4%>2,1,1.0,60.0,0.0,0.0,0.3333333333,-0.1166666667,0.0,0.05,0.0,1.0,0.6666666667,0.926,0.0,0.05,0.3333333333,0.3166666667
00002,SUSPECT,0,1,w,1,Design_00002_Results.csv,,2.0,4543.0,0.037217611421016636,0.6857335300147995,1.9688499856018453,0.9497119188308716,0.07543686825800347,0.7985171675682068,2.8551555880112383,0.00030422581537973095,6.4596028327941895,2.102965831756592,0.24070079526060892,0.06251625706845484,0.026388137966290658,0.024001022596998586,0.03414582586127228,ALLPW=2.86%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.0,1.0,0.6666666667,0.926,0.0,0.05,0.3333333333,0.3166666667
00003,SUSPECT,0,2,K,-1,Design_00003_Results.csv,,2.0,7492.0,0.037122059224939295,0.6857335300147995,2.097356524340679,0.9634397625923157,0.06391543975604307,0.8110294342041016,3.021675020603091,0.0002554371193502109,6.4919023513793945,2.1464011669158936,0.24350895370091188,0.0630291177929561,0.026421864962279773,0.02499509816458288,0.03808685584299757,AE_IE_final=2.1%>2; ALLPW=3.02%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.0,1.0,0.0,0.778,0.0,0.05,0.3333333333,0.3166666667
00004,SUSPECT,0,3,beta,1,Design_00004_Results.csv,,2.0,3706.0,0.03320387470628055,0.6857335300147995,1.4679461024490308,1.0646272897720337,0.19008256145822613,0.9131358861923218,2.210820188380785,0.0006521189756337067,7.885935306549072,2.443185806274414,0.21986374841772063,0.06301770608227196,0.024079676692020727,0.019473273648241342,0.0283530960054499,ALLPW=2.21%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,0.3333333333,0.3166666667
00005,SUSPECT,0,4,phi,1,Design_00005_Results.csv,,2.0,3728.0,0.03058413182298465,0.6110212024330314,1.5103998170969681,1.1068055629730225,0.21034556787732922,0.928532600402832,2.1243749904411175,0.0005344614930990396,7.963661193847656,2.5490787029266357,0.23062394117908622,0.06418881638423024,0.024231738303807197,0.019975742442091056,0.029803813113006665,ALLPW=2.12%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00006,SUSPECT,0,5,h,1,Design_00006_Results.csv,,2.0,5015.0,0.03032268239851362,0.6110212024330314,1.31757950165384,1.142844557762146,0.21112409544298844,0.9544086456298828,2.0892752135080515,0.0011501382582872126,8.434709548950195,2.660919189453125,0.2310964383035247,0.06232673249064399,0.023622210793811244,0.017567418506677673,0.02551261682642142,ALLPW=2.09%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00007,SUSPECT,0,6,eps_c,1,Design_00007_Results.csv,,2.0,6441.0,0.0308685645102937,0.6110212024330314,1.3564396847782954,1.1187412738800049,0.23231041552606685,0.9366272687911987,2.2154764740563397,0.0009522888727550131,8.080244064331055,2.5868947505950928,0.23636057372246397,0.06255192993131485,0.02418478155215613,0.017943510140795794,0.02628333733714826,ALLPW=2.22%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00008,SUSPECT,0,7,mu_eff,1,Design_00008_Results.csv,,2.0,6251.0,0.029341920178798036,0.6012105429377039,1.8825055545800846,2.5188357830047607,0.12688901244164208,1.5802100896835327,2.5824289669347054,0.0007715094377098414,7.5557122230529785,5.475529193878174,0.6074957000398425,0.08863017120182329,0.025313302346763655,0.01973211895789228,0.04732882418260348,ALLPW=2.58%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00009,SUSPECT,0,8,X,-1,Design_00009_Results.csv,,2.0,4323.0,0.09702176311223216,1.202895241984617,0.983000616428926,1.3998852968215942,0.06298385373729179,0.726847231388092,2.7133411191893377,0.004634466808946459,5.315669536590576,3.3122570514678955,0.4981117394533252,0.08273884449737269,0.015101675146528345,0.013081445959383126,0.030863868179698575,ALLPW=2.71%>2,1,0.3333333333,20.51971136,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00010,SUSPECT,1,0,,0,Design_00010_Results.csv,,2.0,2799.0,0.04406249444506251,0.8353883205124509,1.2048261277536283,0.7157557010650635,0.15281609821401507,0.5914879441261292,2.2300464058956124,0.0004692023500307297,5.607125759124756,1.6390037536621094,0.20933143876345173,0.0606543241379526,0.022562014589035825,0.01943473619710922,0.026146059741603285,ALLPW=2.23%>2,1,0.6666666667,35.08821286,0.0,0.0,0.6666666667,0.1166666667,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.0,0.05,1.0,0.95
