id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],F_fit_mode [-],F_fit_n [samples],F_fit_z [mm],SCOF_mean [-],SCOF_std [-],SCOF_n [samples],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00001,SUSPECT,0,0,,0,Design_00001_Results.csv,,1.9212410501193318,5556.0,0.04953835601611131,0.6921407117783287,4.211491243431532,0.7587683796882629,0.5418625684121023,0.6143712997436523,4.202998761745954,0.00037940813114034237,5.113753741128104,1.6474690726825165,ramp_fit,20,1.98,0.2557551410924363,0.06481649555341919,76,0.03662506951245192,0.022014471111257712,0.043010080255222495,AE_IE_final=4.21%>2; ALLPW=4.2%>2,1,1.0,60.0,0.0,0.0,0.3333333333,-0.1166666667,0.0,0.05,0.0,1.0,0.6666666667,0.926,0.0,0.05,0.3333333333,0.3166666667
00002,SUSPECT,0,1,w,1,Design_00002_Results.csv,,1.9033412887828163,4609.0,0.03779314658452175,0.6921407117783287,2.0370173468672674,0.9359825849533081,0.20722352641649316,0.781059205532074,3.279332176115643,0.0003066772303719794,7.075912175859723,2.12719794511795,ramp_fit,20,1.98,0.22834320728400453,0.06144338892078085,74,0.03521350097481179,0.021031791992674083,0.035398924402902,AE_IE_final=2.04%>2; ALLPW=3.28%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.0,1.0,0.6666666667,0.926,0.0,0.05,0.3333333333,0.3166666667
00003,SUSPECT,0,2,K,-1,Design_00003_Results.csv,,1.8973747016706444,4721.0,0.03773503275291891,0.6921407117783287,2.154589983954058,0.9491528868675232,0.1772507082484753,0.7915953397750854,3.5904353691121713,0.0002509093332944949,7.103511360713414,2.1619020036288665,ramp_fit,20,1.98,0.23134753277707767,0.061853129541029575,74,0.035214851051701815,0.019595580635919988,0.03788756825593047,AE_IE_final=2.15%>2; ALLPW=3.59%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.0,1.0,0.0,0.778,0.0,0.05,0.3333333333,0.3166666667
00004,SUSPECT,0,3,beta,1,Design_00004_Results.csv,,1.8794749403341289,3387.0,0.033183152058804295,0.6921407117783287,1.5109563990863428,1.0557602643966675,0.2101879564728575,0.904294490814209,2.255315043970101,0.0003742040587085141,8.654325199127197,2.4880548102515085,ramp_fit,20,1.98,0.20512839848184627,0.059552931562634866,72,0.03425682307878796,0.015039150085076593,0.02793446004789049,ALLPW=2.26%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,0.3333333333,0.3166666667
00005,SUSPECT,0,4,phi,1,Design_00005_Results.csv,,1.9033412887828163,3908.0,0.03006300631858122,0.6219446434363374,1.5680115764258822,1.0968197584152222,0.224552024929161,0.9174993634223938,2.315883934598667,0.0003688162674219361,8.631310047422136,2.568725970813206,ramp_fit,20,1.98,0.21685193695086635,0.06133587825222524,73,0.034243036066541416,0.015647606838622864,0.02838521269045023,ALLPW=2.32%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00006,SUSPECT,0,5,h,1,Design_00006_Results.csv,,1.8973747016706444,3762.0,0.02933756351979693,0.6219446434363374,1.4384145839034574,1.1338729858398438,0.29204110137541295,0.9484118223190308,2.0056008030076065,0.0007687398069891658,9.207611111232215,2.7351953710828503,ramp_fit,20,1.98,0.21777738739964253,0.0598024457567724,72,0.03393064514646117,0.013777637358209548,0.02594400510972406,ALLPW=2.01%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00007,SUSPECT,0,6,eps_c,1,Design_00007_Results.csv,,1.9033412887828163,3718.0,0.030814190031396172,0.6219446434363374,1.4979646708942524,1.1103215217590332,0.32710253281815477,0.9313791990280151,2.101262392297144,0.0008607362414552696,8.816573231560842,2.6560250077928815,ramp_fit,20,1.98,0.22275134591032483,0.05986454588701068,72,0.03424944249159044,0.013754098537333857,0.025834951868248784,ALLPW=2.1%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00008,SUSPECT,0,7,mu_eff,1,Design_00008_Results.csv,,1.867541766109785,4182.0,0.030322242287157332,0.6037476684649565,1.9125262094986824,2.472931385040283,0.092859466714281,1.541022777557373,2.747533714074491,0.0005977724628801945,8.298433310644969,5.830537312371389,ramp_fit,20,1.98,0.5876411076157488,0.08505035562390009,72,0.03607131425212838,0.012870717882402126,0.04669132287126427,ALLPW=2.75%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00009,SUSPECT,0,8,X,-1,Design_00009_Results.csv,,1.831742243436754,2025.0,0.1590260023545436,1.2266211321840728,0.9977113894139489,1.3828574419021606,0.11590376206579704,0.7194180488586426,2.343275670203286,0.003482839394695231,5.896246787479947,3.464742009980338,ramp_fit,20,1.98,0.47873600806885386,0.07753609878406097,70,0.027773545686889195,0.006786798379031168,0.030074861028307722,ALLPW=2.34%>2,1,0.3333333333,20.51971136,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00010,SUSPECT,1,0,,0,Design_00010_Results.csv,,1.8914081145584725,2595.0,0.04393001551016334,0.8459817924759196,1.260121550439227,0.7082244157791138,0.17565490049935895,0.5839274525642395,2.364580424530009,0.0004964534848546612,6.166845164980207,1.6415577224322728,ramp_fit,20,1.98,0.1959452496221651,0.05872192480322488,71,0.03262689109033311,0.01539635574709397,0.02641134103555376,ALLPW=2.36%>2,1,0.6666666667,35.08821286,0.0,0.0,0.6666666667,0.1166666667,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.0,0.05,1.0,0.95
