qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,margin,mu_signed,n_eff,rel,mu_star_null,mu_star_mde,verdict
Fn_half_N,X,2.4539619768826753,1.3836750407107434,3.185102719559672,0.9621274898754161,0.3920710666827971,nan,2.4539619768826753,6,1.0,,,n/a
Fn_half_N,h,0.523326205720889,0.0942992069426999,1.285760584510691,0.6716639270904382,1.2834517357394937,nan,0.523326205720889,6,0.21325766684685243,,,n/a
Fn_half_N,w,0.9699903021858364,0.4191043477967495,1.4684755603664361,0.5636212208386662,0.5810586142650779,nan,0.9699903021858364,6,0.3952751963247766,,,n/a
Fn_half_N,eps_c,0.14419674924444054,0.031182636578689527,0.29891093423738685,0.2112634085017209,1.4651052094356842,nan,-0.014589184272222328,5,0.05876079197755827,,,n/a
Fn_half_N,beta,0.5991592484552913,0.19117880905854626,1.0474495864308608,0.5035724770199252,0.8404651656770701,nan,0.5991592484552913,7,0.24415995606273297,,,n/a
Fn_half_N,K,0.06876169364580333,0.021512004543361312,0.14189345786151802,0.07825095777517235,1.1380021873552002,nan,-0.05745474695282161,6,0.028020684221502445,,,n/a
Fn_half_N,mu_eff,0.1834546981712632,0.03733005607876321,0.3467921723011429,0.2518853482701252,1.3730111617799994,nan,0.04088911157830215,5,0.07475857405268763,,,n/a
Fn_half_N,phi,0.0885928675538888,0.017224687937158683,0.20619282518528476,0.1233518764860888,1.3923454550227417,nan,0.05198376939087492,5,0.036101972397482036,,,n/a
scof,X,0.26927407243213947,0.19596891888325257,0.3316652305078551,0.07547121551667949,0.28027657781905163,nan,0.26927407243213947,6,0.39260830939735497,,,n/a
scof,h,0.027634019663425134,0.005579162957715839,0.059356420854450226,0.03041174199266817,1.1005182149783108,nan,-0.02641395881043739,6,0.04029108946107235,,,n/a
scof,w,0.06550346870392997,0.023268876504527698,0.11409849898256037,0.05022534252851514,0.766758517102802,nan,-0.06436609946743153,6,0.09550569007713716,,,n/a
scof,eps_c,0.009900581100619992,0.003887960874255592,0.017502299253857666,0.009716939638396387,0.981451446096219,nan,0.007606467573655603,5,0.014435294021652998,,,n/a
scof,beta,0.05353615450294212,0.025955871963635916,0.09417696801993616,0.04084652490980911,0.7629708425838535,nan,-0.05353615450294212,7,0.07805704768078885,,,n/a
scof,K,0.034024767064234546,0.004645671393665491,0.07563319236391076,0.0405640486280089,1.1921918099080298,nan,-0.034024767064234546,6,0.04960895846403638,,,n/a
scof,mu_eff,0.6858593310097516,0.5252913728640369,0.9566928395056331,0.22269808360401086,0.3246993567560642,nan,0.6858593310097516,5,1.0,,,n/a
scof,phi,0.1069313382231523,0.014508226111580041,0.2812682918360625,0.16873452997060595,1.5779708060744375,nan,-0.05758034424943378,5,0.15590855644658708,,,n/a
H_MPa,X,206.95361003028256,116.69151660925563,268.6139851960957,81.14052263842851,0.3920710666827971,nan,206.95361003028256,6,1.0,,,n/a
H_MPa,h,44.13444402059141,7.952674688372922,108.43395175061248,56.644428784125544,1.2834517357394932,nan,44.13444402059141,6,0.2132576668468524,,,n/a
H_MPa,w,81.80362883484118,35.34494771027629,123.84312443387375,47.53270321262758,0.5810586142650779,nan,81.80362883484118,6,0.39527519632477653,,,n/a
H_MPa,eps_c,12.160758027994154,2.6297714760926976,25.208498542644367,17.81678993750106,1.4651052094356847,nan,-1.2303712856907947,5,0.05876079197755829,,,n/a
