id,family,campaign,method,traj,step,moved,sign,status,run_status,file,fine_size_x,mass_scale,target_time_increment,scratch_time,scratch_depth,depth_mode,z_extraction,wallclock,KE_IE_steady_max,KE_IE_overall_max,AE_IE_final,E_ref,ETOTAL_drift,ALLIE_max,ALLPW,KE_final_over_IE_peak,F_n,F_t,SCOF_mean,SCOF_std,h_r,h_p,h_fp,parse_error,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_post_yield_slope_ratio,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00001,glassy_pc,CDP_drucker_prager_unified,morris,0,0,,0,OK,OK,Design_00001_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,5556.0,0.04953835601611131,0.6921407117783287,4.211491243431532,0.7587683796882629,0.5418625684121023,0.6143712997436523,4.202998761745954,0.00037940813114034237,4.4150004386901855,1.585403323173523,0.2664284811824569,0.06481978123787688,0.028344467639948433,0.027397418053963552,0.043010080255222495,,1,0,0.3333333333,0,0,0.6666666667,0,0.3333333333,60,0,-0.1166666667,0.05,1,0.926,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,20,-1,0,0.05,2.5,0.05,0.926,1,0,0.05,60,0.39,140,0.3166666667,0.02648013972,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00002,glassy_pc,CDP_drucker_prager_unified,morris,0,1,w,1,OK,OK,Design_00002_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4609.0,0.03779314658452175,0.6921407117783287,2.0370173468672674,0.9359825849533081,0.20722352641649316,0.781059205532074,3.279332176115643,0.0003066772303719794,6.35671329498291,2.0669193267822266,0.23997159302866836,0.06248486762829204,0.026294739928763834,0.023846465131979026,0.035398924402902,,1,0,1,0,0,0.6666666667,0,0.3333333333,60,0,0.35,0.05,1,0.926,0.05,0.3166666667,4405.817639,5196.152423,17.5,60,0.01583333333,30,20,1,0,0.05,2.5,0.05,0.926,1,0,0.05,60,0.39,140,0.3166666667,0.07944041916,1.1e-09,50,0,4.783333333,0.35
00003,glassy_pc,CDP_drucker_prager_unified,morris,0,2,K,-1,OK,OK,Design_00003_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4721.0,0.03773503275291891,0.6921407117783287,2.154589983954058,0.9491528868675232,0.1772507082484753,0.7915953397750854,3.5904353691121713,0.0002509093332944949,6.461227893829346,2.118727445602417,0.24304165875147613,0.06288907394679642,0.026568882514037866,0.023928250393787424,0.03788756825593047,,1,0,1,0,0,0,0,0.3333333333,60,0,0.35,0.05,1,0.778,0.05,0.3166666667,4405.817639,5196.152423,17.5,60,0.01583333333,30,20,1,0,0.05,2.5,0.05,0.778,1,0,0.05,60,0.39,140,0.3166666667,0.07944041916,1.1e-09,50,0,4.783333333,0.35
00004,glassy_pc,CDP_drucker_prager_unified,morris,0,3,beta,1,OK,OK,Design_00004_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3387.0,0.033183152058804295,0.6921407117783287,1.5109563990863428,1.0557602643966675,0.2101879564728575,0.904294490814209,2.255315043970101,0.0003742040587085141,7.927839279174805,2.4392075538635254,0.21900200368631606,0.062256527532505414,0.024045626514192654,0.019388654788903455,0.02793446004789049,,1,0,1,0,0.6666666667,0,0,0.3333333333,60,0,0.35,0.05,23.66666667,0.778,0.05,0.3166666667,4405.817639,5196.152423,17.5,60,0.01583333333,30,20,1,0,0.05,2.5,0.05,0.778,23.66666667,0,0.05,60,0.39,140,0.3166666667,0.07944041916,1.1e-09,50,0,4.783333333,0.35
00005,glassy_pc,CDP_drucker_prager_unified,morris,0,4,phi,1,OK,OK,Design_00005_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3908.0,0.03006300631858122,0.6219446434363374,1.5680115764258822,1.0968197584152222,0.224552024929161,0.9174993634223938,2.315883934598667,0.0003688162674219361,7.886777400970459,2.5107343196868896,0.2296422268855313,0.06343567328251411,0.024408365147031555,0.01959220973504565,0.02838521269045023,,1,0,1,0,0.6666666667,0,0,1,60,0,0.35,0.05,23.66666667,0.778,0.05,0.95,4405.817639,5196.152423,17.5,60,0.0475,30,20,1,0,0.05,2.5,0.05,0.778,23.66666667,0,0.05,60,0.39,140,0.95,0.07944041916,1.1e-09,50,0,0.35,0.35
00006,glassy_pc,CDP_drucker_prager_unified,morris,0,5,h,1,OK,OK,Design_00006_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3762.0,0.02933756351979693,0.6219446434363374,1.4384145839034574,1.1338729858398438,0.29204110137541295,0.9484118223190308,2.0056008030076065,0.0007687398069891658,8.469371795654297,2.6856706142425537,0.23044336940631638,0.06191705925563085,0.023611222420452365,0.017418445237086126,0.02594400510972406,,1,0.6666666667,1,0,0.6666666667,0,0,1,60,0.3,0.35,0.05,23.66666667,0.778,0.05,0.95,4405.817639,5196.152423,17.5,60,0.0475,30,20,1,0,0.05,2.5,0.05,0.778,23.66666667,0.3,0.05,60,0.39,140,0.95,0.07944041916,1.1e-09,50,0,0.35,0.35
00007,glassy_pc,CDP_drucker_prager_unified,morris,0,6,eps_c,1,OK,OK,Design_00007_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3718.0,0.030814190031396172,0.6219446434363374,1.4979646708942524,1.1103215217590332,0.32710253281815477,0.9313791990280151,2.101262392297144,0.0008607362414552696,8.097658157348633,2.603898048400879,0.23530471781527174,0.06184488298492281,0.02426443786326138,0.01779555432423821,0.025834951868248784,,1,0.6666666667,1,0.6666666667,0.6666666667,0,0,1,60,0.3,0.35,0.15,23.66666667,0.778,0.05,0.95,4405.817639,5196.152423,17.5,60,0.0475,30,6.666666667,1,0,0.15,2.5,0.15,0.778,23.66666667,0.3,0.05,60,0.39,140,0.95,0.02648013972,1.1e-09,50,0,0.35,0.35
00008,glassy_pc,CDP_drucker_prager_unified,morris,0,7,mu_eff,1,OK,OK,Design_00008_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4182.0,0.030322242287157332,0.6037476684649565,1.9125262094986824,2.472931385040283,0.092859466714281,1.541022777557373,2.747533714074491,0.0005977724628801945,7.503840446472168,5.439658164978027,0.605657724215203,0.08804796710857611,0.025772825477545197,0.019341000567750795,0.04669132287126427,,1,0.6666666667,1,0.6666666667,0.6666666667,0,0.6666666667,1,60,0.3,0.35,0.15,23.66666667,0.778,0.3166666667,0.95,4405.817639,5196.152423,17.5,60,0.3008333333,30,6.666666667,1,0,0.15,2.5,0.15,0.778,23.66666667,0.3,0.3166666667,60,0.39,140,0.95,0.02648013972,1.1e-09,50,0,2.216666667,0.35
00009,glassy_pc,CDP_drucker_prager_unified,morris,0,8,X,-1,OK,OK,Design_00009_Results.csv,0.01,5000.0,3.62976e-07,0.01,0.04,progressive,2.0,2025.0,0.1590260023545436,1.2266211321840728,0.9977113894139489,1.3828574419021606,0.11590376206579704,0.7194180488586426,2.343275670203286,0.003482839394695231,5.457378387451172,3.3321280479431152,0.49529986763559514,0.08105140941413436,0.014998551586037294,0.013633589953532504,0.030074861028307722,,0.3333333333,0.6666666667,1,0.6666666667,0.6666666667,0,0.6666666667,1,20.51971136,0.3,0.35,0.15,23.66666667,0.778,0.3166666667,0.95,1506.768438,1777.059132,17.5,20.51971136,0.3008333333,30,6.666666667,1,0,0.15,2.5,0.15,0.778,23.66666667,0.3,0.3166666667,60,0.39,140,0.95,0.07742839825,1.1e-09,50,0,2.216666667,0.35
00010,glassy_pc,CDP_drucker_prager_unified,morris,1,0,,0,OK,OK,Design_00010_Results.csv,0.01,5000.0,2.77577e-07,0.01,0.04,progressive,2.0,2595.0,0.04393001551016334,0.8459817924759196,1.260121550439227,0.7082244157791138,0.17565490049935895,0.5839274525642395,2.364580424530009,0.0004964534848546612,5.621997833251953,1.6255193948745728,0.2085258688471529,0.06013452117013895,0.022473925521084674,0.019672909904024052,0.02641134103555376,,0.6666666667,0,0.6666666667,0,0.3333333333,0.6666666667,0,1,35.08821286,0,0.1166666667,0.05,12.33333333,0.926,0.05,0.95,2576.537786,3038.728371,5.833333333,35.08821286,0.0475,30,20,1,0,0.05,2.5,0.05,0.926,12.33333333,0,0.05,60,0.39,140,0.95,0.04528040199,1.1e-09,50,0,0.35,0.1166666667
