# PC calibration design -- generated by generate_pc_calib.py
# campaign=PC_CALIB_physical family=glassy_pc_calib label=Exolon GP calibration (physical parameters, 25 um depth)
# method=factorial n_runs=32 n_factors=5
# active_factors=psi,soft_drop,sigma_scale,mu_eff,phi
#   psi in [0, 15] (lin) Drucker-Prager dilation angle; families.py PC sits at 0
#   soft_drop in [4, 20] (lin) intrinsic softening depth at sigma_y0 fixed (post-yield SHAPE)
#   sigma_scale in [0.9, 1.4] (lin) multiplies the whole yield table; centred on 1 because the PC baseline sigma_y0 = 70 MPa already matches the measured force ratio to within 10-20 %
#   mu_eff in [0.15, 0.5] (lin) effective friction coefficient at p_ref (friction LEVEL)
#   phi in [0.2, 0.85] (lin) alpha / mu_eff (friction SHAPE)
# levels: psi=0,7.5,15 sigma_scale=0.9,1.15,1.4 mu_eff=0.23,0.32,0.41
# held: soft_drop=12 (probed at 6,18) phi=0.3182 (probed at 0.5455,0.7727)
# frozen=E_MPa=2350.0,baseline_family=glassy_pc,eps_max=2.5,eps_soft=0.05,flow_stress_ratio=0.85,friction_angle_deg=27.13,h=0.35,mu_cap=0.6,n_points=60,note_hossain=tau0=38.32 alpha=0.06 -> mu_eff=0.227 phi=0.265 at p_ref,note_p_ref=PC reaches the same w0 at 53-61 % of the PMMA force; p_ref scales with that ratio, NOT with the PMMA 400 MPa,nu=0.37,p_ref_MPa=230.0,rho=1.2e-09,scratch_depth_mm=-0.025,sigma_y0_MPa=70.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.025 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns. Every row here IS
#       reachable through g_* -- no set: token is needed for any of them.
id,campaign,family,method,block,priority,traj,step,moved,sign,u_psi,u_soft_drop,u_sigma_scale,u_mu_eff,u_phi,g_psi,g_soft_drop,g_sigma_scale,g_mu_eff,g_phi,p_E,p_Q,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_scale,p_sigma_y0,p_sigma_y_floor,p_soft_drop,p_tau0
00001,PC_CALIB_physical,glassy_pc_calib,factorial,BASE,0,0,0,,0,0,0.5,0.2,0.2188571429,0.09969230769,0,12,1,0.2266,0.2648,2350,0,0.06000368,30,8,0,2.5,0.05,0.85,27.13,0.35,0.2266,60,0.37,230,0.2648,1.2e-09,1,70,58,12,38.3171536
00002,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,0,0.5,0,0.2285714286,0.1818461538,0,12,0.9,0.23,0.3182,2350,0,0.073186,30,8,0,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,36.06722
00003,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,0,0.5,0,0.7428571429,0.1818461538,0,12,0.9,0.41,0.3182,2350,0,0.130462,30,8,0,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,64.29374
00004,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,0,0.5,1,0.2285714286,0.1818461538,0,12,1.4,0.23,0.3182,2350,0,0.073186,30,8,0,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,36.06722
00005,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,0,0.5,1,0.7428571429,0.1818461538,0,12,1.4,0.41,0.3182,2350,0,0.130462,30,8,0,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,64.29374
00006,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,1,0.5,0,0.2285714286,0.1818461538,15,12,0.9,0.23,0.3182,2350,0,0.073186,30,8,15,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,36.06722
00007,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,1,0.5,0,0.7428571429,0.1818461538,15,12,0.9,0.41,0.3182,2350,0,0.130462,30,8,15,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,64.29374
00008,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,1,0.5,1,0.2285714286,0.1818461538,15,12,1.4,0.23,0.3182,2350,0,0.073186,30,8,15,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,36.06722
00009,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,1,0,0,,0,1,0.5,1,0.7428571429,0.1818461538,15,12,1.4,0.41,0.3182,2350,0,0.130462,30,8,15,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,64.29374
00010,PC_CALIB_physical,glassy_pc_calib,factorial,SOFT,2,0,0,,0,0.5,0.125,0.5,0.4857142857,0.1818461538,7.5,6,1.15,0.32,0.3182,2350,0,0.101824,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,1.15,80.5,73.6,6.9,50.18048
00011,PC_CALIB_physical,glassy_pc_calib,factorial,SOFT,2,0,0,,0,0.5,0.875,0.5,0.4857142857,0.1818461538,7.5,18,1.15,0.32,0.3182,2350,0,0.101824,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,1.15,80.5,59.8,20.7,50.18048
00012,PC_CALIB_physical,glassy_pc_calib,factorial,SPLIT,2,0,0,,0,0.5,0.5,0.5,0.4857142857,0.5315384615,7.5,12,1.15,0.32,0.5455,2350,0,0.17456,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.5455,1.2e-09,1.15,80.5,66.7,13.8,33.4512
00013,PC_CALIB_physical,glassy_pc_calib,factorial,SPLIT,2,0,0,,0,0.5,0.5,0.5,0.4857142857,0.8810769231,7.5,12,1.15,0.32,0.7727,2350,0,0.247264,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.7727,1.2e-09,1.15,80.5,66.7,13.8,16.72928
00014,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0,0.5,0,0.4857142857,0.1818461538,0,12,0.9,0.32,0.3182,2350,0,0.101824,30,8,0,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,50.18048
00015,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0,0.5,0.5,0.2285714286,0.1818461538,0,12,1.15,0.23,0.3182,2350,0,0.073186,30,8,0,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,36.06722
00016,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0,0.5,0.5,0.4857142857,0.1818461538,0,12,1.15,0.32,0.3182,2350,0,0.101824,30,8,0,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,50.18048
00017,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0,0.5,0.5,0.7428571429,0.1818461538,0,12,1.15,0.41,0.3182,2350,0,0.130462,30,8,0,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,64.29374
00018,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0,0.5,1,0.4857142857,0.1818461538,0,12,1.4,0.32,0.3182,2350,0,0.101824,30,8,0,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,50.18048
00019,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,0,0.2285714286,0.1818461538,7.5,12,0.9,0.23,0.3182,2350,0,0.073186,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,36.06722
00020,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,0,0.4857142857,0.1818461538,7.5,12,0.9,0.32,0.3182,2350,0,0.101824,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,50.18048
00021,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,0,0.7428571429,0.1818461538,7.5,12,0.9,0.41,0.3182,2350,0,0.130462,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,64.29374
00022,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,0.5,0.2285714286,0.1818461538,7.5,12,1.15,0.23,0.3182,2350,0,0.073186,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,36.06722
00023,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,0.5,0.4857142857,0.1818461538,7.5,12,1.15,0.32,0.3182,2350,0,0.101824,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,50.18048
00024,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,0.5,0.7428571429,0.1818461538,7.5,12,1.15,0.41,0.3182,2350,0,0.130462,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,64.29374
00025,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,1,0.2285714286,0.1818461538,7.5,12,1.4,0.23,0.3182,2350,0,0.073186,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,36.06722
00026,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,1,0.4857142857,0.1818461538,7.5,12,1.4,0.32,0.3182,2350,0,0.101824,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,50.18048
00027,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,0.5,0.5,1,0.7428571429,0.1818461538,7.5,12,1.4,0.41,0.3182,2350,0,0.130462,30,8,7.5,2.5,0.05,0.85,27.13,0.35,0.41,60,0.37,230,0.3182,1.2e-09,1.4,98,81.2,16.8,64.29374
00028,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,1,0.5,0,0.4857142857,0.1818461538,15,12,0.9,0.32,0.3182,2350,0,0.101824,30,8,15,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,0.9,63,52.2,10.8,50.18048
00029,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,1,0.5,0.5,0.2285714286,0.1818461538,15,12,1.15,0.23,0.3182,2350,0,0.073186,30,8,15,2.5,0.05,0.85,27.13,0.35,0.23,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,36.06722
00030,PC_CALIB_physical,glassy_pc_calib,factorial,CORE,3,0,0,,0,1,0.5,0.5,0.4857142857,0.1818461538,15,12,1.15,0.32,0.3182,2350,0,0.101824,30,8,15,2.5,0.05,0.85,27.13,0.35,0.32,60,0.37,230,0.3182,1.2e-09,1.15,80.5,66.7,13.8,50.18048
