# Calibration design -- generated by generate_pmma_calib.py
# campaign=PMMA_CALIB_physical family=glassy_pmma_calib label=PMMA XT calibration (physical parameters, 20 um depth)
# method=factorial n_runs=38 n_factors=4
# active_factors=psi,soft_drop,tau_split,sigma_scale
#   psi in [0, 10] (lin) Drucker-Prager dilation angle; reads on A_pile/A_groove
#   soft_drop in [8, 25] (lin) intrinsic softening depth at sigma_y0 fixed (post-yield SHAPE)
#   tau_split in [0, 2] (lin) index into BRISCOE_SPLITS; iso-mu_eff at p_ref, varies the pressure sensitivity only
#   sigma_scale in [1, 1.6] (lin) multiplies the whole yield table (post-yield LEVEL)
# briscoe_splits=20/0.17;40/0.12;60/0.07  (iso-mu_eff at p_ref)
# frozen=E_MPa=3300.0,baseline_family=glassy_pmma,eps_max=2.0,eps_soft=0.06,flow_stress_ratio=1.0,friction_angle_deg=25.0,h=0.45,mu_cap=0.6,mu_eff_at_p_ref=0.22,n_points=60,note_psi=the only factor that is FROZEN in CDP; that is why CDP cannot host this study,note_sigma_scale=scales sigma_y0 and soft_drop together (pure stress scale),nu=0.37,p_ref_MPa=400.0,rho=1.19e-09,scratch_depth_mm=-0.02,sigma_y0_MPa=103.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.02 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns.
# NOTE: p_friction_angle on the PROBE rows and p_tau0/p_alpha on
#       the BASE row are NOT reachable through g_* -- run those
#       with set: tokens (see the block comment).
id,campaign,family,method,block,priority,traj,step,moved,sign,u_psi,u_soft_drop,u_tau_split,u_sigma_scale,g_psi,g_soft_drop,g_tau_split,g_sigma_scale,p_E,p_Q,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_scale,p_sigma_y0,p_sigma_y_floor,p_soft_drop,p_tau0,p_tau_split
00001,PMMA_CALIB_physical,glassy_pmma_calib,factorial,BASE,0,0,0,,0,1,1,0,0,10,25,0,1,3300,0,0.2,30,8,10,2,0.06,1,25,0.45,0.21,60,0.37,400,0.9523809524,1.19e-09,1,103,78,25,4,0
00002,PMMA_CALIB_physical,glassy_pmma_calib,factorial,PROBE,1,0,0,,0,1,1,0.5,0,10,25,1,1,3300,0,0.12,30,8,10,2,0.06,1,30,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,78,25,40,1
00003,PMMA_CALIB_physical,glassy_pmma_calib,factorial,PROBE,1,0,0,,0,1,1,0.5,0.5,10,25,1,1.3,3300,0,0.12,30,8,10,2,0.06,1,30,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1.3,133.9,101.4,32.5,40,1
00004,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,1,1,0,0,10,25,0,1,3300,0,0.17,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,78,25,20,0
00005,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,1,1,1,0,10,25,2,1,3300,0,0.07,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,78,25,60,2
00006,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,1,0,0,0,10,8,0,1,3300,0,0.17,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,95,8,20,0
00007,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,1,0,1,0,10,8,2,1,3300,0,0.07,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,95,8,60,2
00008,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,0,1,0,0,0,25,0,1,3300,0,0.17,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,78,25,20,0
00009,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,0,1,1,0,0,25,2,1,3300,0,0.07,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,78,25,60,2
00010,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,0,0,0,0,0,8,0,1,3300,0,0.17,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,95,8,20,0
00011,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,2,0,0,,0,0,0,1,0,0,8,2,1,3300,0,0.07,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,95,8,60,2
00012,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,1,0.5,0,10,25,1,1,3300,0,0.12,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,78,25,40,1
00013,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,0.5882352941,0,0,10,18,0,1,3300,0,0.17,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,85,18,20,0
00014,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,0.5882352941,0.5,0,10,18,1,1,3300,0,0.12,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,85,18,40,1
00015,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,0.5882352941,1,0,10,18,2,1,3300,0,0.07,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,85,18,60,2
