qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,margin,mu_signed,n_eff,rel,mu_star_null,mu_star_mde,verdict
Fn_half_N,X,2.7031448858721245,2.448194495621685,3.013180801934446,0.47427731470461326,0.17545390081878487,nan,2.7031448858721245,7,1.0,,,n/a
Fn_half_N,h,0.45487982010124994,0.015338412661368735,1.0850568436043804,0.9344385869256195,2.054253773485987,nan,0.45487982010124994,7,0.168278001848388,,,n/a
Fn_half_N,q,0.4080254356946738,0.30653179621086385,0.4656382226585162,0.09038764738555517,0.2215245410660928,nan,0.4080254356946738,5,0.15094471547833116,,,n/a
Fn_half_N,s,0.4733323894257749,0.2426510584956732,0.6279347875579565,0.26935294408491167,0.5690566504685604,nan,-0.4733323894257749,7,0.17510433565719216,,,n/a
Fn_half_N,eps_soft,0.060606806969240555,0.0,0.13790100962046803,0.10768873217299092,1.77684219905605,nan,0.060606806969240555,5,0.022420850353230985,,,n/a
Fn_half_N,beta,0.4139207939351652,0.11849151358773014,0.6453625362445369,0.3823971646485704,0.9238413973192839,nan,0.4139207939351652,7,0.15312564121091146,,,n/a
Fn_half_N,K,0.14121209513667812,0.030592794731387686,0.23526324191504094,0.15304245922700868,1.0837772719035152,nan,-0.14117687345374455,7,0.05223992834224955,,,n/a
Fn_half_N,mu_eff,0.36652212619394137,0.04673459143844554,0.6941343028381397,0.5034959827018441,1.373712381105812,nan,-0.22353563456816616,4,0.13559100294976942,,,n/a
Fn_half_N,phi,0.03920283617756115,0.006735307248777828,0.07140478010148496,0.06524421176020882,1.664272744571302,nan,-0.00716287855462074,7,0.014502676635075375,,,n/a
scof,X,0.23292860477338154,0.11087234733500928,0.2966828146300526,0.12271781423188012,0.526847333118547,nan,0.23116950669704464,7,0.44815825744524207,,,n/a
scof,h,0.059482732809454424,0.0017041698318808597,0.15773537496061613,0.14461949340038124,2.431285291878769,nan,-0.05905898252713488,7,0.11444570283628983,,,n/a
scof,q,0.040020330154936216,0.0012520049060211393,0.07655402668761589,0.0493509098937029,1.2331459961135733,nan,-0.040020330154936216,5,0.07699973750355416,,,n/a
scof,s,0.04994758645258752,0.012289372823700849,0.08511152354376907,0.05483186213903826,1.0977880220716394,nan,0.04994758645258752,7,0.09609993298146109,,,n/a
scof,eps_soft,0.0015982340265089418,0.0,0.003757223275961289,0.0032800504448669597,2.052296716540097,nan,-0.0012168551620112373,5,0.003075027118317212,,,n/a
scof,beta,0.03537495430197318,0.013490310917369666,0.0561148086868641,0.03849091837730497,1.0880839039036718,nan,-0.029529623421407487,7,0.06806196213041961,,,n/a
scof,K,0.006593034860180718,0.00098785571086019,0.012700401270928093,0.009566840821085039,1.4510526675453992,nan,-0.006520940388502571,7,0.012685101587625976,,,n/a
scof,mu_eff,0.5197463193051659,0.3740746479068851,0.5832072502794783,0.09963643297555014,0.1917020463151163,nan,0.5197463193051659,4,1.0,,,n/a
scof,phi,0.04834152790859538,0.00938400694860673,0.08164603522099927,0.07493369320370394,1.550089466460168,nan,-0.0029567952015212423,7,0.09300985136984095,,,n/a
H_MPa,X,227.9683213660807,206.46721249071666,254.11503947849852,39.99793124678918,0.17545390081878479,nan,227.9683213660807,7,1.0,,,n/a
H_MPa,h,38.36205360421523,1.2935570731364272,91.50770590066335,78.80539337513086,2.054253773485988,nan,38.36205360421523,7,0.16827800184838795,,,n/a
H_MPa,q,34.41061340667577,25.851199982931956,39.26935790165734,7.622795342716601,0.2215245410660931,nan,34.41061340667577,5,0.150944715478331,,,n/a
H_MPa,s,39.918241463692844,20.463851113594394,52.95655449144345,22.715740779924264,0.5690566504685607,nan,-39.918241463692844,7,0.17510433565719216,,,n/a
H_MPa,eps_soft,5.11124361862616,0.0,11.629810093484194,9.08187335123091,1.7768421990560503,nan,5.11124361862616,5,0.022420850353230964,,,n/a
H_MPa,beta,34.907795384956216,9.99292031659113,54.42631463416983,32.24926646577361,0.9238413973192842,nan,34.907795384956216,7,0.15312564121091138,,,n/a
H_MPa,K,11.909048772466978,2.5800274699524435,19.840803435591802,12.906756389590155,1.0837772719035141,nan,-11.906078370112287,7,0.052239928342249574,,,n/a
H_MPa,mu_eff,30.91045333480222,3.9413375197292195,58.53945626357783,42.46207245161124,1.3737123811058118,nan,-18.851761755110438,4,0.1355910029497694,,,n/a
H_MPa,phi,3.306150847813201,0.568018642068937,6.021885079977034,5.502336745456811,1.6642727445713013,nan,-0.6040776462927615,7,0.014502676635075325,,,n/a
residual_depth_mm,X,0.017711231181762068,0.014437113422093681,0.019493964160610507,0.0033099579358577265,0.186884689262377,nan,0.017711231181762068,7,1.0,,,n/a
residual_depth_mm,h,0.0007596650628313787,0.00010206670402861715,0.0015771607665980795,0.0014331496202350763,1.8865546019630357,nan,-0.00035892846825961305,7,0.042891714022322454,,,n/a
residual_depth_mm,q,0.0027066872891581863,0.00015508282626098172,0.005893819113988389,0.004610388970619127,1.7033327008577395,nan,0.002251741281808917,5,0.15282321490701142,,,n/a
residual_depth_mm,s,0.0020420169392472297,0.0004545958565128908,0.003465330866924167,0.0031544127727175025,1.5447534798023503,nan,0.00023967476352505622,7,0.11529503049737008,,,n/a
residual_depth_mm,eps_soft,0.00034650435109799077,0.0,0.0006930087021959815,0.0004899539968541857,1.4139908930483462,nan,-0.00034650435109799077,5,0.01956410300006696,,,n/a
residual_depth_mm,beta,0.002257308733691622,0.000716117000599896,0.004060883070391805,0.0032351041894312497,1.4331686849678433,nan,-0.001540984861463623,7,0.12745069557987923,,,n/a
residual_depth_mm,K,0.0021873934807541207,0.0005748016774300013,0.003580984078888738,0.0022609529914248794,1.0336288424181452,nan,0.0021873934807541207,7,0.12350318610298325,,,n/a
residual_depth_mm,mu_eff,0.005330413999739825,0.0031826992438187397,0.00858658914464531,0.006896711418226758,1.2938416075305563,nan,-0.0021141452505038225,4,0.300962363657065,,,n/a
residual_depth_mm,phi,0.00040219005576880464,4.9000455712043356e-05,0.0009246532820420563,0.0008728087079875342,2.1701399511708974,nan,-0.0002990122719911409,7,0.022708192990160678,,,n/a
pile_up_mm,X,0.02141502663663001,0.014567810704048834,0.024758859150830696,0.006602519755266292,0.30831246989778677,nan,0.02141502663663001,7,1.0,,,n/a
pile_up_mm,h,0.0011331576948681668,0.00036981443249020743,0.001720389534198922,0.0009584855492472247,0.8458536297180916,nan,-0.0011321110987809453,7,0.05291413894064093,,,n/a
pile_up_mm,q,0.0028454968448127747,0.0018317424846726858,0.003653689323403389,0.0011182339505836417,0.39298372536315995,nan,-0.0028454968448127747,5,0.13287384102271463,,,n/a
pile_up_mm,s,0.0038026164098777173,0.0013408921939451106,0.005558078724385963,0.002943492186818478,0.7740702373167146,nan,0.0038026164098777173,7,0.17756767126188916,,,n/a
pile_up_mm,eps_soft,0.00046265847199794297,0.0,0.001031608503460327,0.0008934265974363323,1.9310715171347916,nan,-0.0002625981895426945,5,0.02160438461498685,,,n/a
pile_up_mm,beta,0.0030677395207601792,0.0008690397221188793,0.0049822218703362165,0.003098444292551067,1.0100089240247097,nan,-0.0030677395207601792,7,0.14325172566037658,,,n/a
pile_up_mm,K,0.0006848740845148225,0.00011841964227470562,0.001205270985856503,0.0011126825686721097,1.6246527556380743,nan,-1.0270724679460074e-05,7,0.031981005493747924,,,n/a
pile_up_mm,mu_eff,0.0033736189955864966,0.000461328544026356,0.005566111577144719,0.0027276226320497366,0.8085153171173514,nan,0.0033736189955864966,4,0.15753512955318877,,,n/a
pile_up_mm,phi,0.0005057831177379263,0.00018425277871649158,0.0007768329925551395,0.0006797863392931204,1.3440273418642548,nan,0.00012037666715586857,7,0.023618140958685224,,,n/a
pile_up_ratio,X,2.4342240632904564,0.37583978971044263,5.15478918860526,4.905475208099631,2.0152110407900032,nan,-1.014556520578494,7,1.0,,,n/a
pile_up_ratio,h,0.2016957071272068,0.07131023854195141,0.33883102284841776,0.30330606924290876,1.503780489743481,nan,0.007848316613647677,7,0.08285831619566078,,,n/a
pile_up_ratio,q,0.4695475155236822,0.10629316155730978,0.8311988203446973,0.4863781006988324,1.0358442641451935,nan,-0.4695475155236822,5,0.1928941228561238,,,n/a
pile_up_ratio,s,0.6156476422443146,0.30552397370355205,0.8302500174487333,0.5825925497153049,0.9463084234213764,nan,0.45282640368581156,7,0.25291330059900663,,,n/a
pile_up_ratio,eps_soft,0.02595374652362039,0.0,0.05190749304724078,0.04634282568047785,1.78559290614561,nan,0.0047702967839245965,5,0.010662020360006415,,,n/a
pile_up_ratio,beta,0.392172991290356,0.3007899745837063,0.4604995342850562,0.2725568785569869,0.6949914568573438,nan,-0.3178023055124227,7,0.16110800858662006,,,n/a
pile_up_ratio,K,1.2913043845122998,0.07591696438702233,3.106145190484731,2.808858669605715,2.1752103557416214,nan,-1.2899922416001386,7,0.5304788511402612,,,n/a
pile_up_ratio,mu_eff,0.8504931013302701,0.08077168509684741,1.9278371868035766,1.376556619249281,1.6185394297686677,nan,0.7722577859368779,4,0.3493898175423581,,,n/a
