id,family,campaign,method,traj,step,moved,sign,status,file,fine_size_x,mass_scale,force_source,n_window,Fn_half_N,Fn_cv_pct,Ft_half_N,scof,contact_radius_mm,H_MPa,residual_depth_mm,residual_rel_pct,pile_up_mm,pile_up_max_mm,pile_up_ratio,profile_method,profile_n_fail_flags,profile_n_warn_flags,AE_over_IE_pct,KE_over_IE_pct,PW_over_IE_pct,MW_over_IE_pct,ETOTAL_drift_pct,wallclock_s,family_resolved,q_quasi_static,q_hourglass,q_energy_total,q_artificial_energy,q_force_magnitude,q_strain_level,q_friction_physics,q_steady_state,q_settling,q_recovery,parse_error,u_X,u_h,u_q,u_s,u_eps_soft,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_q,g_s,g_eps_soft,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_y0,p_soft_drop,p_tau0
00001,glassy_pc,CDP_drucker_prager_unified,morris,0,0,,0,WARN,Design_00001_Results.csv,0.01,20000.0,RF2,11,1.7867299535057761,2.4428324277122684,0.6029740571975708,0.3374735258758405,0.12287187078897964,150.68294354625124,0.005133646074682474,12.834115186706185,0.009368528611958027,nan,1.82492686010449,at_final_position,0,0,0.7098569061153257,0.024388050658508322,4.580318723709464,0.0,9.814681484996358,1224.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,0.3333333333,0.3333333333,0,0.6666666667,0,1,0.6666666667,0.3333333333,0.6666666667,11.44714243,0.15,0,0.2333333333,0.02,35,0.926,0.1833333333,0.6666666667,840.5670336,991.3516141,0,11.44714243,0.1222222222,30,8,0,2.5,0.02,0.926,35,0.15,0.1833333333,60,0.39,140,0.6666666667,1.1e-09,50,11.66666667,8.555555556
00002,glassy_pc,CDP_drucker_prager_unified,morris,0,1,h,1,WARN,Design_00002_Results.csv,0.01,20000.0,RF2,11,1.808743032542142,2.292807737743243,0.5957980806177313,0.3293989637545983,0.12287187078897964,152.5394051448311,0.005047275219112635,12.618188047781587,0.00851262267678976,nan,1.6865778677086627,at_final_position,0,0,0.6853938790427178,0.024093999875286584,4.50338886696597,0.0,10.111216649708377,1344.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,0.3333333333,1,0,0.6666666667,0,1,0.6666666667,0.3333333333,0.6666666667,11.44714243,0.45,0,0.2333333333,0.02,35,0.926,0.1833333333,0.6666666667,840.5670336,991.3516141,0,11.44714243,0.1222222222,30,8,0,2.5,0.02,0.926,35,0.45,0.1833333333,60,0.39,140,0.6666666667,1.1e-09,50,11.66666667,8.555555556
00003,glassy_pc,CDP_drucker_prager_unified,morris,0,2,K,-1,WARN,Design_00003_Results.csv,0.01,20000.0,RF2,11,1.8278022029183127,2.4632411592114467,0.6130822246724908,0.3354204430291358,0.12287187078897964,154.14675038925148,0.00419037276878953,10.475931921973825,0.00889915693551302,nan,2.12371486417513,at_final_position,0,0,0.7189542943803402,0.024904002678533228,4.706969795452972,0.0,9.682622634904115,1172.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,0.3333333333,1,0,0.6666666667,0,1,0,0.3333333333,0.6666666667,11.44714243,0.45,0,0.2333333333,0.02,35,0.778,0.1833333333,0.6666666667,840.5670336,991.3516141,0,11.44714243,0.1222222222,30,8,0,2.5,0.02,0.778,35,0.45,0.1833333333,60,0.39,140,0.6666666667,1.1e-09,50,11.66666667,8.555555556
00004,glassy_pc,CDP_drucker_prager_unified,morris,0,3,mu_eff,1,FAIL,Design_00004_Results.csv,0.01,20000.0,RF2,11,2.020240686156533,2.1627230719281214,1.5939457199790261,0.7889880304368463,0.12287187078897964,170.37595002236617,0.0016625860007479787,4.156465001869947,0.017971163615584373,nan,10.80916331997223,at_final_position,0,0,1.1110509022871975,0.022644318698515804,5.2049964189844555,0.0,2.8355618315988007,1414.0,1,FAIL,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,WARN,,0.3333333333,1,0,0.6666666667,0,1,0,1,0.6666666667,11.44714243,0.45,0,0.2333333333,0.02,35,0.778,0.45,0.6666666667,840.5670336,991.3516141,0,11.44714243,0.3,30,8,0,2.5,0.02,0.778,35,0.45,0.45,60,0.39,140,0.6666666667,1.1e-09,50,11.66666667,21
00005,glassy_pc,CDP_drucker_prager_unified,morris,0,4,phi,-1,WARN,Design_00005_Results.csv,0.01,20000.0,RF2,11,2.0557184761220757,2.2730879351864943,1.5944541475989602,0.7756189216174929,0.12287187078897964,173.36795103070787,0.0017132851062342525,4.283212765585631,0.018098531290888786,nan,10.563642458007935,at_final_position,0,0,1.2120985803075717,0.021682845817174137,4.5682152818214385,0.0,2.6771912130241677,1409.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,WARN,,0.3333333333,1,0,0.6666666667,0,1,0,1,0,11.44714243,0.45,0,0.2333333333,0.02,35,0.778,0.45,0,840.5670336,991.3516141,0,11.44714243,0,30,8,0,2.5,0.02,0.778,35,0.45,0.45,60,0.39,140,0,1.1e-09,50,11.66666667,63
00006,glassy_pc,CDP_drucker_prager_unified,morris,0,5,X,1,WARN,Design_00006_Results.csv,0.01,20000.0,RF2,11,3.8139067779887807,3.998831181699731,2.94248383695429,0.7715143573870924,0.12287187078897964,321.64384919541817,0.009163565002381802,22.908912505954504,0.023059962317347527,nan,2.5164837387363717,at_final_position,0,0,2.4407626580935786,0.016209211853121266,3.131233511914683,0.0,1.1636572805616618,3458.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,1,0,0.6666666667,0,1,0,1,0,60,0.45,0,0.2333333333,0.02,35,0.778,0.45,0,4405.817639,5196.152423,0,60,0,30,8,0,2.5,0.02,0.778,35,0.45,0.45,60,0.39,140,0,1.1e-09,50,11.66666667,63
00007,glassy_pc,CDP_drucker_prager_unified,morris,0,6,s,-1,WARN,Design_00007_Results.csv,0.01,20000.0,RF2,11,4.366711659864946,2.7150078953875054,2.908762953498147,0.6661220570693942,0.12287187078897964,368.2643620739297,0.011529994197189808,28.82498549297452,0.021092558279633522,nan,1.8293641712997901,at_final_position,0,0,1.7573035772120378,0.011382660275996253,3.2209751659224484,0.0,1.226838518340551,3727.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,1,0,0,0,1,0,1,0,60,0.45,0,0,0.02,35,0.778,0.45,0,4405.817639,5196.152423,0,60,0,30,8,0,2.5,0.02,0.778,35,0.45,0.45,60,0.39,140,0,1.1e-09,50,0,63
00008,glassy_pc,CDP_drucker_prager_unified,morris,0,7,q,1,WARN,Design_00008_Results.csv,0.01,20000.0,RF2,11,4.652109146118164,1.9684258905146343,2.8390850587324663,0.6102791163232852,0.12287187078897964,392.3332109925677,0.012958914041519165,32.39728510379791,0.019270263612270355,nan,1.4870276591487688,at_final_position,0,0,1.42669677734375,0.010412199179121494,3.023181938700802,0.0,1.273722466689574,3216.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,1,0.6666666667,0,0,1,0,1,0,60,0.45,0.2333333333,0,0.02,35,0.778,0.45,0,4405.817639,5196.152423,11.66666667,60,0,30,8,0,2.5,0.02,0.778,35,0.45,0.45,60,0.39,140,0,1.1e-09,50,0,63
00009,glassy_pc,CDP_drucker_prager_unified,morris,0,8,beta,-1,WARN,Design_00009_Results.csv,0.01,20000.0,RF2,11,4.355229767886075,2.5994267964619437,2.94057315046137,0.6751820930652425,0.12287187078897964,367.29604267151433,0.011287490837275982,28.218727093189955,0.020755773410201073,nan,1.8388297017842876,at_final_position,0,0,1.2736645475311117,0.01284293007927796,2.6780043181136826,0.0,1.233628498205306,3428.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,1,0.6666666667,0,0,0.3333333333,0,1,0,60,0.45,0.2333333333,0,0.02,12.33333333,0.778,0.45,0,4405.817639,5196.152423,11.66666667,60,0,30,8,0,2.5,0.02,0.778,12.33333333,0.45,0.45,60,0.39,140,0,1.1e-09,50,0,63
00010,glassy_pc,CDP_drucker_prager_unified,morris,0,9,eps_soft,1,WARN,Design_00010_Results.csv,0.01,20000.0,RF2,11,4.355229767886075,2.5994267964619437,2.94057315046137,0.6751820930652425,0.12287187078897964,367.29604267151433,0.011287490837275982,28.218727093189955,0.020755773410201073,nan,1.8388297017842876,at_final_position,0,0,1.2736645475311117,0.01284293007927796,2.6780043181136826,0.0,1.233628498205306,3263.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,1,0.6666666667,0,0.6666666667,0.3333333333,0,1,0,60,0.45,0.2333333333,0,0.08666666667,12.33333333,0.778,0.45,0,4405.817639,5196.152423,11.66666667,60,0,30,8,0,2.5,0.08666666667,0.778,12.33333333,0.45,0.45,60,0.39,140,0,1.1e-09,50,0,63
