id,family,campaign,method,traj,step,moved,sign,status,file,fine_size_x,mass_scale,force_source,n_window,Fn_half_N,Fn_cv_pct,Ft_half_N,scof,contact_radius_mm,H_MPa,residual_depth_mm,residual_rel_pct,pile_up_mm,pile_up_max_mm,pile_up_ratio,profile_method,profile_n_fail_flags,profile_n_warn_flags,AE_over_IE_pct,KE_over_IE_pct,PW_over_IE_pct,MW_over_IE_pct,ETOTAL_drift_pct,wallclock_s,family_resolved,q_quasi_static,q_hourglass,q_energy_total,q_artificial_energy,q_force_magnitude,q_strain_level,q_friction_physics,q_steady_state,q_settling,q_recovery,parse_error,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00001,glassy_pc,CDP_drucker_prager_unified,morris,0,0,,0,WARN,Design_00001_Results.csv,0.007,5000.0,RF2,11,2.4595774087038906,3.659460351367734,0.8177001855590127,0.33245556031916534,0.12287187078897964,207.42718455923907,0.027253784239292145,68.13446059823036,0.03064093366265297,nan,1.1242818022488608,at_final_position,0,0,2.411959796312756,0.01365445894824366,4.293238145335344,0.003984645449626532,3.1048598347472676,22864.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0,0.3333333333,0,0,0.6666666667,0,0.3333333333,60,0,-0.1166666667,0.02,1,0.926,0.05,0.3333333333,4405.817639,5196.152423,0,60,0.01666666667,30,50,-1,0,0.02,2.5,0.02,0.926,1,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,4.666666667,-0.1166666667
00002,glassy_pc,CDP_drucker_prager_unified,morris,0,1,w,1,WARN,Design_00002_Results.csv,0.007,5000.0,RF2,11,3.4950114596973765,3.056234101813975,1.0663021261041814,0.3050925979500249,0.12287187078897964,294.74997799289895,0.02504974603652954,62.62436509132385,0.026385225355625153,nan,1.053313088170559,at_final_position,0,0,1.4618655629894048,0.006559353533756564,3.9834510446028553,0.002054151277290371,2.423098680391876,17628.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0,1,0,0,0.6666666667,0,0.3333333333,60,0,0.35,0.02,1,0.926,0.05,0.3333333333,4405.817639,5196.152423,17.5,60,0.01666666667,30,50,1,0,0.02,2.5,0.02,0.926,1,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,0,4.666666667,0.35
00003,glassy_pc,CDP_drucker_prager_unified,morris,0,2,K,-1,WARN,Design_00003_Results.csv,0.007,5000.0,RF2,11,3.5053752769123423,3.3352368580855183,1.0840187506242231,0.30924470705432283,0.12287187078897964,295.62400514023716,0.025585433468222618,63.963583670556545,0.027003146708011627,nan,1.055410952546488,at_final_position,0,0,1.5960271630051956,0.007456641610252096,4.153814412048449,0.0021568365528184977,2.390313010706457,25698.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0,1,0,0,0,0,0.3333333333,60,0,0.35,0.02,1,0.778,0.05,0.3333333333,4405.817639,5196.152423,17.5,60,0.01666666667,30,50,1,0,0.02,2.5,0.02,0.778,1,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,0,4.666666667,0.35
00004,glassy_pc,CDP_drucker_prager_unified,morris,0,3,beta,1,WARN,Design_00004_Results.csv,0.007,5000.0,RF2,11,4.328117500651967,2.496834029400326,1.2534875002774326,0.28961494231351465,0.12287187078897964,365.00954368209955,0.02224011905491352,55.6002976372838,0.020704515278339386,nan,0.9309534372193536,at_final_position,0,0,1.1669328809116486,0.004259013274834263,3.2909474239030176,0.00028968890547178373,2.3077055155383555,14528.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0,1,0,0.6666666667,0,0,0.3333333333,60,0,0.35,0.02,23.66666667,0.778,0.05,0.3333333333,4405.817639,5196.152423,17.5,60,0.01666666667,30,50,1,0,0.02,2.5,0.02,0.778,23.66666667,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,0,4.666666667,0.35
00005,glassy_pc,CDP_drucker_prager_unified,morris,0,4,phi,1,WARN,Design_00005_Results.csv,0.007,5000.0,RF2,11,4.31909197027033,2.5271826637767445,1.3040241978385232,0.30192091458448495,0.12287187078897964,364.2483802604517,0.022212112322449684,55.53028080612421,0.021090613678097725,nan,0.9495095906201381,at_final_position,0,0,1.2113500840943159,0.004318605662610377,3.3203866264480104,0.00029615741140701524,2.290199615772214,15027.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0,1,0,0.6666666667,0,0,1,60,0,0.35,0.02,23.66666667,0.778,0.05,1,4405.817639,5196.152423,17.5,60,0.05,30,50,1,0,0.02,2.5,0.02,0.778,23.66666667,0,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.35
00006,glassy_pc,CDP_drucker_prager_unified,morris,0,5,h,1,WARN,Design_00006_Results.csv,0.007,5000.0,RF2,11,4.55296819860285,2.364530023843192,1.3704357580705122,0.30099831544860167,0.12287187078897964,383.9722106252429,0.022071942687034607,55.17985671758652,0.018967563286423683,nan,0.8593517822772128,at_final_position,0,0,1.0220421707267033,0.004303933771592075,3.0862063925770027,0.00017989793951740825,2.288291154843427,17765.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0.6666666667,1,0,0.6666666667,0,0,1,60,0.3,0.35,0.02,23.66666667,0.778,0.05,1,4405.817639,5196.152423,17.5,60,0.05,30,50,1,0,0.02,2.5,0.02,0.778,23.66666667,0.3,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.35
00007,glassy_pc,CDP_drucker_prager_unified,morris,0,6,eps_c,1,WARN,Design_00007_Results.csv,0.007,5000.0,RF2,11,4.3793934041803535,2.5506907343296343,1.3469486995176836,0.30756512950673776,0.12287187078897964,369.33387040057806,0.022443799301981926,56.109498254954815,0.01903192140161991,nan,0.8479812684806567,at_final_position,0,0,1.0077015799646851,0.004444895424178246,2.9373583357861657,0.00018017037798161807,2.321210329134505,15652.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0.6666666667,1,0.6666666667,0.6666666667,0,0,1,60,0.3,0.35,0.08666666667,23.66666667,0.778,0.05,1,4405.817639,5196.152423,17.5,60,0.05,30,11.53846154,1,0,0.08666666667,2.5,0.08666666667,0.778,23.66666667,0.3,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.35
00008,glassy_pc,CDP_drucker_prager_unified,morris,0,7,mu_eff,1,WARN,Design_00008_Results.csv,0.007,5000.0,RF2,11,4.093442591753873,3.481873343115595,2.95816048708829,0.7226583543757088,0.12287187078897964,345.21835700622296,0.022120200097560883,55.300500243902206,0.02002360112965107,nan,0.9052179022494016,at_final_position,0,0,1.3190706044964404,0.008748587843474494,4.294314896731996,0.0005319493817094156,1.7388898665446497,14965.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0.6666666667,1,0.6666666667,0.6666666667,0,0.6666666667,1,60,0.3,0.35,0.08666666667,23.66666667,0.778,0.3166666667,1,4405.817639,5196.152423,17.5,60,0.3166666667,30,11.53846154,1,0,0.08666666667,2.5,0.08666666667,0.778,23.66666667,0.3,0.3166666667,60,0.39,140,1,1.1e-09,50,0,0,0.35
00009,glassy_pc,CDP_drucker_prager_unified,morris,0,8,X,-1,WARN,Design_00009_Results.csv,0.007,5000.0,RF2,11,2.098520213907415,2.405897744685363,1.0313509594310413,0.4914658208179374,0.12287187078897964,176.97761337824676,0.0026492211036384106,6.623052759096026,0.009662295691668987,nan,3.647221320409572,at_final_position,0,0,0.5139635407505957,0.029546269326167513,8.806290505864967,0.0009935085872729947,6.62381868762488,8112.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,PASS,,0.3333333333,0.6666666667,1,0.6666666667,0.6666666667,0,0.6666666667,1,11.44714243,0.3,0.35,0.08666666667,23.66666667,0.778,0.3166666667,1,840.5670336,991.3516141,17.5,11.44714243,0.3166666667,30,11.53846154,1,0,0.08666666667,2.5,0.08666666667,0.778,23.66666667,0.3,0.3166666667,60,0.39,140,1,1.1e-09,50,0,0,0.35
00010,glassy_pc,CDP_drucker_prager_unified,morris,1,0,,0,WARN,Design_00010_Results.csv,0.007,5000.0,RF2,11,2.805306412956931,2.4730622289280864,0.7053548910401084,0.2514359528721248,0.12287187078897964,236.5840607441069,0.016987694427371025,42.46923606842756,0.017439579591155052,nan,1.0266007353567614,at_final_position,0,0,0.7165867705428621,0.007369144188360533,2.997957211825283,0.00038731710101878,4.169259192345014,8905.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,PASS,,0.6666666667,0,0.6666666667,0,0.3333333333,0.6666666667,0,1,26.20741394,0,0.1166666667,0.02,12.33333333,0.926,0.05,1,1924.41811,2269.628624,5.833333333,26.20741394,0.05,30,50,1,0,0.02,2.5,0.02,0.926,12.33333333,0,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.1166666667
00011,glassy_pc,CDP_drucker_prager_unified,morris,1,1,X,-1,WARN,Design_00011_Results.csv,0.007,5000.0,RF2,11,1.0687773119319568,3.08117158819208,0.011803999797187069,0.011044395933002894,0.12287187078897964,90.1347800440491,0.0007695986423641443,1.9239966059103608,0.00018893041124101728,nan,0.24549213166571923,at_final_position,0,0,0.38469226284934593,0.0744780350985477,10.164484975108747,0.004060349648343431,105.077819586271,3765.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,WARN,,0,0,0.6666666667,0,0.3333333333,0.6666666667,0,1,5,0,0.1166666667,0.02,12.33333333,0.926,0.05,1,367.1514699,433.0127019,5.833333333,5,0.05,30,50,1,0,0.02,2.5,0.02,0.926,12.33333333,0,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.1166666667
00012,glassy_pc,CDP_drucker_prager_unified,morris,1,2,w,-1,FAIL,Design_00012_Results.csv,0.007,5000.0,RF2,11,0.9108438816937533,3.3654764853443035,0.05034567788243294,0.05527366313183439,0.12287187078897964,76.81554615201365,0.004530275706201792,11.32568926550448,0.003176978090777993,nan,0.7012769855107978,at_final_position,0,0,7.250844089685398,0.39994886850146427,5.042004501316264,0.004530226564100537,41.809675377786654,4922.0,1,PASS,WARN,FAIL,WARN,PASS,PASS,WARN,SKIP,PASS,PASS,,0,0,0,0,0.3333333333,0.6666666667,0,1,5,0,-0.35,0.02,12.33333333,0.926,0.05,1,367.1514699,433.0127019,0,5,0.05,30,50,-1,0,0.02,2.5,0.02,0.926,12.33333333,0,0.05,60,0.39,140,1,1.1e-09,50,17.5,0,-0.35
