w0 [um],z,z_sd,z_n,F_n,F_n_sd,F_n_n,A_ratio,A_ratio_sd,A_ratio_n,SCOF,SCOF_sd,SCOF_n,h_r,h_r_sd,h_r_n,h_p,h_p_sd,h_p_n
71.4584,0.507864,,4,1.07486,0.139351,4,0.942731,0.526939,4,0.355748,0.0443857,4,-2.08749,0.558207,4,1.06831,0.465073,4
74.1689,0.535672,,4,1.12814,0.0650865,4,0.759311,0.294907,4,0.356044,0.0409516,4,-2.28723,0.338543,4,1.21563,0.305625,4
76.8795,0.547515,,4,1.15175,0.106785,4,1.16136,0.609241,4,0.355413,0.0395491,4,-2.32247,0.378973,4,1.37656,0.65567,4
79.5901,0.58145,,4,1.21845,0.364067,4,0.979609,0.375205,4,0.355804,0.0383789,4,-2.50117,0.668071,4,1.71735,1.6973,4
82.3006,0.884661,,4,1.81052,0.479498,4,1.34955,0.249593,4,0.383673,0.0334959,4,-3.45574,0.86395,4,4.42234,2.0749,4
85.0112,0.92942,,4,1.89815,0.117714,4,1.15146,0.353128,4,0.387564,0.0200434,4,-3.71111,0.495667,4,4.57359,0.516385,4
87.7218,0.950874,,4,1.93968,0.0818693,4,1.07828,0.332802,4,0.388859,0.0177104,4,-3.79547,0.529943,4,4.56816,0.521125,4
90.4323,0.971405,,4,1.98007,0.0851207,4,0.983548,0.264453,4,0.389987,0.0154543,4,-4.05608,0.573903,4,4.7732,0.394736,4
93.1429,0.995431,,4,2.02624,0.0675134,4,0.952215,0.222759,4,0.391347,0.0139871,4,-4.26577,0.575207,4,4.48972,0.418729,4
95.8535,1.01463,,4,2.06379,0.0539256,4,0.901543,0.124295,4,0.392314,0.0118296,4,-4.62828,0.519098,4,4.80619,0.704352,4
98.564,1.03347,,4,2.09991,0.0588411,4,0.873075,0.178954,4,0.394079,0.0110278,4,-4.8249,0.46254,4,5.24817,0.362961,4
101.275,1.0588,,4,2.15033,0.122833,4,0.837062,0.157971,4,0.396898,0.0129419,4,-5.10459,0.731182,4,5.18108,0.379717,4
103.985,1.11456,,4,2.25869,0.0914938,4,0.939693,0.153716,4,0.405445,0.0114831,4,-5.52182,0.4812,4,5.62216,0.515075,4
106.696,1.15123,,4,2.33069,0.0812681,4,0.960174,0.18446,4,0.412489,0.011539,4,-5.77314,0.326317,4,5.81348,0.654529,4
109.406,1.20077,,4,2.428,0.403622,4,0.919239,0.0633038,4,0.419685,0.0217897,4,-6.07564,0.869398,4,6.41797,2.17802,4
112.117,1.50621,,4,3.02227,0.477034,4,0.962363,0.144861,4,0.445247,0.0336623,4,-7.22492,0.892807,4,9.4397,2.26989,4
114.827,1.52684,,4,3.06248,0.0806366,4,0.908025,0.138,4,0.447245,0.0288505,4,-7.22717,0.390146,4,9.40823,0.444401,4
117.538,1.54899,,4,3.10585,0.0594921,4,0.867246,0.101783,4,0.448934,0.0301653,4,-7.36031,0.555167,4,9.6868,0.6762,4
120.249,1.57527,,4,3.1569,0.0769212,4,0.848293,0.153855,4,0.45012,0.032827,4,-7.75152,0.590807,4,9.40515,0.417666,4
122.959,1.60944,,4,3.22308,0.128946,4,0.82445,0.103293,4,0.451464,0.0347262,4,-7.98414,0.699689,4,9.77397,0.795049,4
125.67,1.65551,,4,3.31211,0.0866229,4,0.82885,0.141534,4,0.451299,0.0372284,4,-8.37387,0.499241,4,9.69773,0.61985,4
128.38,1.6881,,4,3.37595,0.0463792,4,0.866521,0.111622,4,0.45099,0.0389488,4,-8.71644,0.738084,4,10.1313,0.418776,4
131.091,1.73801,,4,3.47331,0.111557,4,0.856295,0.107747,4,0.450419,0.0409224,4,-9.18886,0.557709,4,10.3177,0.632381,4
133.801,1.7992,,4,3.59226,0.1322,4,0.869172,0.0905053,4,0.452624,0.0442554,4,-9.61482,0.756649,4,10.5087,0.713027,4
136.512,1.88425,,4,3.7565,0.136833,4,0.871031,0.0639674,4,0.454725,0.0476988,4,-10.4808,0.903377,4,11.3559,0.869583,4
