id,file,block,chi2,g_psi,g_soft_drop,g_sigma_scale,g_mu_eff,g_phi,chi2_F_n,chi2_A_ratio,chi2_SCOF,chi2_h_r,chi2_h_p,bias_F_n,bias_A_ratio,bias_SCOF,bias_h_r,bias_h_p,n_overlap,w0_sim_max
00022,Design_00022_Results.csv,CORE,8.73664,7.5,12,1.15,0.23,0.3182,15.4648,5.22444,5.52067,2.17612,45.3877,-0.061354,-0.382938,-0.104032,0.13348,-0.636337,25,151.126
00019,Design_00019_Results.csv,CORE,11.5076,7.5,12,0.9,0.23,0.3182,22.5292,5.92957,6.06392,1.36899,18.2617,-0.162419,-0.387224,0.110531,-0.064099,-0.348597,25,160.157
00013,Design_00013_Results.csv,SPLIT,12.1875,7.5,12,1.15,0.32,0.7727,16.7791,6.2856,13.4978,2.60652,19.8418,0.0339387,-0.376661,0.170076,-0.0426013,-0.423551,25,155.186
00010,Design_00010_Results.csv,SOFT,17.1167,7.5,6,1.15,0.32,0.3182,19.5176,6.78246,25.0502,1.82173,26.8597,0.0279962,-0.383513,0.242107,-0.0172509,-0.472955,25,155.09
00012,Design_00012_Results.csv,SPLIT,18.1921,7.5,12,1.15,0.32,0.5455,20.3292,5.96568,28.2814,2.49943,17.6436,0.0548109,-0.371058,0.253773,-0.0279026,-0.385659,25,156.911
00025,Design_00025_Results.csv,CORE,19.9009,7.5,12,1.4,0.23,0.3182,18.1058,11.6499,29.9469,7.13066,90.0136,0.00992412,-0.502936,-0.250052,0.279585,-0.795023,22,145.931
00026,Design_00026_Results.csv,CORE,20.6004,7.5,12,1.4,0.32,0.3182,50.14,6.06574,5.59561,3.64489,39.5605,0.109682,-0.393918,0.11412,0.137905,-0.580054,25,146.349
00023,Design_00023_Results.csv,CORE,21.9542,7.5,12,1.15,0.32,0.3182,15.8158,5.506,44.5409,2.58298,17.9421,0.0591791,-0.360494,0.312876,-0.0505733,-0.315602,25,153.251
00011,Design_00011_Results.csv,SOFT,30.3531,7.5,18,1.15,0.32,0.3182,8.23476,6.07635,76.7481,3.09826,12.9025,0.0550951,-0.366072,0.414883,-0.110194,-0.231,25,163.899
00018,Design_00018_Results.csv,CORE,32.6988,0,12,1.4,0.32,0.3182,59.949,34.3232,3.82437,3.83046,126.534,-0.244173,-0.789669,0.0688154,0.159822,-0.836182,21,160.056
00004,Design_00004_Results.csv,CORE,33.0062,0,12,1.4,0.23,0.3182,39.3156,28.3291,31.3738,9.85242,136.492,-0.18243,-0.710749,-0.248793,0.286747,-0.874443,21,157.021
00015,Design_00015_Results.csv,CORE,43.436,0,12,1.15,0.23,0.3182,91.1241,30.8462,8.33766,2.46441,115.626,-0.31627,-0.76364,-0.134032,0.112538,-0.817555,22,162.373
00001,Design_00001_Results.csv,BASE,52.83,0,12,1,0.2266,0.2648,129.448,28.7604,0.281136,1.09904,96.6263,-0.401732,-0.783875,-0.02011,0.0770656,-0.801483,25,167.975
00016,Design_00016_Results.csv,CORE,61.9519,0,12,1.15,0.32,0.3182,117.651,31.3808,36.824,0.945341,101.061,-0.390513,-0.836917,0.293506,0.0733427,-0.822914,25,166.46
00020,Design_00020_Results.csv,CORE,62.3957,7.5,12,0.9,0.32,0.3182,11.6862,4.24892,171.252,4.96209,6.44173,-0.120615,-0.303121,0.632386,-0.195233,-0.104567,25,168.674
00027,Design_00027_Results.csv,CORE,63.8843,7.5,12,1.4,0.41,0.3182,81.4305,5.46888,104.754,2.7475,15.9312,0.25767,-0.334671,0.495898,-0.0766047,-0.311366,25,154.388
00002,Design_00002_Results.csv,CORE,67.2093,0,12,0.9,0.23,0.3182,168.465,29.9704,3.19294,0.377223,93.3635,-0.462982,-0.819014,0.0771832,0.00558049,-0.78588,25,169.984
00005,Design_00005_Results.csv,CORE,69.5662,0,12,1.4,0.41,0.3182,83.9439,33.8469,90.9078,1.71089,109.727,-0.332867,-0.864703,0.459949,0.133883,-0.851035,25,161.843
00024,Design_00024_Results.csv,CORE,85.8514,7.5,12,1.15,0.41,0.3182,16.2215,4.51345,236.819,5.77107,7.42968,0.117128,-0.310648,0.746777,-0.200127,-0.146367,25,161.036
00017,Design_00017_Results.csv,CORE,127.983,0,12,1.15,0.41,0.3182,145.871,36.2126,201.865,0.722517,107.485,-0.445061,-0.892875,0.679968,0.0364889,-0.860922,25,170.964
00014,Design_00014_Results.csv,CORE,129.348,0,12,0.9,0.32,0.3182,204.345,34.3935,149.304,0.94856,97.3907,-0.524595,-0.87856,0.586999,-0.00849771,-0.806124,25,173.591
00008,Design_00008_Results.csv,CORE,186.15,15,12,1.4,0.23,0.3182,518.589,18.6765,21.1851,3.87547,21.83,0.513766,0.124508,-0.198932,0.155785,-0.425485,24,135.551
00021,Design_00021_Results.csv,CORE,192.685,7.5,12,0.9,0.41,0.3182,24.6985,7.2219,546.134,11.3228,7.34582,-0.160667,-0.378097,1.1143,-0.301795,-0.141681,24,171.804
00006,Design_00006_Results.csv,CORE,196.641,15,12,0.9,0.23,0.3182,381.618,173.318,34.9867,4.63864,209.37,0.688535,1.91503,0.270659,-0.158944,1.15193,24,299.775
00003,Design_00003_Results.csv,CORE,221.021,0,12,0.9,0.41,0.3182,252.227,39.0644,371.771,1.9334,110.021,-0.593398,-0.926906,0.933874,-0.0963093,-0.86725,25,178.065
00029,Design_00029_Results.csv,CORE,231.946,15,12,1.15,0.23,0.3182,602.418,92.1029,1.31769,2.02018,71.1587,0.826772,1.3421,0.0198496,-0.0535719,0.480618,24,136.771
00028,Design_00028_Results.csv,CORE,276.457,15,12,0.9,0.32,0.3182,294.025,247.848,287.496,7.47164,381.972,0.674652,2.41947,0.822604,-0.216895,1.81521,25,164.168
00007,Design_00007_Results.csv,CORE,364.611,15,12,0.9,0.41,0.3182,134.329,174.215,785.29,8.58675,311.939,0.401716,1.93925,1.32836,-0.262542,1.48274,24,171.179
00030,Design_00030_Results.csv,CORE,387.807,15,12,1.15,0.32,0.3182,909.31,153.822,100.291,8.66872,226.278,1.06638,1.77298,0.484556,-0.228678,1.15923,25,150.985
00031,Design_00031_Results.csv,CORE,418.615,15,12,1.15,0.41,0.3182,662.134,208.623,385.086,7.52387,295.086,0.864905,2.13337,0.934401,-0.258915,1.43584,25,155.443
