w0 [um],z,z_sd,z_n,F_n,F_n_sd,F_n_n,A_ratio,A_ratio_sd,A_ratio_n,SCOF,SCOF_sd,SCOF_n,h_r,h_r_sd,h_r_n,h_p,h_p_sd,h_p_n
79.0551,1.02495,,4,3.10968,0.0407329,4,1.34607,0.222513,4,0.378255,0.002902,4,-2.23036,0.34801,4,2.56577,0.429054,4
81.0104,1.04633,,4,3.17272,0.171924,4,1.17701,0.546208,4,0.378578,0.00284505,4,-2.39303,0.231116,4,2.41539,0.489208,4
82.9657,1.05505,,4,3.19829,0.10646,4,1.14034,0.477757,4,0.378639,0.00306392,4,-2.29267,0.238549,4,2.32723,0.18668,4
84.9209,1.06753,,4,3.2357,0.070292,4,1.13894,0.347966,4,0.37957,0.00292501,4,-2.32257,0.424587,4,2.44847,0.242274,4
86.8762,1.07911,,4,3.26981,0.0289236,4,0.894613,0.247829,4,0.379343,0.00226622,4,-2.40522,0.246297,4,2.3668,0.1808,4
88.8315,1.08678,,4,3.29263,0.0915273,4,0.889328,0.286978,4,0.379709,0.00258775,4,-2.4222,0.313993,4,2.31609,0.1306,4
90.7867,1.12526,,4,3.40643,0.168884,4,0.703088,0.227208,4,0.380306,0.00289164,4,-2.65442,0.672823,4,2.42228,0.369908,4
92.742,1.15392,,4,3.4898,0.147599,4,0.690214,0.175889,4,0.381432,0.00356188,4,-2.98821,0.438377,4,2.73064,0.272591,4
94.6973,1.17562,,4,3.55465,0.0838882,4,0.701159,0.119194,4,0.382015,0.00298095,4,-3.07001,0.272849,4,2.50549,0.233237,4
96.6526,1.18942,,4,3.59571,0.0774478,4,0.773142,0.107704,4,0.382396,0.00314757,4,-3.1001,0.428679,4,2.70257,0.416149,4
98.6078,1.20352,,4,3.63766,0.104303,4,0.780127,0.127542,4,0.383297,0.00385524,4,-3.33058,0.440146,4,2.902,0.276165,4
100.563,1.26152,,4,3.80835,0.0624834,4,0.750948,0.141073,4,0.387104,0.00387134,4,-3.67925,0.199325,4,3.18322,0.407515,4
102.518,1.3143,,4,3.96424,0.558889,4,0.890633,0.309972,4,0.391808,0.0203595,4,-3.84825,0.615215,4,3.54118,1.53074,4
104.474,1.57957,,4,4.74643,0.159108,4,1.22662,0.10566,4,0.420677,0.0061974,4,-4.68077,0.299974,4,5.73932,0.459333,4
106.429,1.59929,,4,4.8052,0.0117717,4,1.118,0.101604,4,0.422354,0.00244532,4,-4.70752,0.290586,4,5.75132,0.269814,4
108.384,1.60976,,4,4.83535,0.0262014,4,1.13599,0.0808028,4,0.423529,0.00280508,4,-4.93375,0.372623,4,6.03429,0.24235,4
110.339,1.62126,,4,4.87016,0.0498781,4,1.08954,0.163048,4,0.424709,0.0029995,4,-5.06198,0.350925,4,6.16789,0.277391,4
112.295,1.63581,,4,4.91293,0.065426,4,1.0805,0.129645,4,0.426366,0.00331343,4,-5.33794,0.406336,4,6.16367,0.25634,4
114.25,1.65987,,4,4.98353,0.0973639,4,1.00372,0.109606,4,0.428468,0.00406547,4,-5.41685,0.28886,4,6.3116,0.233201,4
116.205,1.69158,,4,5.07852,0.0680135,4,1.00363,0.0868182,4,0.431313,0.00362747,4,-5.57199,0.44955,4,6.38384,0.233922,4
118.161,1.70558,,4,5.11963,0.0170476,4,0.88771,0.0447561,4,0.432202,0.00330175,4,-5.98232,0.124214,4,6.06654,0.268446,4
120.116,1.72276,,4,5.16953,0.0484891,4,0.98398,0.0667433,4,0.433297,0.00360002,4,-5.63725,0.224021,4,6.54469,0.309152,4
122.071,1.76564,,4,5.29646,0.114249,4,0.924682,0.0888757,4,0.43588,0.00376668,4,-6.25176,0.622346,4,6.73998,0.241948,4
124.026,1.7854,,4,5.35486,0.132661,4,0.898468,0.0833176,4,0.437428,0.00430688,4,-6.48129,0.452549,4,6.60044,0.349438,4
125.982,1.83519,,4,5.50227,0.100812,4,0.92769,0.0653068,4,0.440732,0.00386041,4,-6.83883,0.488117,4,6.78749,0.318433,4
