id,file,block,chi2,g_psi,g_soft_drop,g_sigma_scale,g_mu_eff,g_phi,chi2_F_n,chi2_A_ratio,chi2_SCOF,chi2_h_r,chi2_h_p,bias_F_n,bias_A_ratio,bias_SCOF,bias_h_r,bias_h_p,n_overlap,w0_sim_max
00001,Design_00001_Results.csv,BASE,23.8828,10,25,1.3,0.22,0.3182,56.3702,2.62149,12.6567,26.115,18.0813,-0.110739,-0.109572,-0.0665997,-0.268542,-0.172161,23,122.088
00017,Design_00017_Results.csv,CORE,33.4976,10,25,1.8,0.31,0.3182,88.9,5.5284,6.06455,4.57329,43.9607,0.055471,-0.227957,0.0495603,0.0134047,-0.434313,15,112.902
00015,Design_00015_Results.csv,CORE,49.2221,10,25,1.55,0.31,0.3182,45.0111,1.92351,100.732,17.0854,7.74042,0.0692183,0.00971354,0.209491,-0.294549,0.11641,19,118.1
00014,Design_00014_Results.csv,CORE,52.2541,10,25,1.55,0.22,0.3182,41.8223,11.7801,103.16,4.53997,94.8014,-0.0575089,-0.370071,-0.201836,0.0350332,-0.567869,20,120.404
00021,Design_00021_Results.csv,CORE,63.8546,15,25,1.55,0.22,0.3182,107.334,2.27311,81.9569,9.04209,20.7368,0.116542,0.159244,-0.19816,-0.0676626,-0.318553,15,108.683
00010,Design_00010_Results.csv,SOFT,75.9844,15,8,1.55,0.31,0.3182,194.265,11.8527,21.8359,5.96725,22.3054,0.231246,0.505878,0.0704741,-0.119506,-0.0208582,11,101.074
00024,Design_00024_Results.csv,CORE,85.6507,15,25,1.8,0.22,0.3182,50.9456,13.0936,192.913,6.74507,82.7542,0.126846,-0.414393,-0.280457,0.127409,-0.685937,9,109.124
00003,Design_00003_Results.csv,CORE,96.4439,10,25,1.8,0.22,0.3182,56.1676,27.9914,205.173,15.3581,187.659,-0.0324742,-0.599489,-0.311144,0.21056,-0.796977,13,117.904
00013,Design_00013_Results.csv,CORE,127.855,10,25,1.3,0.31,0.3182,31.9102,11.8144,339.839,50.8324,131.377,0.102256,0.288986,0.394191,-0.452581,0.644491,24,125.275
00018,Design_00018_Results.csv,CORE,130.561,15,25,1.3,0.22,0.3182,305.672,78.5083,7.5024,21.1777,259.765,0.428231,1.17878,0.00564728,-0.419548,0.934137,19,116.242
00025,Design_00025_Results.csv,CORE,148.69,15,25,1.8,0.31,0.3182,392.64,26.6128,26.8158,7.24649,63.5755,0.25501,0.521843,0.0590096,-0.0903126,-0.0737744,10,98.8263
00007,Design_00007_Results.csv,CORE,186.415,20,25,1.8,0.22,0.3182,378.804,4.10368,176.339,2.74102,13.8546,0.504219,0.280876,-0.267168,-0.0400922,-0.231377,5,100.26
00028,Design_00028_Results.csv,CORE,200.562,20,25,1.55,0.22,0.3182,460.549,67.3581,73.7772,6.79258,169.675,0.354057,0.752299,-0.20057,-0.302361,0.115662,9,96.7495
00004,Design_00004_Results.csv,CORE,213.399,10,25,1.8,0.4,0.3182,197.146,5.28756,437.762,15.4142,29.7171,0.31855,0.161215,0.452305,-0.334531,0.223991,19,116.013
00009,Design_00009_Results.csv,SOFT,264.536,15,18,1.55,0.31,0.3182,599.56,93.0565,100.992,16.5582,212.572,0.645992,1.73745,0.219657,-0.453005,1.51248,14,108.432
00012,Design_00012_Results.csv,SPLIT,271.716,15,25,1.55,0.31,0.7727,626.439,105.692,83.0185,29.1444,311.545,0.699894,1.7637,0.202064,-0.475004,1.89503,14,108.553
00016,Design_00016_Results.csv,CORE,303.493,10,25,1.55,0.4,0.3182,106.683,10.0817,793.714,48.5268,123.919,0.234008,0.301998,0.603714,-0.468871,0.765745,22,123.09
00011,Design_00011_Results.csv,SPLIT,372.863,15,25,1.55,0.31,0.5455,842.432,125.838,150.32,27.949,541.339,0.909359,2.39852,0.278454,-0.54842,2.49279,13,109.111
00022,Design_00022_Results.csv,CORE,450.652,15,25,1.55,0.31,0.3182,1001.23,148.332,202.399,31.9809,652.579,0.858669,2.48325,0.294057,-0.648645,2.49888,14,108.46
00002,Design_00002_Results.csv,CORE,521.535,10,25,1.3,0.4,0.3182,27.7707,23.2884,1513.54,77.6634,301.086,0.115236,0.508532,0.791888,-0.62143,1.00223,25,135.044
00019,Design_00019_Results.csv,CORE,554.288,15,25,1.3,0.31,0.3182,765.26,408.018,489.585,78.3301,1451.19,0.660541,2.64018,0.448319,-0.501434,2.92172,23,122.972
00023,Design_00023_Results.csv,CORE,869.26,15,25,1.55,0.4,0.3182,1227.06,322.774,1057.94,47.3976,1220.8,0.907977,3.67322,0.664089,-0.686764,3.47159,15,108.598
00005,Design_00005_Results.csv,CORE,891.208,20,25,1.3,0.22,0.3182,2277.69,358.61,37.325,40.285,2572.61,1.17148,5.58683,0.124442,-0.767468,4.71818,5,90.3727
00026,Design_00026_Results.csv,CORE,948.761,15,25,1.8,0.4,0.3182,1955.01,238.492,652.782,26.6417,857.951,1.14358,3.14656,0.512284,-0.528893,2.73941,12,103.251
00020,Design_00020_Results.csv,CORE,1110.63,15,25,1.3,0.4,0.3182,776.723,638.511,1916.65,81.6677,2311.7,0.672953,2.83172,0.892937,-0.647298,3.33834,25,128.882
00029,Design_00029_Results.csv,CORE,3311.6,20,25,1.55,0.31,0.3182,8490.33,1002.26,442.215,61.8174,5675.11,2.37052,8.58764,0.427481,-0.94377,7.52082,5,88.1673
00027,Design_00027_Results.csv,CORE,4029.22,20,25,1.3,0.31,0.3182,6367,4711.93,1008.72,52.9454,10346.6,2.17857,12.6794,0.639666,-0.725348,9.2731,11,101.378
00006,Design_00006_Results.csv,CORE,4448.72,20,25,1.3,0.4,0.3182,5335.93,5302.87,2707.37,74.5576,10686.9,1.78229,12.6195,1.10065,-0.675375,9.41747,20,118.558
00030,Design_00030_Results.csv,CORE,4978.8,20,25,1.55,0.4,0.3182,9087.85,4016.47,1832.08,26.8453,11932.1,2.58042,15.5481,0.856603,-0.74404,10.1276,9,96.9732
00008,Design_00008_Results.csv,CORE,,20,25,1.8,0.4,0.3182,,,,,,,,,,,0,83.9506
00031,Design_00031_Results.csv,CORE,,20,25,1.8,0.31,0.3182,,,,,,,,,,,1,85.1474
