id,file,block,chi2,g_psi,g_soft_drop,g_tau_split,g_sigma_scale,chi2_F_n,chi2_A_ratio,chi2_SCOF,chi2_h_r,chi2_h_p,bias_F_n,bias_A_ratio,bias_SCOF,bias_h_r,bias_h_p,n_overlap,w0_sim_max
00032,Design_00032_Results.csv,LEVEL,23.0819,10,25,2,1.3,54.6008,2.40376,12.2412,23.9717,17.1136,-0.114007,-0.076478,-0.0614463,-0.265669,-0.169464,24,125.225
00014,Design_00014_Results.csv,CORE,27.265,10,18,1,1,75.679,3.98946,2.12647,36.8708,28.9638,-0.153875,0.151664,0.0158538,-0.393964,0.232053,25,128.679
00007,Design_00007_Results.csv,CORE,27.4084,10,8,2,1,73.7225,2.90897,5.59385,31.3357,21.7183,-0.156111,0.0643688,0.0387327,-0.365239,0.132727,25,127.747
00002,Design_00002_Results.csv,PROBE,28.7241,10,25,1,1,68.2437,7.68507,10.2436,66.6719,73.9605,-0.132837,0.230313,0.0629853,-0.490611,0.469859,25,134.097
00012,Design_00012_Results.csv,CORE,28.7241,10,25,1,1,68.2437,7.68507,10.2436,66.6719,73.9605,-0.132837,0.230313,0.0629853,-0.490611,0.469859,25,134.097
00016,Design_00016_Results.csv,CORE,29.0214,10,8,1,1,76.695,1.73232,8.63682,36.2779,13.9282,-0.159741,0.0054213,-0.0478715,-0.364745,0.033116,25,129.154
00003,Design_00003_Results.csv,PROBE,32.0298,10,25,1,1.3,49.1867,2.84907,44.0537,23.3217,19.3953,-0.114625,-0.112466,-0.130912,-0.231049,-0.255021,24,125.758
00015,Design_00015_Results.csv,CORE,34.3286,10,18,2,1,58.1097,6.95049,37.9255,41.9608,62.5937,-0.118887,0.219589,0.115417,-0.420445,0.457991,25,133.243
00001,Design_00001_Results.csv,BASE,36.0439,10,25,0,1,86.7196,4.75669,16.6555,57.6249,50.3878,-0.182431,0.144952,-0.0635507,-0.419046,0.259482,25,132.975
00004,Design_00004_Results.csv,CORE,36.0439,10,25,0,1,86.7196,4.75669,16.6555,57.6249,50.3878,-0.182431,0.144952,-0.0635507,-0.419046,0.259482,25,132.975
00013,Design_00013_Results.csv,CORE,40.2079,10,18,0,1,87.7725,2.82401,30.0272,40.0279,23.3716,-0.185904,0.0467722,-0.0920038,-0.404054,0.0799246,25,129.495
00034,Design_00034_Results.csv,LEVEL,41.9863,10,8,2,1.3,47.3729,8.12843,70.4575,11.5996,68.0637,-0.126467,-0.338117,-0.15626,-0.00191892,-0.545437,23,154.547
00005,Design_00005_Results.csv,CORE,46.3709,10,25,2,1,45.5364,13.153,80.4232,47.061,115.63,-0.111677,0.391835,0.178605,-0.479262,0.667199,25,136.179
00006,Design_00006_Results.csv,CORE,49.9627,10,8,0,1,92.169,2.2396,55.4795,27.5193,17.1559,-0.193424,-0.0781609,-0.13572,-0.317612,-0.175919,25,130.334
00031,Design_00031_Results.csv,LEVEL,52.3122,10,25,0,1.3,52.4625,4.17354,100.301,35.7947,27.9685,-0.129271,-0.158898,-0.20173,-0.225048,-0.312526,23,123.217
00036,Design_00036_Results.csv,LEVEL,58.2594,10,25,2,1.6,36.2043,14.4465,124.127,3.43094,114.112,-0.0386098,-0.416402,-0.223031,0.0457197,-0.647112,19,121.321
00035,Design_00035_Results.csv,LEVEL,80.8498,10,25,0,1.6,25.6927,17.2274,199.629,3.83427,125.261,-0.0259691,-0.445233,-0.293847,-0.0231026,-0.658801,18,120.855
00038,Design_00038_Results.csv,LEVEL,82.0167,10,8,2,1.6,15.7052,30.0262,200.319,6.9891,183.06,-0.0588096,-0.570057,-0.312721,0.194861,-0.795061,15,118.662
00024,Design_00024_Results.csv,CORE,85.9301,5,8,1,1,218.978,23.7473,15.0649,22.6868,70.4794,-0.362989,-0.44978,-0.0719101,-0.264113,-0.44625,20,337.087
00025,Design_00025_Results.csv,CORE,94.1397,5,8,2,1,261.535,18.748,2.13628,21.5346,50.9798,-0.376955,-0.477112,0.0218488,-0.282666,-0.425843,25,134.633
00021,Design_00021_Results.csv,CORE,97.7919,5,18,1,1,273.36,17.3391,2.67726,23.6036,40.6112,-0.380983,-0.447985,-0.0268106,-0.319197,-0.367612,25,135.237
00018,Design_00018_Results.csv,CORE,103.919,5,25,1,1,293.85,16.3233,1.5846,30.3389,28.1525,-0.414498,-0.452006,0.0109837,-0.343149,-0.272726,25,138.544
00022,Design_00022_Results.csv,CORE,107.19,5,18,2,1,281.315,15.5733,24.682,25.0649,29.5603,-0.388098,-0.43171,0.0913075,-0.343541,-0.275316,25,141.045
00020,Design_00020_Results.csv,CORE,107.298,5,18,0,1,253.166,19.298,49.4316,28.7746,54.193,-0.37363,-0.453615,-0.140749,-0.32279,-0.376963,23,282.997
00017,Design_00017_Results.csv,CORE,111.251,5,25,0,1,280.713,16.6624,36.3767,26.9462,37.3002,-0.394182,-0.442467,-0.11575,-0.338933,-0.348584,25,140.791
