file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0,0,0,0,,,,-0.0527402,-0.0292827,-0.0292827,-0.0292827,,,,,0
Design_00001_Results.csv,0.00596659,0.0745823,0.00102896,0.000615618,,,,-0.0443318,-0.0254232,-0.0254232,-0.0254232,,,,,0
Design_00001_Results.csv,0.0119332,0.149165,0.00205793,0.00123124,,,,-0.0435672,-0.0248043,-0.0248043,-0.0248043,,,,,0
Design_00001_Results.csv,0.0178998,0.223747,0.00308689,0.00184686,,,,-0.0428104,-0.0234332,-0.0234332,-0.0234332,,,,,0
Design_00001_Results.csv,0.0238663,0.298329,0.0049482,0.00296611,0.598794,,,-0.0421024,-0.0223603,-0.0223603,-0.0223603,,,,,0
Design_00001_Results.csv,0.0298329,0.372912,0.00726164,0.00435893,0.599572,,,-0.0407548,-0.0214291,-0.0214291,-0.0214291,,,,,0
Design_00001_Results.csv,0.0357995,0.447494,0.00957509,0.00575176,0.60035,,,-0.0376895,-0.0196812,-0.0196812,-0.0196812,,,,,0
Design_00001_Results.csv,0.0417661,0.522076,0.0122015,0.00731488,0.600145,,,-0.0372179,-0.0196354,-0.0196354,-0.0196354,,,,,0
Design_00001_Results.csv,0.0477327,0.596659,0.0155721,0.00928304,0.597601,,,-0.0386701,-0.0187483,-0.0187483,-0.0187483,,,,,0
Design_00001_Results.csv,0.0536993,0.671241,0.0189427,0.0112512,0.595057,,,-0.0377272,-0.0181306,-0.0181306,-0.0181306,,,,,0
Design_00001_Results.csv,0.0596659,0.745823,0.0223133,0.0132193,0.592513,,,-0.036959,-0.0174637,-0.0174637,-0.0174637,,,,,0
Design_00001_Results.csv,0.0656325,0.820406,0.0269279,0.0156915,0.585572,,,-0.0374337,-0.0174389,-0.0174389,-0.0174389,,,,,0
Design_00001_Results.csv,0.071599,0.894988,0.0316163,0.0181935,0.57837,,,-0.0377872,-0.0169597,-0.0169597,-0.0169597,,,,,0
