file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0,0,0,0,,,,-0.0598328,-0.0476611,-0.0476611,-0.0476611,,,,,0
Design_00001_Results.csv,0.00596659,0.0596659,0.000913115,0.000545614,,,,-0.0490415,-0.0429407,-0.0429407,-0.0429407,,,,,0
Design_00001_Results.csv,0.0119332,0.119332,0.00182623,0.00109123,,,,-0.0463819,-0.0415282,-0.0415282,-0.0415282,,,,,0
Design_00001_Results.csv,0.0178998,0.178998,0.00273935,0.00163684,,,,-0.0442329,-0.039509,-0.039509,-0.039509,,,,,0
Design_00001_Results.csv,0.0238663,0.238663,0.00459061,0.00274939,0.59811,,,-0.0428198,-0.0372992,-0.0372992,-0.0372992,,,,,0
Design_00001_Results.csv,0.0298329,0.298329,0.00695148,0.00416991,0.599005,,,-0.0418144,-0.0356259,-0.0356259,-0.0356259,,,,,0
Design_00001_Results.csv,0.0357995,0.357995,0.00931235,0.00559043,0.599901,,,-0.0399611,-0.0332932,-0.0332932,-0.0332932,,,,,0
Design_00001_Results.csv,0.0417661,0.417661,0.0118981,0.00714748,0.600637,,,-0.038357,-0.0324758,-0.0324758,-0.0324758,,,,,0
Design_00001_Results.csv,0.0477327,0.477327,0.0150188,0.00902925,0.600996,,,-0.0392671,-0.0308479,-0.0308479,-0.0308479,,,,,0
Design_00001_Results.csv,0.0536993,0.536993,0.0181395,0.010911,0.601355,,,-0.0356811,-0.0292493,-0.0292493,-0.0292493,,,,,0
Design_00001_Results.csv,0.0596659,0.596659,0.0212602,0.0127928,0.601714,,,-0.0346882,-0.0280793,-0.0280793,-0.0280793,,,,,0
Design_00001_Results.csv,0.0656325,0.656325,0.0255106,0.0152349,0.598512,,,-0.0339734,-0.0271553,-0.0271553,-0.0271553,,,,,0
Design_00001_Results.csv,0.071599,0.71599,0.029828,0.0177103,0.595098,,,-0.0319034,-0.0259755,-0.0259755,-0.0259755,,,,,0
Design_00001_Results.csv,0.0775656,0.775656,0.0341455,0.0201856,0.591684,,,-0.030963,-0.0243744,-0.0243744,-0.0243744,,,,,0
Design_00001_Results.csv,0.0835322,0.835322,0.0392799,0.0229457,0.585912,,,-0.030018,-0.023652,-0.023652,-0.023652,,,,,0
Design_00001_Results.csv,0.0894988,0.894988,0.0449774,0.025902,0.578516,,,-0.0290316,-0.0217794,-0.0217794,-0.0217794,,,,,0
Design_00001_Results.csv,0.0954654,0.954654,0.0506748,0.0288584,0.571119,,,-0.0286937,-0.0203568,-0.0203568,-0.0203568,,,,,0
Design_00001_Results.csv,0.101432,1.01432,0.0562883,0.0317616,0.564547,,,-0.028318,-0.019119,-0.019119,-0.019119,,,,,0
Design_00001_Results.csv,0.107399,1.07399,0.0616358,0.0344969,0.560589,,,-0.0275959,-0.0176652,-0.0176652,-0.0176652,,,,,0
Design_00001_Results.csv,0.113365,1.13365,0.0669834,0.0372322,0.55663,,,-0.0270921,-0.0163313,-0.0163313,-0.0163313,,,,,0
Design_00001_Results.csv,0.119332,1.19332,0.0723309,0.0399675,0.552672,,,-0.0265044,-0.0158405,-0.0158405,-0.0158405,,,,,0
Design_00001_Results.csv,0.125298,1.25298,0.0782967,0.0436004,0.556121,,,-0.0266369,-0.0140213,-0.0140213,-0.0140213,,,,,0
Design_00001_Results.csv,0.131265,1.31265,0.0843405,0.0473464,0.560504,,,-0.0261956,-0.0126299,-0.0126299,-0.0126299,,,,,0
Design_00001_Results.csv,0.137232,1.37232,0.0903843,0.0510925,0.564888,,,-0.0261006,-0.0119959,-0.0119959,-0.0119959,,,,,0
Design_00001_Results.csv,0.143198,1.43198,0.0963546,0.0543698,0.564658,,,-0.0262896,-0.0111673,-0.0111673,-0.0111673,,,,,0
Design_00001_Results.csv,0.149165,1.49165,0.102261,0.0572412,0.560434,,,-0.0398336,-0.00963528,-0.00963528,-0.00963528,,,,,0
Design_00001_Results.csv,0.155131,1.55131,0.108168,0.0601127,0.556211,,,-0.0444004,-0.00859855,-0.00859855,-0.00859855,,,,,0
Design_00001_Results.csv,0.161098,1.61098,0.114256,0.0630332,0.551858,,,-0.047366,-0.00901007,-0.00901007,-0.00901007,,,,,0
Design_00001_Results.csv,0.167064,1.67064,0.121145,0.0661709,0.546931,,,-0.0503476,-0.00774652,-0.00774652,-0.00774652,,,,,0
Design_00001_Results.csv,0.173031,1.73031,0.128035,0.0693086,0.542003,,,-0.0555328,-0.00716272,-0.00716272,-0.00716272,,,,,0
Design_00001_Results.csv,0.178998,1.78998,0.134924,0.0724463,0.537076,,,-0.0572927,-0.00645122,-0.00645122,-0.00645122,,,,,0
Design_00001_Results.csv,0.184964,1.84964,0.14248,0.0757827,0.532405,,,-0.0587959,-0.00581475,-0.00581475,-0.00581475,,,,,0
Design_00001_Results.csv,0.190931,1.90931,0.150171,0.0791592,0.527785,,,-0.0603289,-0.00565086,-0.00565086,-0.00565086,,,,,0
Design_00001_Results.csv,0.196897,1.96897,0.157862,0.0825357,0.523165,,,-0.061372,-0.00496793,-0.00496793,-0.00496793,,,,,0
Design_00001_Results.csv,0.202864,2.02864,0.165885,0.0859253,0.518333,,,-0.0614386,-0.0043698,-0.0043698,-0.0043698,,,,,0
Design_00001_Results.csv,0.208831,2.08831,0.174268,0.0893291,0.513272,,,-0.0651089,-0.00384552,-0.00384552,-0.00384552,,,,,0
Design_00001_Results.csv,0.214797,2.14797,0.18265,0.0927329,0.50821,,,-0.0663963,-0.00390915,-0.00390915,-0.00390915,,,,,0
Design_00001_Results.csv,0.220764,2.20764,0.191051,0.0961024,0.503117,,,-0.0668736,-0.00324578,-0.00324578,-0.00324578,,,,,0
Design_00001_Results.csv,0.22673,2.2673,0.199581,0.0992385,0.497804,,,-0.069664,-0.00238591,-0.00238591,-0.00238591,,,,,0
Design_00001_Results.csv,0.232697,2.32697,0.20811,0.102375,0.492492,,,-0.067274,-0.00224241,-0.00224241,-0.00224241,,,,,0
Design_00001_Results.csv,0.238663,2.38663,0.21664,0.105511,0.487179,,,-0.0679135,-0.00189821,-0.00189821,-0.00189821,,,,,0
Design_00001_Results.csv,0.24463,2.4463,0.225487,0.108927,0.483345,,,-0.0680659,-0.000565027,-0.000565027,-0.000565027,,,,,0
Design_00001_Results.csv,0.250597,2.50597,0.234427,0.112425,0.479938,,,-0.0675478,-0.000737903,-0.000737903,-0.000737903,,,,,0
Design_00001_Results.csv,0.256563,2.56563,0.243366,0.115923,0.47653,,,-0.0678261,-0.000136461,-0.000136461,-0.000136461,,,,,0
Design_00001_Results.csv,0.26253,2.6253,0.252396,0.119296,0.472836,,,-0.0686715,0.000753296,0.000753296,0.000753296,,,,,0
Design_00001_Results.csv,0.268496,2.68496,0.26155,0.122499,0.468751,,,-0.0692659,0.00120605,0.00120605,0.00120605,,,,,0
Design_00001_Results.csv,0.274463,2.74463,0.270704,0.125703,0.464667,,,-0.0696271,0.0013767,0.0013767,0.0013767,,,,,0
Design_00001_Results.csv,0.28043,2.8043,0.279912,0.128929,0.460634,,,-0.0685378,0.00269349,0.00269349,0.00269349,,,,,0
Design_00001_Results.csv,0.286396,2.86396,0.289816,0.132442,0.457269,,,-0.0715464,0.00309078,0.00309078,0.00309078,,,,,0
Design_00001_Results.csv,0.292363,2.92363,0.29972,0.135956,0.453903,,,-0.0721471,0.0030762,0.0030762,0.0030762,,,,,0
Design_00001_Results.csv,0.298329,2.98329,0.309624,0.139469,0.450537,,,-0.0752325,0.00343464,0.00343464,0.00343464,,,,,0
Design_00001_Results.csv,0.304296,3.04296,0.319946,0.143069,0.447359,,,-0.0737613,0.0042485,0.0042485,0.0042485,,,,,0
Design_00001_Results.csv,0.310263,3.10263,0.330429,0.146703,0.444254,,,-0.0794108,0.00520377,0.00520377,0.00520377,,,,,0
Design_00001_Results.csv,0.316229,3.16229,0.340912,0.150337,0.441149,,,-0.0771867,0.00569864,0.00569864,0.00569864,,,,,0
Design_00001_Results.csv,0.322196,3.22196,0.351445,0.15388,0.437961,,,-0.0769064,0.00486657,0.00486657,0.00486657,,,,,0
Design_00001_Results.csv,0.328162,3.28162,0.362062,0.157267,0.43463,,,-0.0744351,0.00721497,0.00721497,0.00721497,,,,,0
Design_00001_Results.csv,0.334129,3.34129,0.372679,0.160653,0.431298,,,-0.0767257,0.00742564,0.00742564,0.00742564,,,,,0
Design_00001_Results.csv,0.340095,3.40095,0.383308,0.164043,0.42797,,,-0.0779769,0.00762623,0.00762623,0.00762623,,,,,0
Design_00001_Results.csv,0.346062,3.46062,0.394712,0.167603,0.424837,,,-0.0742096,0.0083803,0.0083803,0.0083803,,,,,0
Design_00001_Results.csv,0.352029,3.52029,0.406115,0.171164,0.421703,,,-0.0747309,0.0090162,0.0090162,0.0090162,,,,,0
Design_00001_Results.csv,0.357995,3.57995,0.417519,0.174725,0.41857,,,-0.0771916,0.00920707,0.00920707,0.00920707,,,,,0
Design_00001_Results.csv,0.363962,3.63962,0.429102,0.17845,0.415981,,,-0.0804533,0.00974815,0.00974815,0.00974815,,,,,0
Design_00001_Results.csv,0.369928,3.69928,0.440776,0.18226,0.413669,,,-0.0772193,0.01039,0.01039,0.01039,,,,,0
Design_00001_Results.csv,0.375895,3.75895,0.452451,0.186069,0.411357,,,-0.0786226,0.0112411,0.0112411,0.0112411,,,,,0
Design_00001_Results.csv,0.381862,3.81862,0.464145,0.189788,0.40896,,,-0.0812559,0.0118171,0.0118171,0.0118171,,,,,0
Design_00001_Results.csv,0.387828,3.87828,0.475885,0.193308,0.406378,,,-0.0846633,0.0124149,0.0124149,0.0124149,,,,,0
Design_00001_Results.csv,0.393795,3.93795,0.487624,0.196827,0.403795,,,-0.0838762,0.0129625,0.0129625,0.0129625,,,,,0
Design_00001_Results.csv,0.399761,3.99761,0.499363,0.200347,0.401212,,,-0.0853412,0.0117525,0.0117525,0.0117525,,,,,0
Design_00001_Results.csv,0.405728,4.05728,0.510857,0.203657,0.398783,,,-0.0896987,0.014271,0.014271,0.014271,,,,,0
Design_00001_Results.csv,0.411695,4.11695,0.522339,0.206958,0.396359,,,-0.0944845,0.0133912,0.0133912,0.0133912,,,,,0
Design_00001_Results.csv,0.417661,4.17661,0.533822,0.210259,0.393936,,,-0.0939908,0.0137442,0.0137442,0.0137442,,,,,0
Design_00001_Results.csv,0.423628,4.23628,0.545971,0.213842,0.391751,,,-0.0961576,0.0138483,0.0138483,0.0138483,,,,,0
Design_00001_Results.csv,0.429594,4.29594,0.55855,0.217607,0.389721,,,-0.103177,0.0134604,0.0134604,0.0134604,,,,,0
Design_00001_Results.csv,0.435561,4.35561,0.571129,0.221371,0.38769,,,-0.105811,0.0139065,0.0139065,0.0139065,,,,,0
Design_00001_Results.csv,0.441527,4.41527,0.583721,0.225059,0.385598,,,-0.110868,0.0144211,0.0144211,0.0144211,,,,,0
Design_00001_Results.csv,0.447494,4.47494,0.596352,0.228525,0.383331,,,-0.11861,0.0135973,0.0135973,0.0135973,,,,,0
Design_00001_Results.csv,0.453461,4.53461,0.608983,0.23199,0.381063,,,-0.124568,0.0132039,0.0132039,0.0132039,,,,,0
Design_00001_Results.csv,0.459427,4.59427,0.621614,0.235455,0.378795,,,-0.130038,0.0133877,0.0133877,0.0133877,,,,,0
Design_00001_Results.csv,0.465394,4.65394,0.634385,0.239049,0.376902,,,-0.136515,0.013564,0.013564,0.013564,,,,,0
Design_00001_Results.csv,0.47136,4.7136,0.64717,0.242656,0.37505,,,-0.146678,0.013308,0.013308,0.013308,,,,,0
Design_00001_Results.csv,0.477327,4.77327,0.659956,0.246262,0.373197,,,-0.159984,0.0126257,0.0126257,0.0126257,,,,,0
Design_00001_Results.csv,0.483294,4.83294,0.672985,0.249992,0.371515,,,-0.166431,0.0123935,0.0123935,0.0123935,,,,,0
Design_00001_Results.csv,0.48926,4.8926,0.686211,0.253821,0.369971,,,-0.175972,0.0134079,0.0134079,0.0134079,,,,,0
Design_00001_Results.csv,0.495227,4.95227,0.699437,0.25765,0.368427,,,-0.186701,0.0128652,0.0128652,0.0128652,,,,,0
Design_00001_Results.csv,0.501193,5.01193,0.712796,0.261484,0.366863,,75.2647,-0.195864,0.013051,0.013051,0.013051,,,,,0
Design_00001_Results.csv,0.50716,5.0716,0.726684,0.26534,0.365219,75.2647,75.1058,-0.204353,0.0134265,0.0134265,0.0134265,16.2053,0,0,0.840871,1
Design_00001_Results.csv,0.513126,5.13126,0.740573,0.269195,0.363574,74.9469,75.0325,-0.215108,0.0133856,0.0133856,0.0133856,16.3632,0,0,0.832502,1
