file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0,0,0,0,,,,,,,,,,,,0
Design_00001_Results.csv,0.00596659,0.0596659,0.000914147,0.000546318,,,,-0.0344278,-0.0345433,-0.0345433,-0.0345433,,,,,0
Design_00001_Results.csv,0.0119332,0.119332,0.00182829,0.00109264,,,,-0.0330636,-0.0332326,-0.0332326,-0.0332326,,,,,0
Design_00001_Results.csv,0.0178998,0.178998,0.00274244,0.00163896,,,,-0.0316651,-0.0317351,-0.0317351,-0.0317351,,,,,0
Design_00001_Results.csv,0.0238663,0.238663,0.00459668,0.0027097,0.594224,,,-0.0303445,-0.0304146,-0.0304146,-0.0304146,,,,,0
Design_00001_Results.csv,0.0298329,0.298329,0.00696159,0.00406532,0.588973,,,-0.029322,-0.0295961,-0.0295961,-0.0295961,,,,,0
Design_00001_Results.csv,0.0357995,0.357995,0.0093265,0.00542094,0.583723,,,-0.0293668,-0.0281804,-0.0281804,-0.0281804,,,,,0
Design_00001_Results.csv,0.0417661,0.417661,0.0119463,0.00683729,0.575812,,,-0.0276744,-0.027845,-0.027845,-0.027845,,,,,0
Design_00001_Results.csv,0.0477327,0.477327,0.0151724,0.00839809,0.561575,,,-0.0298564,-0.0268926,-0.0268926,-0.0268926,,,,,0
Design_00001_Results.csv,0.0536993,0.536993,0.0183986,0.00995888,0.547338,,,-0.030991,-0.0258272,-0.0258272,-0.0258272,,,,,0
Design_00001_Results.csv,0.0596659,0.596659,0.0216247,0.0115197,0.533102,,,-0.0316561,-0.0245315,-0.0245315,-0.0245315,,,,,0
Design_00001_Results.csv,0.0656325,0.656325,0.025602,0.0131243,0.518027,,,-0.0325915,-0.0232625,-0.0232625,-0.0232625,,,,,0
Design_00001_Results.csv,0.071599,0.71599,0.0296239,0.0147314,0.502902,,,-0.0329813,-0.022364,-0.022364,-0.022364,,,,,0
Design_00001_Results.csv,0.0775656,0.775656,0.0336458,0.0163386,0.487777,,,-0.0349519,-0.0214589,-0.0214589,-0.0214589,,,,,0
Design_00001_Results.csv,0.0835322,0.835322,0.0383152,0.0182186,0.477138,,,-0.0354183,-0.018974,-0.018974,-0.018974,,,,,0
Design_00001_Results.csv,0.0894988,0.894988,0.0434309,0.0202866,0.469591,,,-0.0354655,-0.0180669,-0.0180669,-0.0180669,,,,,0
Design_00001_Results.csv,0.0954654,0.954654,0.0485465,0.0223546,0.462044,,,-0.0364236,-0.0173787,-0.0173787,-0.0173787,,,,,0
Design_00001_Results.csv,0.101432,1.01432,0.0537221,0.024402,0.45472,,,-0.0394058,-0.0159633,-0.0159633,-0.0159633,,,,,0
Design_00001_Results.csv,0.107399,1.07399,0.0590874,0.0263841,0.448101,,,-0.0430294,-0.0144542,-0.0144542,-0.0144542,,,,,0
Design_00001_Results.csv,0.113365,1.13365,0.0644527,0.0283663,0.441483,,,-0.0449359,-0.0140407,-0.0140407,-0.0140407,,,,,0
Design_00001_Results.csv,0.119332,1.19332,0.069818,0.0303484,0.434864,,,-0.0461562,-0.0130767,-0.0130767,-0.0130767,,,,,0
